word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
warmed,earthquake,-0.208014,13740,13226,575,540,warmquake
marmalade,structure,-0.161987,6673,4419,334,310,structalade
meatball,acid,-0.14034,4434,3568,1226,1063,aceadball
wooden,exact,-0.140013,44176,41067,1168,1136,wooxact
above,nutty,-0.140495,20012,18480,3633,3523,abutty
microwave,slight,-0.158204,103087,70540,3413,3340,microwight
divide,lid,-0.147357,83732,78131,60620,46950,livide
cloth,sundae,-0.147567,11798,9749,1357,1166,clundae
scramble,lavender,-0.149056,4586,4248,2898,1266,scramender
prune,element,-0.146737,1680,1295,1070,1025,elerune
thread,opinion,-0.157613,8363,7876,320,315,threapinion
foam,jerk,-0.162033,9849,8877,1816,1185,jeroam
original,shield,-0.17359,5793,5392,411,383,originield
crab,vitamin,-0.145954,26918,13510,2349,1241,critamin
shelf,imitation,-0.165453,3184,2835,703,604,shelitation
ranch,dome,-0.177996,9811,7819,842,710,ranome
cookie,wild,-0.170185,153461,107032,9416,7106,wilookie
file,bliss,-0.143824,785,626,334,325,filliss
unfold,comfort,-0.142552,2269,2161,725,658,comfold
noodle,ripe,-0.140028,11801,9923,2826,2618,ripoodle
dozen,entire,-0.15962,18542,18219,15252,14356,dontire
arrange,strong,-0.163337,106223,96144,3642,3468,strorrange
bite,attachment,-0.158795,18767,17908,15049,12629,bittachment
spice,spear,-0.150419,32787,26338,1447,1313,speace
reach,quickie,-0.146082,8389,8169,339,333,reackie
crush,link,-0.146837,19653,18645,1200,1087,cruink
cider,roller,-0.20404,14321,9805,747,523,rollider
cheesecake,bamboo,-0.140624,27700,14915,4777,3876,cheeseboo
pine,carton,-0.146101,13844,9416,1113,888,cartine
stout,curve,-0.170601,978,627,874,844,stourve
photograph,purpose,-0.146886,2928,2922,2033,1924,purpograph
press,winter,-0.162541,117501,104216,3509,3285,wintress
bind,campfire,-0.144945,1125,1102,814,637,bimpfire
saucy,tape,-0.187405,2161,2122,685,546,taucy
cling,pioneer,-0.15508,3650,3000,358,343,clioneer
smell,nine,-0.180956,4381,4104,1675,1638,nimell
glass,render,-0.144757,78152,65891,1902,1858,glaender
poultry,bounce,-0.145898,4602,4226,315,306,boultry
elastic,drunken,-0.15057,9252,8897,570,541,drulastic
quart,goal,-0.143874,25070,23729,712,671,quoal
loosen,product,-0.162921,17763,17269,2650,2455,looduct
puff,bloody,-0.154038,13034,8677,1154,903,pufoody
basket,lush,-0.157674,6754,4734,324,318,baskush
minus,occasional,-0.138838,811,794,311,305,miccasional
distribute,draft,-0.155742,10756,10205,769,702,distribaft
gloss,shortcut,-0.169307,1007,958,560,549,shortcloss
moist,gas,-0.141426,20544,19621,11511,9963,goist
jelly,marrow,-0.160088,25852,19411,708,337,marrelly
washed,football,-0.14714,2513,2432,656,434,washtball
goat,vessel,-0.144327,14969,8630,1148,938,goassel
