word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
bathrobe,teamwork,-0.106043,11354,2483,2461,2387,bathwork
thief,rainy,-0.024791,15779,3855,2083,1842,thainy
sandbox,noon,0.030747,12385,8686,3836,2611,sandoon
envious,tornado,0.035384,16312,11204,12086,2682,tornvious
pond,exam,0.029249,147151,61012,10447,2469,exond
barn,microphone,-0.016613,22537,8162,13025,3324,barophone
impressive,sofa,0.005729,18768,11542,10685,6662,sofessive
smelly,helicopter,0.005396,33591,13906,17323,2681,smellicopter
lollipop,factory,0.003749,15007,3409,12323,2747,factpop
eager,tummy,0.011633,19092,15839,14339,10501,tumager
mosquito,winner,-0.014915,13044,2422,5291,4738,mosquinner
graceful,freezer,-0.027826,16166,11505,11178,3284,freeceful
loyal,fridge,-0.056202,21069,11893,19888,8594,froyal
farmer,violin,0.01671,51626,13514,15442,2640,viomer
kitchen,lung,-0.039553,145366,104320,4212,1551,lungkitchen
sweetie,stadium,-0.058963,10998,10393,9402,2575,sweedium
birthday,cactus,-0.042989,46154,24137,16942,2556,birthtus
bathtub,giraffe,0.026107,13356,3729,10869,4710,bathaffe
elephant,oven,0.026575,43111,13809,35372,15914,ovephant
comet,lemonade,0.034363,16536,2596,7094,2266,lemomet
tasty,ambulance,-0.01836,50150,31870,14259,3410,ambulasty
notebook,speedy,-0.03856,14368,2860,9357,1436,speedbook
necklace,classroom,-0.01723,20246,6927,9899,4439,classlace
obedient,laser,0.003495,19027,11557,14374,2472,lasedient
flashlight,helper,0.01391,16743,4756,11184,8180,hashlier
dangerous,mailman,0.010088,55359,39378,6980,2494,mailerous
shirt,earthquake,-0.079156,30790,12881,6802,2732,shirtquake
statue,bedtime,0.028902,18933,3333,2913,2671,statime
scary,wallet,0.012736,92689,61887,14651,2931,scarall
muffin,respectful,-0.050051,14239,2450,9727,8409,muffinful
zebra,comfy,0.007285,12816,3325,3373,2981,zemfy
airport,squeaky,-0.028118,10614,4177,7262,1902,squakport
thankful,billboard,0.020141,21734,21144,10861,2501,billful
owner,spaceship,-0.075956,54977,31114,3926,1968,ownspace
teacher,twig,-0.009974,43932,18971,13141,2925,tweacher
jazz,rid,-0.06706,16087,2638,2223,1996,razzid
helpful,ashtray,0.020553,42998,30311,11847,2465,hashtrul
wealthy,raincoat,0.017643,21283,11226,1523,1185,reainalthy
spider,sunglasses,-0.000262,37303,7464,13390,3016,spunglader
dancer,ignore,0.021833,10269,4077,8897,6878,dancenore
grumpy,backyard,-0.035128,38590,13482,32735,23198,grumpyard
pizza,sunlight,-0.000619,28734,5240,3160,3012,punlizza
cupboard,soccer,-0.016001,13792,5579,5513,2134,cupoccer
elderly,bedroom,0.035502,24020,11134,18923,11269,eldroom
melon,basement,-0.010273,18246,2607,1990,1097,melbase
faucet,reindeer,-0.040748,12084,3012,11544,2589,reinucet
celery,sidewalk,0.028145,15401,2651,4563,3519,sidery
hippo,cardboard,-0.019618,13361,2643,12298,4652,cippoard
lake,math,0.00724,52828,19611,14178,2775,mathlake
useful,kangaroo,0.021742,22551,12885,11222,2729,usaroo
