word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
warmed,earthquake,-0.208014,13740,13226,575,540
roller,cider,-0.20404,747,523,14321,9805
nine,smell,-0.180956,1675,1638,4381,4104
dome,ranch,-0.177996,842,710,9811,7819
cookie,wild,-0.170185,153461,107032,9416,7106
shortcut,gloss,-0.169307,560,549,1007,958
imitation,shelf,-0.165453,703,604,3184,2835
loosen,product,-0.162921,17763,17269,2650,2455
press,winter,-0.162541,117501,104216,3509,3285
jelly,marrow,-0.160088,25852,19411,708,337
bite,attachment,-0.158795,18767,17908,15049,12629
microwave,slight,-0.158204,103087,70540,3413,3340
thread,opinion,-0.157613,8363,7876,320,315
elastic,drunken,-0.15057,9252,8897,570,541
scramble,lavender,-0.149056,4586,4248,2898,1266
divide,lid,-0.147357,83732,78131,60620,46950
purpose,photograph,-0.146886,2033,1924,2928,2922
reach,quickie,-0.146082,8389,8169,339,333
bind,campfire,-0.144945,1125,1102,814,637
glass,render,-0.144757,78152,65891,1902,1858
vessel,goat,-0.144327,1148,938,14969,8630
goal,quart,-0.143874,712,671,25070,23729
comfort,unfold,-0.142552,725,658,2269,2161
cheesecake,bamboo,-0.140624,27700,14915,4777,3876
nutty,above,-0.140495,3633,3523,20012,18480
exact,wooden,-0.140013,1168,1136,44176,41067
minus,occasional,-0.138838,811,794,311,305
jam,flake,-0.137789,25980,15979,5724,5479
fiesta,scum,-0.137517,1667,1598,2062,1825
heavy,cycle,-0.137174,91813,83612,3891,2758
squid,chip,-0.136925,4773,1479,17651,16885
activate,chunk,-0.136779,407,399,2773,2620
triple,crack,-0.136043,3809,3658,10735,10291
sweat,strawberry,-0.135855,4461,4164,33688,25070
stud,assembly,-0.13568,463,459,2967,2793
puffy,inject,-0.135536,3521,3355,370,327
mound,rush,-0.135233,9763,8992,619,603
plump,squirt,-0.134664,2163,2110,1088,1012
breakfast,octopus,-0.134537,14727,13915,1884,469
bonnet,rid,-0.134073,458,372,2031,1962
seed,extend,-0.13395,28130,23834,1173,1136
handful,unlock,-0.133337,5886,5427,327,308
rare,eliminate,-0.132485,6876,6199,1402,1357
walnut,safety,-0.131676,13118,11477,355,325
pound,list,-0.129396,31949,28912,1366,1290
pudding,snip,-0.129264,82824,48178,2839,2726
rise,mint,-0.128077,52396,34020,39603,27718
mountain,avoid,-0.127811,976,864,10195,9776
cucumber,altitude,-0.127664,29855,19767,775,721
island,pastry,-0.125647,1987,1855,87282,45355
label,smear,-0.125434,3098,2976,2824,2653
pouch,dust,-0.125299,1848,1308,25515,23313
halfway,stiff,-0.124878,23922,23032,46080,42728
discard,pancake,-0.1248,70830,63579,14892,9601
passion,hamburger,-0.124737,1415,791,26971,19454
bag,toast,-0.124683,92701,55783,51057,40816
develop,hen,-0.124672,3146,3063,2078,1148
flag,burn,-0.124319,578,464,21203,20229
juicy,attach,-0.123884,3684,3552,4123,3041
membrane,mode,-0.123749,2648,2217,765,671
member,screen,-0.123541,341,340,441,345
absorb,slit,-0.123417,7215,7015,5983,5306
offer,crumb,-0.123361,690,677,19530,15425
shred,crystal,-0.123195,18148,17277,815,770
scrub,shade,-0.123145,4326,4183,1037,991
fail,neutral,-0.122484,1504,1494,344,325
string,batter,-0.122445,7733,6125,188328,114830
shrimp,protein,-0.122445,120378,38939,10322,9072
