word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
warmed,earthquake,-0.208014,13740,13226,575,540
roller,cider,-0.20404,747,523,14321,9805
saucy,tape,-0.187405,2161,2122,685,546
nine,smell,-0.180956,1675,1638,4381,4104
dome,ranch,-0.177996,842,710,9811,7819
shield,original,-0.17359,411,383,5793,5392
stout,curve,-0.170601,978,627,874,844
cookie,wild,-0.170185,153461,107032,9416,7106
shortcut,gloss,-0.169307,560,549,1007,958
imitation,shelf,-0.165453,703,604,3184,2835
strong,arrange,-0.163337,3642,3468,106223,96144
loosen,product,-0.162921,17763,17269,2650,2455
press,winter,-0.162541,117501,104216,3509,3285
jerk,foam,-0.162033,1816,1185,9849,8877
marmalade,structure,-0.161987,6673,4419,334,310
jelly,marrow,-0.160088,25852,19411,708,337
entire,dozen,-0.15962,15252,14356,18542,18219
bite,attachment,-0.158795,18767,17908,15049,12629
microwave,slight,-0.158204,103087,70540,3413,3340
basket,lush,-0.157674,6754,4734,324,318
thread,opinion,-0.157613,8363,7876,320,315
draft,distribute,-0.155742,769,702,10756,10205
pioneer,cling,-0.15508,358,343,3650,3000
puff,bloody,-0.154038,13034,8677,1154,903
elastic,drunken,-0.15057,9252,8897,570,541
spice,spear,-0.150419,32787,26338,1447,1313
scramble,lavender,-0.149056,4586,4248,2898,1266
sundae,cloth,-0.147567,1357,1166,11798,9749
divide,lid,-0.147357,83732,78131,60620,46950
football,washed,-0.14714,656,434,2513,2432
purpose,photograph,-0.146886,2033,1924,2928,2922
link,crush,-0.146837,1200,1087,19653,18645
prune,element,-0.146737,1680,1295,1070,1025
pine,carton,-0.146101,13844,9416,1113,888
reach,quickie,-0.146082,8389,8169,339,333
crab,vitamin,-0.145954,26918,13510,2349,1241
bounce,poultry,-0.145898,315,306,4602,4226
bind,campfire,-0.144945,1125,1102,814,637
glass,render,-0.144757,78152,65891,1902,1858
vessel,goat,-0.144327,1148,938,14969,8630
goal,quart,-0.143874,712,671,25070,23729
bliss,file,-0.143824,334,325,785,626
comfort,unfold,-0.142552,725,658,2269,2161
gas,moist,-0.141426,11511,9963,20544,19621
cheesecake,bamboo,-0.140624,27700,14915,4777,3876
nutty,above,-0.140495,3633,3523,20012,18480
meatball,acid,-0.14034,4434,3568,1226,1063
ripe,noodle,-0.140028,2826,2618,11801,9923
exact,wooden,-0.140013,1168,1136,44176,41067
minus,occasional,-0.138838,811,794,311,305
bullet,quail,-0.138378,390,329,2677,756
jam,flake,-0.137789,25980,15979,5724,5479
fiesta,scum,-0.137517,1667,1598,2062,1825
heavy,cycle,-0.137174,91813,83612,3891,2758
squid,chip,-0.136925,4773,1479,17651,16885
