word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
sticky,leader,-0.23632,8169,7167,3808,2246
golden,math,-0.224041,5470,4395,14178,2775
recipe,bull,-0.222454,1472,1067,16384,2703
birthday,avoid,-0.218271,46154,24137,1571,1532
mirror,yield,-0.21194,26403,11106,8162,5795
singer,push,-0.208909,2066,1249,49699,40795
spray,asleep,-0.203534,20532,8599,20288,19308
elevator,precious,-0.197804,14637,2709,3505,3273
leak,deserve,-0.194009,8937,2809,2006,1923
continue,bite,-0.191797,3010,2977,60784,49276
backpack,applaud,-0.191439,5766,3635,4967,4158
dive,neighbor,-0.188962,14339,6857,12812,6782
shoulder,decide,-0.185125,8657,6570,15754,14661
careless,massage,-0.18421,19120,12988,7237,2532
remind,sandbox,-0.184052,6274,5320,12385,8686
hut,sticker,-0.182279,11438,3061,8885,4612
pleasure,screen,-0.177911,1400,1391,15820,5706
flashlight,pig,-0.177619,16743,4756,33503,8335
snowball,obey,-0.175882,3976,1890,2763,2485
scratch,winter,-0.173568,6296,4782,10685,5783
badge,spaghetti,-0.173216,2143,1797,16822,3008
dip,soldier,-0.172632,1392,1220,15385,3427
repair,giggle,-0.171764,12499,7248,8461,8265
wrist,wise,-0.171684,2511,1894,89254,44347
wealthy,breath,-0.170041,21283,11226,21775,20989
dust,twin,-0.169341,12846,5411,4060,2440
chair,harm,-0.168638,78373,32630,1796,1733
rail,spit,-0.167641,9588,2565,3464,3157
settle,finger,-0.166312,7913,5842,21459,11778
kitten,flip,-0.166019,39322,8563,1331,1043
patience,shiver,-0.163336,3160,2715,8476,6545
dark,slice,-0.162192,118492,82353,3691,2936
copy,jeep,-0.161347,2571,2374,19163,2638
puppy,chop,-0.160794,47463,12285,1778,1086
lung,knock,-0.160537,4212,1551,9575,9013
jealous,timer,-0.158977,23066,13973,2542,1638
pine,bathroom,-0.158622,13454,2951,22024,13109
glitter,jog,-0.158613,2063,1267,20550,9315
cone,tidy,-0.15814,23619,8990,30745,16917
oasis,tug,-0.158031,10596,2566,6532,5877
allow,bottom,-0.157961,4908,4314,18330,16658
succeed,texture,-0.157918,8988,6298,3734,2597
scream,collection,-0.157882,14726,12894,5065,3503
twirl,jail,-0.155636,2176,1985,9621,3043
menu,safety,-0.155391,8329,3032,4253,3983
quack,achieve,-0.155254,5513,2526,2242,2165
wipe,parade,-0.154973,10606,8232,15538,3427
tricky,porch,-0.154957,1948,1823,11099,4750
fence,bedtime,-0.154816,45556,19572,2913,2671
fear,rare,-0.152872,8846,8146,26248,12445
split,coat,-0.152247,13873,7832,43525,23273
test,laughter,-0.151526,23940,11047,8280,7989
hill,simple,-0.151266,124053,40587,5040,4769
gum,queen,-0.149621,17838,2882,31142,9201
press,shelter,-0.149541,5898,4384,10572,4374
steam,notebook,-0.149462,8969,3172,14368,2860
bubble,farmers,-0.147559,15639,4234,2399,1816
greedy,stretch,-0.145593,8073,6900,15213,8990
salty,chain,-0.145574,2119,1684,14476,2979
green,attention,-0.144868,176818,119613,6308,5634
peaceful,grab,-0.14486,25151,16870,27479,23969
pretend,pupil,-0.144687,63429,46968,3536,2124
trick,darkness,-0.144592,17892,12651,2003,1679
offer,wet,-0.144548,6467,5717,111774,70017
wiggle,library,-0.144193,4499,4279,14351,4815
yogurt,secure,-0.144074,16802,2791,1141,1082
meadow,fix,-0.144049,12979,7319,106107,69971
lemonade,furry,-0.143775,7094,2266,28981,18888
scale,despite,-0.143429,18601,5044,2172,2140
roar,purse,-0.142485,26293,14833,14998,3154
invitation,bend,-0.142404,6181,3437,6846,5846
anger,cook,-0.141771,1160,1091,38960,21505
fan,third,-0.141522,19580,3780,2832,2619
piggy,bright,-0.141432,3004,1225,115625,94668
smooth,nightmare,-0.14139,35081,22233,6037,2505
seaweed,opinion,-0.141377,1679,1121,3671,2449
imagine,leash,-0.140374,12351,8737,12855,5830
restore,tag,-0.139908,9118,6528,16811,13302
pinch,begin,-0.139555,10041,5888,1097,1073
horizon,organize,-0.139317,1429,1356,12513,7257
wand,farm,-0.139073,27499,12735,69515,32155
fork,storm,-0.138656,16591,4092,41748,17896
jet,aside,-0.138499,20805,2854,1447,1410
poison,clap,-0.138483,8061,2885,22048,16697
scoop,gloomy,-0.138158,2340,2059,21254,11148
complete,voice,-0.137889,11867,8134,118189,85134
crowd,nap,-0.137522,2070,1598,51417,29590
scarf,rumble,-0.1374,28519,9726,1742,1391
curious,choice,-0.137113,134287,124236,7356,6874
mall,underneath,-0.136828,9079,2822,2453,2302
energy,fake,-0.136642,7257,6426,32065,11855
yard,kindly,-0.136455,130054,94247,3433,3337
ribbon,volcano,-0.136439,9620,4359,15761,2622
agreement,train,-0.136387,3552,3488,93058,15473
season,angry,-0.136344,5434,2690,186344,145526
forward,wrapped,-0.13611,16519,15448,17538,15434
appreciate,stick,-0.136104,4254,3961,144230,62058
permission,worm,-0.135908,4771,3950,29565,6481
gas,princess,-0.135618,11114,3371,42117,14972
rotten,surf,-0.135278,1684,1207,8820,2495
drain,pride,-0.135131,10472,2843,3718,3660
grumpy,toss,-0.135086,38590,13482,1402,1297
couch,bravery,-0.134541,29765,15517,2025,1923
fetch,wardrobe,-0.134118,4879,3986,12295,2721
lightning,serve,-0.133668,11450,4659,10846,6719
sweetheart,excite,-0.133655,7614,7071,3686,2993
single,unpack,-0.133313,1523,1492,10214,6842
near,kindness,-0.133121,283070,232948,13901,12328
stir,collar,-0.132963,13886,8690,17038,7229
strike,outfit,-0.132662,6663,5087,1445,1104
nature,sponge,-0.132633,11195,7031,2293,1219
track,sip,-0.13235,15881,5380,4775,4310
tornado,balance,-0.132283,12086,2682,23568,12060
sunglasses,teamwork,-0.13223,13390,3016,2461,2387
distance,exam,-0.132146,10795,10483,10447,2469
feast,slip,-0.131956,1726,1520,7898,6295
provide,slimy,-0.131919,8388,6503,3413,2869
impressive,medicine,-0.131821,18768,11542,19593,7851
muddy,wizard,-0.131806,5882,4987,3903,1286
tune,space,-0.131779,2499,2110,19061,10464
flap,store,-0.131423,5439,4453,157559,81046
tease,entrance,-0.13131,10633,6916,1819,1657
speedy,necklace,-0.131249,9357,1436,20246,6927
barber,treasure,-0.131136,16077,2984,49751,21178
pill,creative,-0.131013,11938,2563,27635,18229
draw,source,-0.130944,73380,37720,1505,1438
everyday,sharp,-0.130804,5572,5374,41680,28758
bump,poem,-0.13022,4330,3521,12048,2417
deaf,fabric,-0.130093,17482,11193,1869,1311
skeleton,milk,-0.130091,13273,2698,43756,19029
fashion,burst,-0.129939,5653,2545,1840,1804
fuzzy,crash,-0.129831,3385,1926,7247,6720
breakfast,rock,-0.129647,10690,7557,265929,83005
warm,yell,-0.129254,173327,122521,10093,8593
yellow,experience,-0.129217,113830,70141,4218,4086
bag,shine,-0.129185,116624,55324,19705,13003
apart,wink,-0.129102,6392,5960,5699,2683
unsure,carpet,-0.128849,1461,1431,15951,4101
song,rid,-0.128613,84138,44954,2223,1996
