word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
ashtray,overcome,-0.242822,11847,2465,1382,1367
sticky,leader,-0.23632,8169,7167,3808,2246
flag,tummy,-0.235638,25002,6179,14339,10501
golden,math,-0.224041,5470,4395,14178,2775
recipe,bull,-0.222454,1472,1067,16384,2703
birthday,avoid,-0.218271,46154,24137,1571,1532
mirror,yield,-0.21194,26403,11106,8162,5795
singer,push,-0.208909,2066,1249,49699,40795
steady,parrot,-0.207409,2323,2001,18697,3599
peel,luxury,-0.205042,2116,1390,5381,2572
spray,asleep,-0.203534,20532,8599,20288,19308
elevator,precious,-0.197804,14637,2709,3505,3273
disturb,brand,-0.19688,9237,5935,2432,2383
leak,deserve,-0.194009,8937,2809,2006,1923
exercise,gold,-0.193952,6464,3202,21165,8305
decision,colorful,-0.192876,3184,2854,85866,67195
continue,bite,-0.191797,3010,2977,60784,49276
backpack,applaud,-0.191439,5766,3635,4967,4158
dive,neighbor,-0.188962,14339,6857,12812,6782
pink,earthquake,-0.188066,87515,42943,6802,2732
shoulder,decide,-0.185125,8657,6570,15754,14661
careless,massage,-0.18421,19120,12988,7237,2532
remind,sandbox,-0.184052,6274,5320,12385,8686
surface,helper,-0.182775,2154,1981,11184,8180
hut,sticker,-0.182279,11438,3061,8885,4612
pleasure,screen,-0.177911,1400,1391,15820,5706
flashlight,pig,-0.177619,16743,4756,33503,8335
embarrass,wooden,-0.176224,4988,3658,3956,3503
club,forehead,-0.176128,14396,3262,1807,1743
snowball,obey,-0.175882,3976,1890,2763,2485
keeper,fireplace,-0.17396,3516,1529,11799,3472
scratch,winter,-0.173568,6296,4782,10685,5783
badge,spaghetti,-0.173216,2143,1797,16822,3008
creamy,scare,-0.173047,1334,1196,22658,17819
dip,soldier,-0.172632,1392,1220,15385,3427
repair,giggle,-0.171764,12499,7248,8461,8265
wrist,wise,-0.171684,2511,1894,89254,44347
wealthy,breath,-0.170041,21283,11226,21775,20989
hose,twinkle,-0.170036,22966,6936,3903,1977
dust,twin,-0.169341,12846,5411,4060,2440
chair,harm,-0.168638,78373,32630,1796,1733
rail,spit,-0.167641,9588,2565,3464,3157
flash,measure,-0.167346,3090,2619,22438,10217
subway,handful,-0.166682,11163,2566,1652,1580
dig,price,-0.166652,26601,19933,6436,4227
settle,finger,-0.166312,7913,5842,21459,11778
kitten,flip,-0.166019,39322,8563,1331,1043
click,invite,-0.165563,1830,1702,10202,8497
patience,shiver,-0.163336,3160,2715,8476,6545
dark,slice,-0.162192,118492,82353,3691,2936
lemon,alert,-0.161791,26872,6796,15862,11452
copy,jeep,-0.161347,2571,2374,19163,2638
puppy,chop,-0.160794,47463,12285,1778,1086
lung,knock,-0.160537,4212,1551,9575,9013
gross,support,-0.159912,1496,1356,12777,7652
