word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
switch,herring,-0.230291,3058,2932,801,321
gel,veal,-0.226857,1903,1532,13098,4857
leaf,batter,-0.223552,39572,29725,188328,114830
elastic,oyster,-0.220774,9252,8897,8389,6227
rotate,herring,-0.209717,4999,4676,801,321
original,wooden,-0.20886,5793,5392,44176,41067
warmed,earthquake,-0.208014,13740,13226,575,540
halfway,weed,-0.20668,23922,23032,2645,2542
roller,cider,-0.20404,747,523,14321,9805
paste,waffle,-0.202058,79367,60745,7896,3524
healthy,thread,-0.190497,12743,9977,8363,7876
stud,texture,-0.189987,463,459,16686,15515
dark,roller,-0.189866,22957,20335,747,523
excessive,trifle,-0.188662,745,739,4185,2573
prune,source,-0.18812,1680,1295,3850,3657
saucy,tape,-0.187405,2161,2122,685,546
entire,plump,-0.185411,15252,14356,2163,2110
dull,meatball,-0.184667,954,943,4434,3568
lump,photograph,-0.184131,1533,1426,2928,2922
pound,element,-0.183688,31949,28912,1070,1025
guide,molasses,-0.182098,1533,1464,18019,14369
massage,brunch,-0.182058,2182,2046,2537,2490
exchange,quail,-0.181297,738,523,2677,756
impossible,photograph,-0.181033,1533,1517,2928,2922
nine,smell,-0.180956,1675,1638,4381,4104
dome,ranch,-0.177996,842,710,9811,7819
flame,walnut,-0.177437,13868,11145,13118,11477
pine,fail,-0.176738,13844,9416,1504,1494
shield,original,-0.17359,411,383,5793,5392
patch,ounce,-0.173128,800,755,6782,5838
razor,crunch,-0.171087,380,334,6926,6349
suitable,goat,-0.1708,1198,1155,14969,8630
stout,curve,-0.170601,978,627,874,844
waffle,bouquet,-0.170363,7896,3524,2680,1906
cookie,wild,-0.170185,153461,107032,9416,7106
snug,exchange,-0.16997,344,336,738,523
shortcut,gloss,-0.169307,560,549,1007,958
activate,spear,-0.1693,407,399,1447,1313
caviar,rotate,-0.168522,2135,1367,4999,4676
excessive,champagne,-0.167901,745,739,4945,3142
rotate,mayonnaise,-0.167634,4999,4676,61066,50672
stream,blind,-0.166948,10204,9914,775,707
protein,lobster,-0.166635,10322,9072,10961,3598
imitation,shelf,-0.165453,703,604,3184,2835
metal,suit,-0.165073,20118,18268,1898,1862
strong,arrange,-0.163337,3642,3468,106223,96144
squid,crunch,-0.163025,4773,1479,6926,6349
loosen,product,-0.162921,17763,17269,2650,2455
chunky,tape,-0.162584,7283,6926,685,546
