word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
warmed,earthquake,-0.208014,13740,13226,575,540
cider,roller,-0.20404,14321,9805,747,523
saucy,tape,-0.187405,2161,2122,685,546
smell,nine,-0.180956,4381,4104,1675,1638
ranch,dome,-0.177996,9811,7819,842,710
original,shield,-0.17359,5793,5392,411,383
stout,curve,-0.170601,978,627,874,844
cookie,wild,-0.170185,153461,107032,9416,7106
gloss,shortcut,-0.169307,1007,958,560,549
shelf,imitation,-0.165453,3184,2835,703,604
arrange,strong,-0.163337,106223,96144,3642,3468
loosen,product,-0.162921,17763,17269,2650,2455
press,winter,-0.162541,117501,104216,3509,3285
foam,jerk,-0.162033,9849,8877,1816,1185
marmalade,structure,-0.161987,6673,4419,334,310
jelly,marrow,-0.160088,25852,19411,708,337
dozen,entire,-0.15962,18542,18219,15252,14356
bite,attachment,-0.158795,18767,17908,15049,12629
microwave,slight,-0.158204,103087,70540,3413,3340
basket,lush,-0.157674,6754,4734,324,318
thread,opinion,-0.157613,8363,7876,320,315
distribute,draft,-0.155742,10756,10205,769,702
cling,pioneer,-0.15508,3650,3000,358,343
puff,bloody,-0.154038,13034,8677,1154,903
elastic,drunken,-0.15057,9252,8897,570,541
spice,spear,-0.150419,32787,26338,1447,1313
scramble,lavender,-0.149056,4586,4248,2898,1266
cloth,sundae,-0.147567,11798,9749,1357,1166
divide,lid,-0.147357,83732,78131,60620,46950
washed,football,-0.14714,2513,2432,656,434
photograph,purpose,-0.146886,2928,2922,2033,1924
crush,link,-0.146837,19653,18645,1200,1087
prune,element,-0.146737,1680,1295,1070,1025
pine,carton,-0.146101,13844,9416,1113,888
reach,quickie,-0.146082,8389,8169,339,333
crab,vitamin,-0.145954,26918,13510,2349,1241
poultry,bounce,-0.145898,4602,4226,315,306
bind,campfire,-0.144945,1125,1102,814,637
glass,render,-0.144757,78152,65891,1902,1858
goat,vessel,-0.144327,14969,8630,1148,938
quart,goal,-0.143874,25070,23729,712,671
file,bliss,-0.143824,785,626,334,325
unfold,comfort,-0.142552,2269,2161,725,658
moist,gas,-0.141426,20544,19621,11511,9963
cheesecake,bamboo,-0.140624,27700,14915,4777,3876
above,nutty,-0.140495,20012,18480,3633,3523
meatball,acid,-0.14034,4434,3568,1226,1063
noodle,ripe,-0.140028,11801,9923,2826,2618
wooden,exact,-0.140013,44176,41067,1168,1136
minus,occasional,-0.138838,811,794,311,305
quail,bullet,-0.138378,2677,756,390,329
jam,flake,-0.137789,25980,15979,5724,5479
scum,fiesta,-0.137517,2062,1825,1667,1598
heavy,cycle,-0.137174,91813,83612,3891,2758
chip,squid,-0.136925,17651,16885,4773,1479
chunk,activate,-0.136779,2773,2620,407,399
crack,triple,-0.136043,10735,10291,3809,3658
strawberry,sweat,-0.135855,33688,25070,4461,4164
assembly,stud,-0.13568,2967,2793,463,459
puffy,inject,-0.135536,3521,3355,370,327
mound,rush,-0.135233,9763,8992,619,603
plump,squirt,-0.134664,2163,2110,1088,1012
breakfast,octopus,-0.134537,14727,13915,1884,469
rid,bonnet,-0.134073,2031,1962,458,372
seed,extend,-0.13395,28130,23834,1173,1136
standard,curl,-0.133734,3833,3647,2153,2091
handful,unlock,-0.133337,5886,5427,327,308
upside,obtain,-0.133132,6235,5864,1252,1185
rare,eliminate,-0.132485,6876,6199,1402,1357
intact,malt,-0.132337,4584,4463,1238,917
pizza,essence,-0.13203,57740,27321,4395,3470
energy,razor,-0.131947,754,684,380,334
walnut,safety,-0.131676,13118,11477,355,325
uniform,afternoon,-0.13065,3867,3702,463,445
yellow,tent,-0.129423,18831,16733,4567,4357
pound,list,-0.129396,31949,28912,1366,1290
pasta,dark,-0.129359,168870,66383,22957,20335
pudding,snip,-0.129264,82824,48178,2839,2726
split,flute,-0.12907,17264,15573,3646,3538
screw,swap,-0.129034,2598,2392,343,327
rise,mint,-0.128077,52396,34020,39603,27718
avoid,mountain,-0.127811,10195,9776,976,864
delight,carve,-0.127756,6065,5950,3213,3094
cucumber,altitude,-0.127664,29855,19767,775,721
papaya,attention,-0.127631,2854,1476,676,659
blitz,hobo,-0.126068,1476,1270,495,457
pastry,island,-0.125647,87282,45355,1987,1855
label,smear,-0.125434,3098,2976,2824,2653
dust,pouch,-0.125299,25515,23313,1848,1308
stiff,halfway,-0.124878,46080,42728,23922,23032
discard,pancake,-0.1248,70830,63579,14892,9601
hamburger,passion,-0.124737,26971,19454,1415,791
bag,toast,-0.124683,92701,55783,51057,40816
develop,hen,-0.124672,3146,3063,2078,1148
burn,flag,-0.124319,21203,20229,578,464
secure,rich,-0.124111,11674,11240,7659,7315
attach,juicy,-0.123884,4123,3041,3684,3552
macaroni,equipment,-0.123774,34120,16430,1552,1511
membrane,mode,-0.123749,2648,2217,765,671
screen,member,-0.123541,441,345,341,340
absorb,slit,-0.123417,7215,7015,5983,5306
crumb,offer,-0.123361,19530,15425,690,677
fudge,force,-0.123257,22149,16985,1598,1568
shred,crystal,-0.123195,18148,17277,815,770
scrub,shade,-0.123145,4326,4183,1037,991
pure,rearrange,-0.122777,1657,1496,404,394
fail,neutral,-0.122484,1504,1494,344,325
batter,string,-0.122445,188328,114830,7733,6125
shrimp,protein,-0.122445,120378,38939,10322,9072
slow,decoration,-0.122249,44453,30214,1881,1767
peach,timer,-0.122238,20202,13720,2571,2045
tofu,torch,-0.122092,28018,9719,1417,1056
lobster,germ,-0.122037,10961,3598,2945,2606
wrapped,starch,-0.121631,9508,8688,8373,7015
veal,snack,-0.121615,13098,4857,5092,4697
leaf,waffle,-0.121482,39572,29725,7896,3524
boiler,info,-0.121418,23691,20794,528,518
prick,intense,-0.121151,9632,9310,640,627
meantime,straw,-0.120904,5078,4976,2187,1929
motion,jumbo,-0.120698,3077,2903,1667,1383
flip,grape,-0.120628,30242,27410,6964,4948
slide,artificial,-0.119302,11490,10242,494,474
sodium,ribbon,-0.1193,7533,6923,3076,2733
portion,bubble,-0.118889,19915,17420,12014,11434
vegetable,spot,-0.118776,81069,71004,2769,2449
muffin,bouquet,-0.11847,67858,41236,2680,1906
green,counter,-0.118253,164011,130760,9466,8455
wedge,volume,-0.11821,6896,6086,6002,5306
flank,dent,-0.118064,4018,2602,462,385
bright,pocket,-0.118001,5834,5662,4690,3335
crumble,feed,-0.11749,32863,29934,3454,2923
weed,molten,-0.117378,2645,2542,536,507
fluff,butcher,-0.116751,9349,8924,1296,1215
motor,lazy,-0.116609,3214,2994,1740,1688
moisture,espresso,-0.116493,11031,10308,6417,4159
mustard,diameter,-0.116145,86752,72210,12817,12173
instant,rough,-0.116056,10889,9371,4302,4053
relish,toll,-0.115766,11927,8762,564,529
snow,disturb,-0.115745,6051,4319,508,499
shiny,wagon,-0.115733,5310,5085,364,345
underneath,tonic,-0.115657,4868,4604,498,345
smash,source,-0.115544,4036,3784,3850,3657
champagne,greasy,-0.115516,4945,3142,621,598
sesame,fit,-0.11548,43888,29785,18437,17181
steam,cocktail,-0.115463,33376,30074,17921,13596
slip,exception,-0.115365,3421,3300,391,388
space,luncheon,-0.115297,8310,7966,660,595
simple,area,-0.115198,14768,13399,4543,4024
degree,dirt,-0.115104,22487,21536,3023,2602
mushroom,rotate,-0.114972,47039,35552,4999,4676
paste,iron,-0.114937,79367,60745,20319,16007
chocolate,cavity,-0.114309,300001,138265,8407,5958
metal,personal,-0.114114,20118,18268,1872,1827
manual,pool,-0.114004,904,842,804,775
pitcher,shrink,-0.113768,9307,7663,1376,1346
pinch,ideal,-0.113668,42350,37933,1259,1228
saucer,endless,-0.113575,1383,1181,398,396
rhubarb,diner,-0.113372,15525,5866,331,319
tequila,irregular,-0.113071,3999,2989,458,453
drag,ample,-0.113056,596,578,401,391
bran,angle,-0.112984,7327,4775,2894,2727
film,bayou,-0.112875,4211,3524,337,313
duck,peppermint,-0.112337,14375,3291,5344,3314
single,brew,-0.112028,29869,28480,1461,1219
decorate,active,-0.111683,14266,13584,804,732
chunky,chimney,-0.11144,7283,6926,687,476
strip,suitable,-0.111209,11442,8945,1198,1155
alcohol,ton,-0.111203,3172,2787,1185,753
rub,brunch,-0.111126,46480,38812,2537,2490
ketchup,drape,-0.111055,18856,16113,1563,1482
caviar,assure,-0.111006,2135,1367,419,407
total,trash,-0.110718,18619,16779,474,408
shake,dull,-0.110671,46439,40724,954,943
thick,include,-0.110638,144560,131550,2968,2907
impossible,grid,-0.110421,1533,1517,865,729
maker,coast,-0.110321,9007,6939,359,347
potato,bottle,-0.110206,117758,77467,9179,7378
farm,consistent,-0.110002,1109,1076,766,734
float,butterfly,-0.109952,5214,4991,1936,1750
corn,fan,-0.109696,134125,83248,3679,3374
atop,patient,-0.109664,5839,5233,708,691
short,equivalent,-0.109577,11693,9044,730,713
liner,accompany,-0.109391,2400,2014,983,978
outdoor,previous,-0.109384,2974,2883,1284,1248
stage,stack,-0.109312,10470,9534,9385,7859
wing,select,-0.109285,3869,2899,3849,3314
omelet,stain,-0.10865,6747,3000,325,303
rim,hearty,-0.108352,12657,9997,4048,3997
visible,server,-0.108199,2856,2794,357,344
yield,knob,-0.108198,21047,19724,623,552
grain,snowball,-0.108037,10935,10153,492,472
fork,ounce,-0.10802,98102,89291,6782,5838
crispy,solution,-0.107927,31259,27419,2112,1684
melon,blind,-0.107897,6646,3968,775,707
continue,fancy,-0.107827,109807,97079,2373,2313
tilt,various,-0.107234,3423,3305,1014,994
lift,suit,-0.106974,17599,16236,1898,1862
cube,network,-0.106965,14873,13400,2152,2101
exchange,parcel,-0.106783,738,523,650,485
salami,silver,-0.10667,3482,2358,1588,1473
flatten,suggestion,-0.106603,28727,27571,1223,1187
crusty,gel,-0.10658,8859,8630,1903,1532
rubber,appetite,-0.106479,14822,13264,302,301
substitute,damp,-0.106443,16489,14511,10540,9437
wilt,commercial,-0.106365,4888,4787,587,557
kettle,devour,-0.106232,11061,8950,901,896
elbow,cluster,-0.106163,1052,966,374,328
healthy,charcoal,-0.106114,12743,9977,8626,6419
buttermilk,page,-0.106089,49589,36977,3715,2097
famous,bench,-0.106082,1932,1902,1095,911
cobbler,register,-0.105919,7933,6815,843,778
adjust,block,-0.105792,38478,36137,2437,2039
massage,viewer,-0.105615,2182,2046,633,630
dribble,jerky,-0.10543,1293,1253,1106,724
oyster,hook,-0.105299,8389,6227,5257,4364
vent,cuisine,-0.105293,2457,2278,423,395
pipe,stale,-0.105119,12594,9993,633,599
tender,tap,-0.105098,274586,240209,6240,5887
popcorn,margin,-0.105094,11848,4801,547,501
basin,hungry,-0.105073,938,556,887,858
ham,martini,-0.105029,65895,33373,4739,3171
port,count,-0.105028,3555,2350,996,944
runny,courtesy,-0.104873,6231,5951,538,524
stock,pretzel,-0.104696,96020,64401,5414,3519
deep,machine,-0.104581,55598,50867,16837,11272
kidney,contact,-0.10437,5677,5061,1366,1338
fasten,value,-0.104325,1176,1166,461,449
bulb,jiffy,-0.104232,2602,1850,837,773
turnip,window,-0.104127,2412,1692,611,506
diamond,spatter,-0.103885,2143,1892,390,380
trifle,spit,-0.103732,4185,2573,615,426
barbecue,texture,-0.103624,23774,17390,16686,15515
surface,pickle,-0.103592,100538,81333,6483,5409
rinse,circular,-0.103382,59056,54841,2869,2714
style,tacky,-0.103376,16010,15560,1157,1080
sticky,liquor,-0.103344,21622,19198,2616,2071
crowd,draw,-0.10306,3648,3616,2740,2521
maple,stretch,-0.103013,24982,17649,4871,4162
serve,level,-0.10301,607156,566535,14061,13143
gum,smother,-0.102983,1899,1639,540,529
settle,fiery,-0.10257,2532,2454,395,374
blueberry,inner,-0.10244,16490,13284,2565,2300
meal,wipe,-0.102405,24028,21585,13043,12506
steamer,daily,-0.102399,9728,5988,1208,1100
yogurt,height,-0.102376,52154,34458,1243,1150
trim,mug,-0.102284,30153,27666,4045,2800
blade,crunch,-0.102242,9484,8402,6926,6349
creamy,seal,-0.102228,63853,59375,54896,50345
lettuce,ignite,-0.102093,48542,37699,1248,1194
fashion,maximum,-0.101764,3971,3929,1252,1202
double,pulp,-0.101751,47495,41949,14365,9719
swordfish,pet,-0.101588,2333,990,834,758
sauerkraut,outline,-0.101526,8986,4855,503,400
