word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
deserve,shadow,-0.26117,2006,1923,22697,6456
ashtray,overcome,-0.242822,11847,2465,1382,1367
sticky,leader,-0.23632,8169,7167,3808,2246
flag,tummy,-0.235638,25002,6179,14339,10501
fear,cheap,-0.227643,8846,8146,20848,11380
golden,math,-0.224041,5470,4395,14178,2775
tiny,choice,-0.222561,117813,76770,7356,6874
recipe,bull,-0.222454,1472,1067,16384,2703
washed,universe,-0.219744,22025,20390,8348,2703
birthday,avoid,-0.218271,46154,24137,1571,1532
situation,excite,-0.215434,2353,2263,3686,2993
wing,sneak,-0.214922,30004,14802,3761,3652
colorful,despite,-0.21392,85866,67195,2172,2140
solution,excite,-0.2129,1922,1803,3686,2993
lap,unite,-0.212271,2350,2170,9628,6388
mirror,yield,-0.21194,26403,11106,8162,5795
dip,ambulance,-0.211166,1392,1220,14259,3410
timer,rough,-0.209285,2542,1638,24977,15537
singer,push,-0.208909,2066,1249,49699,40795
steady,parrot,-0.207409,2323,2001,18697,3599
burn,solution,-0.206721,10978,8268,1922,1803
delay,cheek,-0.205653,8106,6183,5296,4922
round,despite,-0.205339,69814,50625,2172,2140
bouncy,obey,-0.205117,9876,5288,2763,2485
peel,luxury,-0.205042,2116,1390,5381,2572
spray,asleep,-0.203534,20532,8599,20288,19308
sticky,guard,-0.202311,8169,7167,12766,3878
precious,yawn,-0.201539,3505,3273,7885,5161
breath,cheap,-0.20059,21775,20989,20848,11380
tiny,obey,-0.200307,117813,76770,2763,2485
thud,improve,-0.198973,1942,1911,11550,6927
elevator,precious,-0.197804,14637,2709,3505,3273
cop,dip,-0.197592,13063,2852,1392,1220
avoid,wink,-0.196971,1571,1532,5699,2683
disturb,brand,-0.19688,9237,5935,2432,2383
fake,hopeful,-0.196439,32065,11855,1514,1476
sticky,kingdom,-0.196402,8169,7167,5213,2868
bus,precious,-0.195567,42105,7382,3505,3273
leak,deserve,-0.194009,8937,2809,2006,1923
exercise,gold,-0.193952,6464,3202,21165,8305
decision,colorful,-0.192876,3184,2854,85866,67195
pride,thirsty,-0.192824,3718,3660,20344,16425
gather,cheek,-0.192541,11450,8441,5296,4922
envelope,avoid,-0.192095,15525,5328,1571,1532
continue,bite,-0.191797,3010,2977,60784,49276
challenge,noisy,-0.191754,3011,2531,27622,16026
backpack,applaud,-0.191439,5766,3635,4967,4158
earthquake,purple,-0.191306,6802,2732,57877,21462
untie,volcano,-0.191291,2222,1446,15761,2622
pine,flip,-0.191045,13454,2951,1331,1043
expensive,giggle,-0.191026,26239,15453,8461,8265
unite,grip,-0.190259,9628,6388,1461,1435
toss,safari,-0.189581,1402,1297,7202,2454
bounce,bravery,-0.189039,34844,14371,2025,1923
dive,neighbor,-0.188962,14339,6857,12812,6782
breath,expensive,-0.188941,21775,20989,26239,15453
wander,sticker,-0.188637,9747,7691,8885,4612
original,avoid,-0.188497,19695,11537,1571,1532
noon,avoid,-0.188443,3836,2611,1571,1532
round,safety,-0.188114,69814,50625,4253,3983
pink,earthquake,-0.188066,87515,42943,6802,2732
obedient,fabric,-0.187996,19027,11557,1869,1311
shrink,picnic,-0.187673,13191,7092,24562,12372
bank,draw,-0.18722,2719,1638,73380,37720
giant,copy,-0.186337,36375,13483,2571,2374
wiggle,permission,-0.186068,4499,4279,4771,3950
obedient,seaweed,-0.185796,19027,11557,1679,1121
lid,improve,-0.185752,9662,6106,11550,6927
shoulder,decide,-0.185125,8657,6570,15754,14661
apologize,icy,-0.184999,3251,3053,26659,11633
purple,despite,-0.184478,57877,21462,2172,2140
careless,massage,-0.18421,19120,12988,7237,2532
jazz,scoop,-0.184161,16087,2638,2340,2059
porch,confident,-0.184139,11099,4750,1853,1789
remind,sandbox,-0.184052,6274,5320,12385,8686
adorable,avoid,-0.183939,15133,11209,1571,1532
noon,bleed,-0.183289,3836,2611,1202,1158
burn,outfit,-0.183042,10978,8268,1445,1104
unite,asleep,-0.182866,9628,6388,20288,19308
surface,helper,-0.182775,2154,1981,11184,8180
workers,cheek,-0.182585,2559,1357,5296,4922
round,obey,-0.182563,69814,50625,2763,2485
rich,copy,-0.182284,30205,12705,2571,2374
hut,sticker,-0.182279,11438,3061,8885,4612
lumber,flip,-0.179891,10391,2439,1331,1043
hungry,pride,-0.179673,114579,86641,3718,3660
situation,colorful,-0.178838,2353,2263,85866,67195
sticky,faraway,-0.178513,8169,7167,2454,2239
invitation,avoid,-0.178264,6181,3437,1571,1532
pleasure,screen,-0.177911,1400,1391,15820,5706
begin,slap,-0.177648,1097,1073,6765,4889
flashlight,pig,-0.177619,16743,4756,33503,8335
press,picnic,-0.177523,5898,4384,24562,12372
poison,build,-0.1771,8061,2885,58798,32484
cabin,sticker,-0.1769,10424,2857,8885,4612
factory,grip,-0.176887,12323,2747,1461,1435
fear,yellow,-0.176733,8846,8146,113830,70141
desk,harm,-0.176474,15800,5369,1796,1733
embarrass,wooden,-0.176224,4988,3658,3956,3503
fear,expensive,-0.176143,8846,8146,26239,15453
club,forehead,-0.176128,14396,3262,1807,1743
snowball,obey,-0.175882,3976,1890,2763,2485
chop,collar,-0.175765,1778,1086,17038,7229
anger,arrive,-0.175671,1160,1091,2687,2514
continue,spicy,-0.175658,3010,2977,39354,12201
beep,precious,-0.175438,14491,6864,3505,3273
shake,permission,-0.175279,34973,30004,4771,3950
solution,icy,-0.175206,1922,1803,26659,11633
musician,slimy,-0.175117,10076,2712,3413,2869
scratch,season,-0.174987,6296,4782,5434,2690
