word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
ashtray,overcome,-0.242822,11847,2465,1382,1367
sticky,leader,-0.23632,8169,7167,3808,2246
flag,tummy,-0.235638,25002,6179,14339,10501
math,golden,-0.224041,14178,2775,5470,4395
bull,recipe,-0.222454,16384,2703,1472,1067
birthday,avoid,-0.218271,46154,24137,1571,1532
mirror,yield,-0.21194,26403,11106,8162,5795
push,singer,-0.208909,49699,40795,2066,1249
parrot,steady,-0.207409,18697,3599,2323,2001
luxury,peel,-0.205042,5381,2572,2116,1390
spray,asleep,-0.203534,20532,8599,20288,19308
elevator,precious,-0.197804,14637,2709,3505,3273
disturb,brand,-0.19688,9237,5935,2432,2383
leak,deserve,-0.194009,8937,2809,2006,1923
gold,exercise,-0.193952,21165,8305,6464,3202
colorful,decision,-0.192876,85866,67195,3184,2854
bite,continue,-0.191797,60784,49276,3010,2977
backpack,applaud,-0.191439,5766,3635,4967,4158
dive,neighbor,-0.188962,14339,6857,12812,6782
pink,earthquake,-0.188066,87515,42943,6802,2732
decide,shoulder,-0.185125,15754,14661,8657,6570
careless,massage,-0.18421,19120,12988,7237,2532
sandbox,remind,-0.184052,12385,8686,6274,5320
helper,surface,-0.182775,11184,8180,2154,1981
hut,sticker,-0.182279,11438,3061,8885,4612
screen,pleasure,-0.177911,15820,5706,1400,1391
pig,flashlight,-0.177619,33503,8335,16743,4756
embarrass,wooden,-0.176224,4988,3658,3956,3503
club,forehead,-0.176128,14396,3262,1807,1743
snowball,obey,-0.175882,3976,1890,2763,2485
fireplace,keeper,-0.17396,11799,3472,3516,1529
winter,scratch,-0.173568,10685,5783,6296,4782
spaghetti,badge,-0.173216,16822,3008,2143,1797
scare,creamy,-0.173047,22658,17819,1334,1196
soldier,dip,-0.172632,15385,3427,1392,1220
repair,giggle,-0.171764,12499,7248,8461,8265
wise,wrist,-0.171684,89254,44347,2511,1894
breath,wealthy,-0.170041,21775,20989,21283,11226
hose,twinkle,-0.170036,22966,6936,3903,1977
dust,twin,-0.169341,12846,5411,4060,2440
chair,harm,-0.168638,78373,32630,1796,1733
rail,spit,-0.167641,9588,2565,3464,3157
measure,flash,-0.167346,22438,10217,3090,2619
subway,handful,-0.166682,11163,2566,1652,1580
dig,price,-0.166652,26601,19933,6436,4227
finger,settle,-0.166312,21459,11778,7913,5842
kitten,flip,-0.166019,39322,8563,1331,1043
invite,click,-0.165563,10202,8497,1830,1702
shiver,patience,-0.163336,8476,6545,3160,2715
dark,slice,-0.162192,118492,82353,3691,2936
lemon,alert,-0.161791,26872,6796,15862,11452
jeep,copy,-0.161347,19163,2638,2571,2374
puppy,chop,-0.160794,47463,12285,1778,1086
knock,lung,-0.160537,9575,9013,4212,1551
support,gross,-0.159912,12777,7652,1496,1356
jealous,timer,-0.158977,23066,13973,2542,1638
bathroom,pine,-0.158622,22024,13109,13454,2951
jog,glitter,-0.158613,20550,9315,2063,1267
thief,confident,-0.158169,15779,3855,1853,1789
tidy,cone,-0.15814,30745,16917,23619,8990
sand,lecture,-0.158079,76103,35694,5762,2451
oasis,tug,-0.158031,10596,2566,6532,5877
bottom,allow,-0.157961,18330,16658,4908,4314
succeed,texture,-0.157918,8988,6298,3734,2597
scream,collection,-0.157882,14726,12894,5065,3503
smart,entire,-0.156835,65646,52395,1889,1830
purple,operation,-0.15649,57877,21462,6448,2621
tiny,rule,-0.155779,117813,76770,2470,1822
jail,twirl,-0.155636,9621,3043,2176,1985
menu,safety,-0.155391,8329,3032,4253,3983
quack,achieve,-0.155254,5513,2526,2242,2165
parade,wipe,-0.154973,15538,3427,10606,8232
porch,tricky,-0.154957,11099,4750,1948,1823
fence,bedtime,-0.154816,45556,19572,2913,2671
wing,downstairs,-0.154694,30004,14802,3926,3150
difficult,cheek,-0.154449,21413,14793,5296,4922
summer,broom,-0.154295,10345,6425,4135,2359
original,sting,-0.153619,19695,11537,2923,2322
snowman,behave,-0.152903,36710,8243,14793,7574
rare,fear,-0.152872,26248,12445,8846,8146
noisy,prove,-0.152619,27622,16026,1395,1310
planet,untie,-0.152412,12682,3030,2222,1446
kingdom,lettuce,-0.152394,5213,2868,2117,1547
rough,mission,-0.152325,24977,15537,2497,1902
coat,split,-0.152247,43525,23273,13873,7832
test,laughter,-0.151526,23940,11047,8280,7989
hill,simple,-0.151266,124053,40587,5040,4769
feed,hallway,-0.150672,21209,14775,1468,1171
queen,gum,-0.149621,31142,9201,17838,2882
shelter,press,-0.149541,10572,4374,5898,4384
notebook,steam,-0.149462,14368,2860,8969,3172
include,grip,-0.149279,6839,5627,1461,1435
faraway,bleed,-0.14887,2454,2239,1202,1158
triangle,fresh,-0.148372,17267,4162,8215,7497
slap,hopeful,-0.147723,6765,4889,1514,1476
bubble,farmers,-0.147559,15639,4234,2399,1816
healthy,envelope,-0.147256,32298,21207,15525,5328
bounce,danger,-0.145743,34844,14371,8360,7683
stretch,greedy,-0.145593,15213,8990,8073,6900
chain,salty,-0.145574,14476,2979,2119,1684
bench,effort,-0.145548,45988,28595,2431,2302
perfume,nine,-0.145249,11394,2626,2081,1702
green,attention,-0.144868,176818,119613,6308,5634
grab,peaceful,-0.14486,27479,23969,25151,16870
pretend,pupil,-0.144687,63429,46968,3536,2124
trick,darkness,-0.144592,17892,12651,2003,1679
wet,offer,-0.144548,111774,70017,6467,5717
library,wiggle,-0.144193,14351,4815,4499,4279
yogurt,secure,-0.144074,16802,2791,1141,1082
fix,meadow,-0.144049,106107,69971,12979,7319
furry,lemonade,-0.143775,28981,18888,7094,2266
thunder,counter,-0.143457,13807,6292,6040,5140
scale,despite,-0.143429,18601,5044,2172,2140
roar,purse,-0.142485,26293,14833,14998,3154
bend,invitation,-0.142404,6846,5846,6181,3437
cook,anger,-0.141771,38960,21505,1160,1091
fan,third,-0.141522,19580,3780,2832,2619
bright,piggy,-0.141432,115625,94668,3004,1225
smooth,nightmare,-0.14139,35081,22233,6037,2505
opinion,seaweed,-0.141377,3671,2449,1679,1121
shelf,bother,-0.140909,35994,21820,4978,4770
leash,imagine,-0.140374,12855,5830,12351,8737
tag,restore,-0.139908,16811,13302,9118,6528
pinch,begin,-0.139555,10041,5888,1097,1073
shrink,solution,-0.139477,13191,7092,1922,1803
organize,horizon,-0.139317,12513,7257,1429,1356
farm,wand,-0.139073,69515,32155,27499,12735
storm,fork,-0.138656,41748,17896,16591,4092
jet,aside,-0.138499,20805,2854,1447,1410
clap,poison,-0.138483,22048,16697,8061,2885
gloomy,scoop,-0.138158,21254,11148,2340,2059
voice,complete,-0.137889,118189,85134,11867,8134
nap,crowd,-0.137522,51417,29590,2070,1598
happiness,short,-0.13742,17468,16421,10707,9321
scarf,rumble,-0.1374,28519,9726,1742,1391
curious,choice,-0.137113,134287,124236,7356,6874
