word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
ashtray,overcome,-0.242822,11847,2465,1382,1367,overcray
sticky,leader,-0.23632,8169,7167,3808,2246,steader
flag,tummy,-0.235638,25002,6179,14339,10501,flammy
math,golden,-0.224041,14178,2775,5470,4395,goldath
bull,recipe,-0.222454,16384,2703,1472,1067,recipull
birthday,avoid,-0.218271,46154,24137,1571,1532,avorthday
mirror,yield,-0.21194,26403,11106,8162,5795,yierror
push,singer,-0.208909,49699,40795,2066,1249,singush
parrot,steady,-0.207409,18697,3599,2323,2001,stearrot
luxury,peel,-0.205042,5381,2572,2116,1390,luxureel
spray,asleep,-0.203534,20532,8599,20288,19308,spraleep
elevator,precious,-0.197804,14637,2709,3505,3273,elecious
disturb,brand,-0.19688,9237,5935,2432,2383,distrand
leak,deserve,-0.194009,8937,2809,2006,1923,deseak
colorful,decision,-0.192876,85866,67195,3184,2854,colorision
bite,continue,-0.191797,60784,49276,3010,2977,bitinue
backpack,applaud,-0.191439,5766,3635,4967,4158,applackpack
dive,neighbor,-0.188962,14339,6857,12812,6782,deighbour
pink,earthquake,-0.188066,87515,42943,6802,2732,earthquink
decide,shoulder,-0.185125,15754,14661,8657,6570,decoulder
careless,massage,-0.18421,19120,12988,7237,2532,massareless
sandbox,remind,-0.184052,12385,8686,6274,5320,remandbox
helper,surface,-0.182775,11184,8180,2154,1981,helpace
hut,sticker,-0.182279,11438,3061,8885,4612,stickut
screen,pleasure,-0.177911,15820,5706,1400,1391,screasure
pig,flashlight,-0.177619,33503,8335,16743,4756,pashlight
embarrass,wooden,-0.176224,4988,3658,3956,3503,embooden
club,forehead,-0.176128,14396,3262,1807,1743,clorehead
snowball,obey,-0.175882,3976,1890,2763,2485,snowbey
fireplace,keeper,-0.17396,11799,3472,3516,1529,firepleeper
winter,scratch,-0.173568,10685,5783,6296,4782,wintratch
spaghetti,badge,-0.173216,16822,3008,2143,1797,spaghettadge
scare,creamy,-0.173047,22658,17819,1334,1196,creamare
soldier,dip,-0.172632,15385,3427,1392,1220,dioldier
repair,giggle,-0.171764,12499,7248,8461,8265,repiggle
wise,wrist,-0.171684,89254,44347,2511,1894,wrise
breath,wealthy,-0.170041,21775,20989,21283,11226,brealthy
hose,twinkle,-0.170036,22966,6936,3903,1977,twinkose
dust,twin,-0.169341,12846,5411,4060,2440,twust
chair,harm,-0.168638,78373,32630,1796,1733,harair
rail,spit,-0.167641,9588,2565,3464,3157,spail
measure,flash,-0.167346,22438,10217,3090,2619,flaesure
subway,handful,-0.166682,11163,2566,1652,1580,subful
dig,price,-0.166652,26601,19933,6436,4227,drice
finger,settle,-0.166312,21459,11778,7913,5842,finettle
kitten,flip,-0.166019,39322,8563,1331,1043,flitten
invite,click,-0.165563,10202,8497,1830,1702,invick
shiver,patience,-0.163336,8476,6545,3160,2715,pativer
dark,slice,-0.162192,118492,82353,3691,2936,slark
lemon,alert,-0.161791,26872,6796,15862,11452,alermon
