word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
zip,zipper,0.939898,3038,2774,781,710
steady,stream,0.922066,5720,5569,10204,9914
fasten,secure,0.877367,1176,1166,11674,11240
choke,fuzzy,0.855551,703,609,368,360
outdoor,indoor,0.833787,2974,2883,787,738
salami,pepperoni,0.832267,3482,2358,7960,5583
kettle,pot,0.822631,11061,8950,255925,158926
muffin,cupcake,0.82161,67858,41236,13692,7489
disperse,distribute,0.818266,340,331,10756,10205
achieve,obtain,0.817462,3151,3086,1252,1185
healthy,tasty,0.817008,12743,9977,7476,7370
cast,iron,0.81531,9789,8802,20319,16007
burner,flame,0.814692,7075,6033,13868,11145
knife,sharp,0.813365,89154,78509,24352,23114
exterior,interior,0.810117,893,839,1383,1286
miracle,mayonnaise,0.809571,3885,3419,61066,50672
pulse,blitz,0.807438,37911,27637,1476,1270
damp,cloth,0.805746,10540,9437,11798,9749
brisk,lively,0.803646,409,391,457,433
bright,vibrant,0.801937,5834,5662,351,344
assembly,assemble,0.800297,2967,2793,16128,15275
boiler,double,0.799459,23691,20794,47495,41949
stout,beer,0.798837,978,627,18838,11872
cupboard,pantry,0.792405,372,360,791,771
gap,space,0.791884,481,451,8310,7966
tooth,toothpick,0.785659,1320,1263,47507,45665
film,cling,0.781513,4211,3524,3650,3000
smash,crush,0.779609,4036,3784,19653,18645
seaweed,sushi,0.777581,2634,1563,3822,1491
slip,slide,0.777469,3421,3300,11490,10242
source,element,0.776898,3850,3657,1070,1025
basket,steamer,0.773669,6754,4734,9728,5988
carton,tub,0.771498,1113,888,1174,980
freezer,fridge,0.771449,48748,35818,37587,31200
molten,lava,0.771395,536,507,500,431
pulp,flesh,0.769134,14365,9719,14760,11218
escape,vent,0.767164,4476,4425,2457,2278
lobster,claw,0.76638,10961,3598,539,377
treat,snack,0.766327,2462,2344,5092,4697
hammer,cleaver,0.760544,714,664,736,680
uniform,consistent,0.760188,3867,3702,766,734
tacky,elastic,0.756891,1157,1080,9252,8897
outer,inner,0.75682,9098,8463,2565,2300
macaroni,elbow,0.754657,34120,16430,1052,966
platter,plate,0.750978,56274,50488,140468,113595
season,pepper,0.750417,230929,185418,699658,518501
mix,blend,0.74927,1089485,760785,186120,160479
variation,note,0.74615,5255,4661,49624,45029
jam,marmalade,0.74584,25980,15979,6673,4419
technique,method,0.744176,932,866,7981,6683
adjust,correct,0.741349,38478,36137,2658,2586
scatter,sprinkle,0.740417,14028,12809,459441,392085
texture,appearance,0.739775,16686,15515,1337,1307
shrink,collapse,0.738933,1376,1346,631,615
bottle,jar,0.738164,9179,7378,37238,26487
wet,dry,0.737216,34358,29910,244075,205476
upper,position,0.736437,4952,4557,14428,13470
mess,messy,0.736413,2090,2004,1350,1307
veal,liver,0.735779,13098,4857,5539,2492
accompany,offer,0.734785,983,978,690,677
choose,decide,0.734646,4621,4429,1068,1028
chimney,charcoal,0.734043,687,476,8626,6419
stalk,bulb,0.730345,2623,2182,2602,1850
waffle,pancake,0.73008,7896,3524,14892,9601
simmer,boil,0.729221,365022,282261,465659,360310
thin,thick,0.728305,77768,70429,144560,131550
angle,bias,0.72809,2894,2727,1304,1284
register,internal,0.727164,843,778,8189,7574
dirt,sand,0.727076,3023,2602,3084,2833
germ,bran,0.726308,2945,2606,7327,4775
various,variety,0.723796,1014,994,2358,2270
yellow,purple,0.720932,18831,16733,1908,1576
cherry,grape,0.718938,34893,25873,6964,4948
leak,spill,0.717572,714,702,825,804
recipe,classic,0.716908,144783,125272,5086,4945
cracker,crumb,0.714925,28744,23843,19530,15425
handy,nearby,0.714912,1462,1434,569,553
glass,ceramic,0.714641,78152,65891,3763,3588
steep,brew,0.712748,6613,6299,1461,1219
cake,cheesecake,0.711348,368036,153244,27700,14915
paint,brush,0.710962,2507,1897,108208,87657
function,mode,0.710377,653,543,765,671
rinse,refresh,0.709628,59056,54841,1670,1565
