word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
zip,zipper,0.939898,3038,2774,781,710
steady,stream,0.922066,5720,5569,10204,9914
mango,papaya,0.903692,17207,9134,2854,1476
margin,border,0.89943,547,501,7773,6420
airtight,store,0.892481,35135,33788,67117,64308
calcium,vitamin,0.889598,1608,1475,2349,1241
flank,skirt,0.887833,4018,2602,1090,759
fasten,secure,0.877367,1176,1166,11674,11240
suggest,recommend,0.87735,1982,1918,4792,4556
design,pattern,0.862035,2071,1885,7012,6555
pile,heap,0.861464,6651,6254,893,876
smell,aroma,0.858801,4381,4104,2740,2632
harvest,autumn,0.85626,1685,1649,1381,1355
choke,fuzzy,0.855551,703,609,368,360
breakfast,brunch,0.855055,14727,13915,2537,2490
rubber,spatula,0.853499,14822,13264,54045,45159
southwest,fiesta,0.847042,1763,1678,1667,1598
crisp,crispy,0.846486,64852,60176,31259,27419
mixer,electric,0.844264,125492,96810,63824,58431
pasta,spaghetti,0.836977,168870,66383,43880,24377
salmon,trout,0.834791,58542,18829,4306,1668
outdoor,indoor,0.833787,2974,2883,787,738
winter,summer,0.832962,3509,3285,9199,8621
salami,pepperoni,0.832267,3482,2358,7960,5583
depression,dent,0.831783,1005,876,462,385
rib,prime,0.829636,4466,3168,894,599
squid,octopus,0.827282,4773,1479,1884,469
kettle,pot,0.822631,11061,8950,255925,158926
muffin,cupcake,0.82161,67858,41236,13692,7489
disperse,distribute,0.818266,340,331,10756,10205
achieve,obtain,0.817462,3151,3086,1252,1185
healthy,tasty,0.817008,12743,9977,7476,7370
watermelon,melon,0.816728,7206,3021,6646,3968
cast,iron,0.81531,9789,8802,20319,16007
burner,flame,0.814692,7075,6033,13868,11145
knife,sharp,0.813365,89154,78509,24352,23114
tree,wreath,0.811795,1767,973,1059,627
exterior,interior,0.810117,893,839,1383,1286
area,spot,0.809724,4543,4024,2769,2449
miracle,mayonnaise,0.809571,3885,3419,61066,50672
fish,catfish,0.809345,108854,42674,2907,1446
pulse,blitz,0.807438,37911,27637,1476,1270
damp,cloth,0.805746,10540,9437,11798,9749
brisk,lively,0.803646,409,391,457,433
bright,vibrant,0.801937,5834,5662,351,344
assembly,assemble,0.800297,2967,2793,16128,15275
boiler,double,0.799459,23691,20794,47495,41949
stout,beer,0.798837,978,627,18838,11872
delicious,terrific,0.795212,20260,19492,500,499
cupboard,pantry,0.792405,372,360,791,771
gap,space,0.791884,481,451,8310,7966
parallel,horizontal,0.78661,1214,1146,1117,1014
tooth,toothpick,0.785659,1320,1263,47507,45665
hook,paddle,0.785373,5257,4364,10457,9004
film,cling,0.781513,4211,3524,3650,3000
