word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
outdoor,indoor,0.833787,2974,2883,787,738,Co-Hyponym
salami,pepperoni,0.832267,3482,2358,7960,5583,Co-Hyponym
kettle,pot,0.822631,11061,8950,255925,158926,Co-Hyponym
muffin,cupcake,0.82161,67858,41236,13692,7489,Co-Hyponym
healthy,tasty,0.817008,12743,9977,7476,7370,Co-Hyponym
exterior,interior,0.810117,893,839,1383,1286,Co-Hyponym
pulse,blitz,0.807438,37911,27637,1476,1270,Co-Hyponym
cupboard,pantry,0.792405,372,360,791,771,Co-Hyponym
source,element,0.776898,3850,3657,1070,1025,Co-Hyponym
carton,tub,0.771498,1113,888,1174,980,Co-Hyponym
freezer,fridge,0.771449,48748,35818,37587,31200,Co-Hyponym
hammer,cleaver,0.760544,714,664,736,680,Co-Hyponym
tacky,elastic,0.756891,1157,1080,9252,8897,Co-Hyponym
outer,inner,0.75682,9098,8463,2565,2300,Co-Hyponym
platter,plate,0.750978,56274,50488,140468,113595,Co-Hyponym
jam,marmalade,0.74584,25980,15979,6673,4419,Co-Hyponym
texture,appearance,0.739775,16686,15515,1337,1307,Co-Hyponym
shrink,collapse,0.738933,1376,1346,631,615,Co-Hyponym
bottle,jar,0.738164,9179,7378,37238,26487,Co-Hyponym
wet,dry,0.737216,34358,29910,244075,205476,Co-Hyponym
veal,liver,0.735779,13098,4857,5539,2492,Co-Hyponym
stalk,bulb,0.730345,2623,2182,2602,1850,Co-Hyponym
waffle,pancake,0.73008,7896,3524,14892,9601,Co-Hyponym
simmer,boil,0.729221,365022,282261,465659,360310,Co-Hyponym
thin,thick,0.728305,77768,70429,144560,131550,Co-Hyponym
dirt,sand,0.727076,3023,2602,3084,2833,Co-Hyponym
germ,bran,0.726308,2945,2606,7327,4775,Co-Hyponym
yellow,purple,0.720932,18831,16733,1908,1576,Co-Hyponym
cherry,grape,0.718938,34893,25873,6964,4948,Co-Hyponym
leak,spill,0.717572,714,702,825,804,Co-Hyponym
glass,ceramic,0.714641,78152,65891,3763,3588,Co-Hyponym
rinse,refresh,0.709628,59056,54841,1670,1565,Co-Hyponym
patient,rush,0.705839,708,691,619,603,Co-Hyponym
guide,ruler,0.705684,1533,1464,401,346,Co-Hyponym
relish,pickle,0.704749,11927,8762,6483,5409,Co-Hyponym
forward,upward,0.704161,533,510,413,402,Co-Hyponym
squash,eggplant,0.699222,69602,24273,40453,12551,Co-Hyponym
garlic,onion,0.693451,437099,337898,441021,349305,Co-Hyponym
ordinary,cheap,0.692062,348,341,626,608,Co-Hyponym
quart,liter,0.691507,25070,23729,761,716,Co-Hyponym
foam,scum,0.690458,9849,8877,2062,1825,Co-Hyponym
bacon,ham,0.688393,158695,72676,65895,33373,Co-Hyponym
coconut,almond,0.686814,104431,60541,37796,27027,Co-Hyponym
warmth,humidity,0.68641,312,302,495,482,Co-Hyponym
luncheon,supper,0.685198,660,595,2276,2250,Co-Hyponym
pig,bird,0.684875,1214,651,5478,2881,Co-Hyponym
wedge,spear,0.683631,6896,6086,1447,1313,Co-Hyponym
cone,lollipop,0.67984,2436,1380,738,529,Co-Hyponym
coast,river,0.676549,359,347,353,324,Co-Hyponym
fiery,exotic,0.67613,395,374,426,403,Co-Hyponym
effort,patience,0.672988,461,459,568,554,Co-Hyponym
wall,ridge,0.67272,684,546,355,329,Co-Hyponym
mocha,sundae,0.670455,3166,2743,1357,1166,Co-Hyponym
pudding,custard,0.667283,82824,48178,30962,16661,Co-Hyponym
mug,jug,0.666562,4045,2800,2586,2149,Co-Hyponym
soda,cinnamon,0.666339,110174,105869,139973,112577,Co-Hyponym
pure,organic,0.666265,1657,1496,1269,1066,Co-Hyponym
salty,bland,0.665977,4600,4298,440,423,Co-Hyponym
spare,shoulder,0.663453,814,638,2527,1609,Co-Hyponym
square,round,0.662708,43291,38623,52156,44104,Co-Hyponym
mackerel,herring,0.657825,1068,519,801,321,Co-Hyponym
moist,dense,0.65727,20544,19621,1250,1215,Co-Hyponym
chip,chunk,0.656639,17651,16885,2773,2620,Co-Hyponym
giant,skinny,0.656221,967,903,942,922,Co-Hyponym
potato,turnip,0.656125,117758,77467,2412,1692,Co-Hyponym
