word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
jealous,envious,0.947818,23066,13973,16312,11204
cabin,hut,0.910017,10424,2857,11438,3061
mighty,powerful,0.897349,24070,11430,28159,14604
fragile,delicate,0.896846,23392,12531,20334,12135
grateful,thankful,0.896295,33737,28146,21734,21144
faucet,tap,0.893838,12084,3012,14721,4488
glue,tape,0.887365,25356,11002,25934,10814
sofa,couch,0.869373,10685,6662,29765,15517
lightning,thunder,0.868869,11450,4659,13807,6292
sunset,sunrise,0.868497,9485,3952,8504,2772
dependable,loyal,0.866676,18712,10893,21069,11893
seed,plant,0.855199,24887,6437,55394,15836
thread,needle,0.848467,15857,4709,15485,4895
ashamed,guilty,0.846711,28396,23801,17298,13353
nervous,fearful,0.840853,25909,15536,19254,11095
princess,queen,0.840192,42117,14972,31142,9201
bank,piggy,0.838294,2719,1638,3004,1225
goal,score,0.833929,10024,4823,7627,3868
mix,stir,0.831716,32978,18059,13886,8690
leash,collar,0.831114,12855,5830,17038,7229
stack,tower,0.830909,12493,4809,76352,17007
sweetheart,sweetie,0.830853,7614,7071,10998,10393
weep,cry,0.830553,7471,5732,106283,92885
slip,stumble,0.829779,7898,6295,2398,2046
moon,comet,0.828227,37477,11573,16536,2596
choice,decision,0.828218,7356,6874,3184,2854
chimney,roof,0.82554,11770,2973,16375,7457
famous,popular,0.824742,24308,12333,17905,11555
expensive,cheap,0.823677,26239,15453,20848,11380
collect,gather,0.821919,14721,8862,11450,8441
brush,comb,0.821115,25528,10897,17488,3939
lend,borrow,0.816449,10390,7306,16888,9121
loud,noise,0.815759,217760,177966,171529,132170
juicy,ripe,0.814348,12090,10999,2029,1677
pony,horse,0.814279,14747,2857,39137,11504
desk,blackboard,0.811041,15800,5369,12124,2532
palace,castle,0.807503,11685,3166,71627,26817
twist,bend,0.807397,21098,15418,6846,5846
safari,tour,0.806854,7202,2454,6896,2735
clap,applaud,0.806806,22048,16697,4967,4158
fashion,style,0.803525,5653,2545,6105,3002
puppy,kitten,0.802068,47463,12285,39322,8563
basket,bag,0.800624,38572,17049,116624,55324
forehead,cheek,0.798368,1807,1743,5296,4922
barber,haircut,0.796685,16077,2984,14526,4021
pirate,sailor,0.792682,13954,5260,12548,3150
effort,patience,0.791624,2431,2302,3160,2715
swing,slide,0.791312,99402,37247,167627,61003
tune,song,0.790807,2499,2110,84138,44954
soil,dirt,0.790785,10477,4131,40682,29243
pill,medicine,0.790427,11938,2563,19593,7851
skull,skeleton,0.789051,14279,2817,13273,2698
rocket,spaceship,0.786708,29891,5778,3926,1968
button,press,0.786353,51356,19820,5898,4384
ruler,measure,0.786168,3935,2041,22438,10217
tidy,neat,0.78588,30745,16917,10167,8678
lamp,candle,0.785602,24410,5256,17021,3348
lawn,porch,0.785561,10081,3029,11099,4750
strike,slap,0.78516,6663,5087,6765,4889
