word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
blouse,skirt,0.957606,10851,2484,11618,2980
gem,diamond,0.952861,17194,3070,16828,3472
flute,violin,0.952288,18008,3230,15442,2640
jealous,envious,0.947818,23066,13973,16312,11204
tummy,stomach,0.944564,14339,10501,6645,3645
crocodile,alligator,0.942813,17066,3076,14489,2654
football,baseball,0.941512,13762,2693,12400,2737
bike,bicycle,0.929478,66351,18273,15311,3057
repair,fix,0.927528,12499,7248,106107,69971
rug,carpet,0.926823,19285,4792,15951,4101
ranch,farm,0.92656,9316,2619,69515,32155
humble,modest,0.921236,17853,11371,14152,10932
glee,delight,0.913295,1201,1197,7522,7402
cabin,hut,0.910017,10424,2857,11438,3061
river,stream,0.905673,60871,27049,14907,4781
shout,yell,0.903538,14920,13493,10093,8593
drum,guitar,0.901809,30649,6589,20696,4854
onion,potato,0.898363,16203,2586,16314,2656
tasty,delicious,0.89812,50150,31870,51877,37266
lemon,lime,0.897403,26872,6796,14473,2562
mighty,powerful,0.897349,24070,11430,28159,14604
fragile,delicate,0.896846,23392,12531,20334,12135
grateful,thankful,0.896295,33737,28146,21734,21144
pink,purple,0.894023,87515,42943,57877,21462
faucet,tap,0.893838,12084,3012,14721,4488
belt,buckle,0.890283,17402,4221,10986,3180
prune,peach,0.888441,8209,1916,15844,2635
muffin,waffle,0.888297,14239,2450,13755,2363
cheerful,lively,0.888088,18340,13111,15010,11302
glue,tape,0.887365,25356,11002,25934,10814
shrimp,fish,0.878452,16052,2517,331746,87084
square,circle,0.878214,20474,6528,27623,10904
shield,sword,0.875648,13959,3028,21310,6419
incredible,impressive,0.873159,23792,12522,18768,11542
trip,vacation,0.872837,36224,21895,7444,2896
sofa,couch,0.869373,10685,6662,29765,15517
lightning,thunder,0.868869,11450,4659,13807,6292
sunset,sunrise,0.868497,9485,3952,8504,2772
dependable,loyal,0.866676,18712,10893,21069,11893
thoughtful,generous,0.864894,18458,12496,25709,16535
octopus,shark,0.855793,13818,2954,23177,4775
seed,plant,0.855199,24887,6437,55394,15836
envelope,letter,0.854927,15525,5328,42056,11631
spoon,fork,0.854402,39697,15837,16591,4092
card,stamp,0.852242,25641,5996,13903,3276
thread,needle,0.848467,15857,4709,15485,4895
ashamed,guilty,0.846711,28396,23801,17298,13353
sugar,butter,0.845146,25977,11850,20459,7094
coin,penny,0.843521,38683,9555,20202,3480
shampoo,soap,0.843048,11783,2873,25445,10532
video,cartoon,0.842963,13372,3630,8904,2671
nervous,fearful,0.840853,25909,15536,19254,11095
panda,kangaroo,0.840207,10330,2776,11222,2729
princess,queen,0.840192,42117,14972,31142,9201
anchor,boat,0.839871,12511,2677,190241,38862
