word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
cabin,hut,0.910017,10424,2857,11438,3061,Co-Hyponym
glue,tape,0.887365,25356,11002,25934,10814,Co-Hyponym
lightning,thunder,0.868869,11450,4659,13807,6292,Co-Hyponym
sunset,sunrise,0.868497,9485,3952,8504,2772,Co-Hyponym
thread,needle,0.848467,15857,4709,15485,4895,Co-Hyponym
princess,queen,0.840192,42117,14972,31142,9201,Co-Hyponym
goal,score,0.833929,10024,4823,7627,3868,Co-Hyponym
mix,stir,0.831716,32978,18059,13886,8690,Co-Hyponym
leash,collar,0.831114,12855,5830,17038,7229,Co-Hyponym
stack,tower,0.830909,12493,4809,76352,17007,Co-Hyponym
slip,stumble,0.829779,7898,6295,2398,2046,Co-Hyponym
moon,comet,0.828227,37477,11573,16536,2596,Co-Hyponym
chimney,roof,0.82554,11770,2973,16375,7457,Co-Hyponym
expensive,cheap,0.823677,26239,15453,20848,11380,Co-Hyponym
brush,comb,0.821115,25528,10897,17488,3939,Co-Hyponym
lend,borrow,0.816449,10390,7306,16888,9121,Co-Hyponym
juicy,ripe,0.814348,12090,10999,2029,1677,Co-Hyponym
desk,blackboard,0.811041,15800,5369,12124,2532,Co-Hyponym
palace,castle,0.807503,11685,3166,71627,26817,Co-Hyponym
puppy,kitten,0.802068,47463,12285,39322,8563,Co-Hyponym
basket,bag,0.800624,38572,17049,116624,55324,Co-Hyponym
forehead,cheek,0.798368,1807,1743,5296,4922,Co-Hyponym
pirate,sailor,0.792682,13954,5260,12548,3150,Co-Hyponym
effort,patience,0.791624,2431,2302,3160,2715,Co-Hyponym
swing,slide,0.791312,99402,37247,167627,61003,Co-Hyponym
rocket,spaceship,0.786708,29891,5778,3926,1968,Co-Hyponym
lamp,candle,0.785602,24410,5256,17021,3348,Co-Hyponym
lawn,porch,0.785561,10081,3029,11099,4750,Co-Hyponym
strike,slap,0.78516,6663,5087,6765,4889,Co-Hyponym
mouse,rat,0.780559,181018,49302,19117,3353,Co-Hyponym
swim,dive,0.776864,71677,44381,14339,6857,Co-Hyponym
paint,draw,0.776797,74609,23317,73380,37720,Co-Hyponym
pit,drain,0.774928,14179,3167,10472,2843,Co-Hyponym
bath,shower,0.772787,22039,12109,9907,3042,Co-Hyponym
design,decorate,0.771229,15525,7164,14277,8727,Co-Hyponym
balloon,kite,0.768793,69496,15486,50428,8842,Co-Hyponym
flame,spark,0.76783,13673,3371,12279,3376,Co-Hyponym
anger,fear,0.765474,1160,1091,8846,8146,Co-Hyponym
rainy,cloudy,0.765456,2083,1842,1485,1288,Co-Hyponym
laugh,giggle,0.765455,101430,87300,8461,8265,Co-Hyponym
appear,vanish,0.765171,4810,4279,6033,4017,Co-Hyponym
pistol,laser,0.764866,12302,2588,14374,2472,Co-Hyponym
hill,mountain,0.763897,124053,40587,21465,6466,Co-Hyponym
mint,strawberry,0.76385,13810,2783,14068,4064,Co-Hyponym
kindness,bravery,0.763768,13901,12328,2025,1923,Co-Hyponym
snowball,snowman,0.762432,3976,1890,36710,8243,Co-Hyponym
elephant,giraffe,0.760209,43111,13809,10869,4710,Co-Hyponym
tunnel,maze,0.760105,16277,4153,13204,2559,Co-Hyponym
snail,beetle,0.758539,6111,2346,16921,3150,Co-Hyponym
downstairs,upstairs,0.75363,3926,3150,7625,3702,Co-Hyponym
mushroom,squash,0.752792,16191,2541,18165,2642,Co-Hyponym
obedient,honest,0.750966,19027,11557,30379,17187,Co-Hyponym
tease,scare,0.749503,10633,6916,22658,17819,Co-Hyponym
original,ordinary,0.746112,19695,11537,17070,11524,Co-Hyponym
fence,hedge,0.745301,45556,19572,11574,2617,Co-Hyponym
switch,knob,0.74429,13466,3984,9887,3297,Co-Hyponym
tire,motor,0.740745,15125,3327,12172,2720,Co-Hyponym
wagon,jeep,0.740519,22509,3885,19163,2638,Co-Hyponym
smart,brave,0.740403,65646,52395,174864,124295,Co-Hyponym
sunglasses,vest,0.73694,13390,3016,13299,2783,Co-Hyponym
cloth,sponge,0.735196,38504,19966,2293,1219,Co-Hyponym
ribbon,string,0.73401,9620,4359,39006,13698,Co-Hyponym
jelly,popcorn,0.731843,17816,3113,19675,3738,Co-Hyponym
lazy,sleepy,0.730969,28662,12228,34296,20298,Co-Hyponym
gum,lollipop,0.73074,17838,2882,15007,3409,Co-Hyponym
necklace,crown,0.729966,20246,6927,23653,7425,Co-Hyponym
triangle,cube,0.728023,17267,4162,20092,3001,Co-Hyponym
