word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
zip,zipper,0.939898,3038,2774,781,710
steady,stream,0.922066,5720,5569,10204,9914
aroma,fragrance,0.91219,2740,2632,859,813
mango,papaya,0.903692,17207,9134,2854,1476
attachment,paddle,0.900468,15049,12629,10457,9004
fabulous,fantastic,0.900368,1062,1048,1030,1022
margin,border,0.89943,547,501,7773,6420
airtight,store,0.892481,35135,33788,67117,64308
calcium,vitamin,0.889598,1608,1475,2349,1241
flank,skirt,0.887833,4018,2602,1090,759
refresh,shock,0.882593,1670,1565,850,804
vertical,horizontal,0.882517,920,796,1117,1014
strawberry,raspberry,0.87908,33688,25070,16284,11320
fasten,secure,0.877367,1176,1166,11674,11240
suggest,recommend,0.87735,1982,1918,4792,4556
design,pattern,0.862035,2071,1885,7012,6555
pile,heap,0.861464,6651,6254,893,876
smell,aroma,0.858801,4381,4104,2740,2632
plunge,shock,0.857632,3059,2927,850,804
protein,fiber,0.856663,10322,9072,7149,6648
harvest,autumn,0.85626,1685,1649,1381,1355
choke,fuzzy,0.855551,703,609,368,360
summertime,summer,0.855408,495,486,9199,8621
breakfast,brunch,0.855055,14727,13915,2537,2490
fantastic,delicious,0.854844,1030,1022,20260,19492
calcium,potassium,0.854588,1608,1475,750,706
rubber,spatula,0.853499,14822,13264,54045,45159
goose,duck,0.852359,1474,420,14375,3291
delightful,fantastic,0.850277,463,461,1030,1022
blueberry,strawberry,0.849573,16490,13284,33688,25070
southwest,fiesta,0.847042,1763,1678,1667,1598
crisp,crispy,0.846486,64852,60176,31259,27419
mixer,electric,0.844264,125492,96810,63824,58431
lovely,gorgeous,0.840978,2335,2231,384,374
tacky,sticky,0.840055,1157,1080,21622,19198
pasta,spaghetti,0.836977,168870,66383,43880,24377
salmon,trout,0.834791,58542,18829,4306,1668
shaker,martini,0.833862,9114,7322,4739,3171
outdoor,indoor,0.833787,2974,2883,787,738
mixer,paddle,0.833577,125492,96810,10457,9004
winter,summer,0.832962,3509,3285,9199,8621
salami,pepperoni,0.832267,3482,2358,7960,5583
depression,dent,0.831783,1005,876,462,385
mixer,speed,0.831508,125492,96810,102595,68499
festive,colorful,0.830712,1506,1492,1204,1181
fabulous,delightful,0.83,1062,1048,463,461
rib,prime,0.829636,4466,3168,894,599
goose,bird,0.827971,1474,420,5478,2881
bag,zip,0.827452,92701,55783,3038,2774
squid,octopus,0.827282,4773,1479,1884,469
airtight,container,0.823649,35135,33788,76080,67912
kettle,pot,0.822631,11061,8950,255925,158926
video,post,0.821728,320,300,916,873
muffin,cupcake,0.82161,67858,41236,13692,7489
thumb,index,0.820095,3614,3355,803,722
fantastic,terrific,0.818645,1030,1022,500,499
disperse,distribute,0.818266,340,331,10756,10205
achieve,obtain,0.817462,3151,3086,1252,1185
healthy,tasty,0.817008,12743,9977,7476,7370
watermelon,melon,0.816728,7206,3021,6646,3968
rope,coil,0.815527,3339,2218,629,491
cast,iron,0.81531,9789,8802,20319,16007
delightful,delicious,0.814826,463,461,20260,19492
burner,flame,0.814692,7075,6033,13868,11145
knife,sharp,0.813365,89154,78509,24352,23114
tree,wreath,0.811795,1767,973,1059,627
fiber,sodium,0.811763,7149,6648,7533,6923
fabulous,delicious,0.81042,1062,1048,20260,19492
exterior,interior,0.810117,893,839,1383,1286
area,spot,0.809724,4543,4024,2769,2449
miracle,mayonnaise,0.809571,3885,3419,61066,50672
fish,catfish,0.809345,108854,42674,2907,1446
grinder,grind,0.809262,6318,5504,17226,15694
fabulous,incredible,0.809019,1062,1048,434,428
pulse,blitz,0.807438,37911,27637,1476,1270
blueberry,peach,0.805928,16490,13284,20202,13720
damp,cloth,0.805746,10540,9437,11798,9749
tequila,vodka,0.805689,3999,2989,8281,5930
brandy,rum,0.805623,10593,8116,19158,12892
subtle,unique,0.805415,468,461,448,444
blueberry,raspberry,0.804048,16490,13284,16284,11320
