word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
mango,papaya,0.903692,17207,9134,2854,1476,Co-Hyponym
vitamin,calcium,0.889598,2349,1241,1608,1475,Co-Hyponym
flank,skirt,0.887833,4018,2602,1090,759,Co-Hyponym
breakfast,brunch,0.855055,14727,13915,2537,2490,Co-Hyponym
salmon,trout,0.834791,58542,18829,4306,1668,Co-Hyponym
outdoor,indoor,0.833787,2974,2883,787,738,Co-Hyponym
summer,winter,0.832962,9199,8621,3509,3285,Co-Hyponym
pepperoni,salami,0.832267,7960,5583,3482,2358,Co-Hyponym
squid,octopus,0.827282,4773,1479,1884,469,Co-Hyponym
pot,kettle,0.822631,255925,158926,11061,8950,Co-Hyponym
muffin,cupcake,0.82161,67858,41236,13692,7489,Co-Hyponym
healthy,tasty,0.817008,12743,9977,7476,7370,Co-Hyponym
interior,exterior,0.810117,1383,1286,893,839,Co-Hyponym
pulse,blitz,0.807438,37911,27637,1476,1270,Co-Hyponym
pantry,cupboard,0.792405,791,771,372,360,Co-Hyponym
parallel,horizontal,0.78661,1214,1146,1117,1014,Co-Hyponym
paddle,hook,0.785373,10457,9004,5257,4364,Co-Hyponym
lemon,lime,0.781301,268966,186775,80588,54806,Co-Hyponym
protein,sodium,0.77712,10322,9072,7533,6923,Co-Hyponym
source,element,0.776898,3850,3657,1070,1025,Co-Hyponym
tub,carton,0.771498,1174,980,1113,888,Co-Hyponym
freezer,fridge,0.771449,48748,35818,37587,31200,Co-Hyponym
oatmeal,raisin,0.760898,25461,19089,8368,7385,Co-Hyponym
cleaver,hammer,0.760544,736,680,714,664,Co-Hyponym
elastic,tacky,0.756891,9252,8897,1157,1080,Co-Hyponym
outer,inner,0.75682,9098,8463,2565,2300,Co-Hyponym
beef,pork,0.752458,191114,106065,146549,53902,Co-Hyponym
plate,platter,0.750978,140468,113595,56274,50488,Co-Hyponym
jam,marmalade,0.74584,25980,15979,6673,4419,Co-Hyponym
