word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
mango,papaya,0.903692,17207,9134,2854,1476,papango
pantry,cupboard,0.792405,791,771,372,360,cuptry
vodka,champagne,0.714973,8281,5930,4945,3142,champodka
caramel,fudge,0.710511,39598,21145,22149,16985,caramudge
spill,leak,0.717572,825,804,714,702,leapill
protein,sodium,0.77712,10322,9072,7533,6923,sodiprot
jam,marmalade,0.74584,25980,15979,6673,4419,jarmelade
plate,platter,0.750978,140468,113595,56274,50488,plaer
beef,pork,0.752458,191114,106065,146549,53902,poreef
jar,bottle,0.738164,37238,26487,9179,7378,jattle
tub,carton,0.771498,1174,980,1113,888,cartoub
pulse,blitz,0.807438,37911,27637,1476,1270,blulse
outdoor,indoor,0.833787,2974,2883,787,738,outinoor
stalk,bulb,0.730345,2623,2182,2602,1850,stalulb
pot,kettle,0.822631,255925,158926,11061,8950,poettle
salmon,trout,0.834791,58542,18829,4306,1668,salmout
pepperoni,salami,0.832267,7960,5583,3482,2358,pepperami
cavity,neck,0.726041,8407,5958,4415,2991,caviteck
blueberry,rhubarb,0.725147,16490,13284,15525,5866,bluehubarb
glass,ceramic,0.714641,78152,65891,3763,3588,glaramic
paddle,hook,0.785373,10457,9004,5257,4364,padook
muffin,cupcake,0.82161,67858,41236,13692,7489,muffcake
lemon,lime,0.781301,268966,186775,80588,54806,liemon
outer,inner,0.75682,9098,8463,2565,2300,outinner
veal,liver,0.735779,13098,4857,5539,2492,lieal
shrink,collapse,0.738933,1376,1346,631,615,shrillapse
vitamin,calcium,0.889598,2349,1241,1608,1475,vitcium
cherry,grape,0.718938,34893,25873,6964,4948,grerry
dry,wet,0.737216,244075,205476,34358,29910,dryet
summer,winter,0.832962,9199,8621,3509,3285,summinter
texture,appearance,0.739775,16686,15515,1337,1307,textearrance
interior,exterior,0.810117,1383,1286,893,839,intextrior
boil,simmer,0.729221,465659,360310,365022,282261,simmoil
flank,skirt,0.887833,4018,2602,1090,759,sklank
oatmeal,raisin,0.760898,25461,19089,8368,7385,oatsin
breakfast,brunch,0.855055,14727,13915,2537,2490,breakfrunch
thick,thin,0.728305,144560,131550,77768,70429,thinick
pancake,waffle,0.73008,14892,9601,7896,3524,panaffle
elastic,tacky,0.756891,9252,8897,1157,1080,elacky
bran,germ,0.726308,7327,4775,2945,2606,braerm
healthy,tasty,0.817008,12743,9977,7476,7370,healsty
cleaver,hammer,0.760544,736,680,714,664,cleammer
source,element,0.776898,3850,3657,1070,1025,elemource
rinse,refresh,0.709628,59056,54841,1670,1565,refrense
freezer,fridge,0.771449,48748,35818,37587,31200,freezidge
squid,octopus,0.827282,4773,1479,1884,469,octoquid
yellow,purple,0.720932,18831,16733,1908,1576,yellurple
parallel,horizontal,0.78661,1214,1146,1117,1014,parazontal
peach,raspberry,0.745289,20202,13720,16284,11320,peaspberry
sand,dirt,0.727076,3084,2833,3023,2602,sanirt
