word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
pasta,spaghetti,0.966576,19313,3250,16822,3008
journal,notebook,0.962416,14398,2547,14368,2860
scooter,bicycle,0.958431,15412,2915,15311,3057
blouse,skirt,0.957606,10851,2484,11618,2980
gem,diamond,0.952861,17194,3070,16828,3472
flute,violin,0.952288,18008,3230,15442,2640
jealous,envious,0.947818,23066,13973,16312,11204
tummy,stomach,0.944564,14339,10501,6645,3645
crocodile,alligator,0.942813,17066,3076,14489,2654
football,baseball,0.941512,13762,2693,12400,2737
leopard,tiger,0.940819,15298,2575,21189,3960
wealthy,rich,0.93296,21283,11226,30205,12705
crystal,gem,0.932935,17275,3001,17194,3070
video,film,0.931374,13372,3630,12981,2544
bike,bicycle,0.929478,66351,18273,15311,3057
basketball,football,0.928161,12990,2659,13762,2693
repair,fix,0.927528,12499,7248,106107,69971
rug,carpet,0.926823,19285,4792,15951,4101
ranch,farm,0.92656,9316,2619,69515,32155
humble,modest,0.921236,17853,11371,14152,10932
bike,scooter,0.918134,66351,18273,15412,2915
muffin,pastry,0.91517,14239,2450,13257,2529
square,triangle,0.914679,20474,6528,17267,4162
glee,delight,0.913295,1201,1197,7522,7402
dirty,filthy,0.913021,92013,59818,19034,10949
crystal,diamond,0.911204,17275,3001,16828,3472
cabin,hut,0.910017,10424,2857,11438,3061
river,stream,0.905673,60871,27049,14907,4781
shout,yell,0.903538,14920,13493,10093,8593
jelly,jam,0.90337,17816,3113,23648,5011
novel,dictionary,0.901819,11259,2469,11502,2534
drum,guitar,0.901809,30649,6589,20696,4854
dress,skirt,0.899446,120356,49677,11618,2980
onion,potato,0.898363,16203,2586,16314,2656
tasty,delicious,0.89812,50150,31870,51877,37266
lemon,lime,0.897403,26872,6796,14473,2562
mighty,powerful,0.897349,24070,11430,28159,14604
fragile,delicate,0.896846,23392,12531,20334,12135
grateful,thankful,0.896295,33737,28146,21734,21144
vest,sweater,0.895981,13299,2783,14451,2985
jam,butter,0.895154,23648,5011,20459,7094
pink,purple,0.894023,87515,42943,57877,21462
faucet,tap,0.893838,12084,3012,14721,4488
crocodile,hippo,0.893346,17066,3076,13361,2643
jet,helicopter,0.891948,20805,2854,17323,2681
belt,buckle,0.890283,17402,4221,10986,3180
river,lake,0.890276,60871,27049,52828,19611
lion,tiger,0.890031,111330,24635,21189,3960
lake,pond,0.889607,52828,19611,147151,61012
guitar,violin,0.888737,20696,4854,15442,2640
guitar,flute,0.888715,20696,4854,18008,3230
prune,peach,0.888441,8209,1916,15844,2635
muffin,waffle,0.888297,14239,2450,13755,2363
cheerful,lively,0.888088,18340,13111,15010,11302
mug,cup,0.88778,16021,2717,58062,22090
lime,grape,0.887462,14473,2562,9632,2396
glue,tape,0.887365,25356,11002,25934,10814
basketball,baseball,0.886455,12990,2659,12400,2737
sweater,bathrobe,0.883877,14451,2985,11354,2483
design,create,0.883537,15525,7164,16691,10079
blouse,dress,0.883392,10851,2484,120356,49677
trumpet,flute,0.881021,16645,3011,18008,3230
weapon,pistol,0.880067,8388,2725,12302,2588
pasta,rice,0.880029,19313,3250,16508,3197
yacht,boat,0.879732,15406,2534,190241,38862
shirt,vest,0.879176,30790,12881,13299,2783
bull,goat,0.879157,16384,2703,21558,3341
shrimp,fish,0.878452,16052,2517,331746,87084
square,circle,0.878214,20474,6528,27623,10904
folder,notebook,0.878185,14417,2668,14368,2860
hippo,alligator,0.877848,13361,2643,14489,2654
smart,clever,0.877094,65646,52395,33264,21556
peach,cherry,0.876743,15844,2635,8779,2638
shield,sword,0.875648,13959,3028,21310,6419
waffle,pastry,0.873556,13755,2363,13257,2529
pig,goat,0.873469,33503,8335,21558,3341
yellow,purple,0.873349,113830,70141,57877,21462
