word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,relation
skirt,blouse,0.957606,11618,2980,10851,2484,Co-Hyponym
flute,violin,0.952288,18008,3230,15442,2640,Co-Hyponym
crocodile,alligator,0.942813,17066,3076,14489,2654,Co-Hyponym
football,baseball,0.941512,13762,2693,12400,2737,Co-Hyponym
farm,ranch,0.92656,69515,32155,9316,2619,Co-Hyponym
hut,cabin,0.910017,11438,3061,10424,2857,Co-Hyponym
river,stream,0.905673,60871,27049,14907,4781,Co-Hyponym
drum,guitar,0.901809,30649,6589,20696,4854,Co-Hyponym
potato,onion,0.898363,16314,2656,16203,2586,Co-Hyponym
lemon,lime,0.897403,26872,6796,14473,2562,Co-Hyponym
pink,purple,0.894023,87515,42943,57877,21462,Co-Hyponym
peach,prune,0.888441,15844,2635,8209,1916,Co-Hyponym
muffin,waffle,0.888297,14239,2450,13755,2363,Co-Hyponym
tape,glue,0.887365,25934,10814,25356,11002,Co-Hyponym
fish,shrimp,0.878452,331746,87084,16052,2517,Co-Hyponym
circle,square,0.878214,27623,10904,20474,6528,Co-Hyponym
sword,shield,0.875648,21310,6419,13959,3028,Co-Hyponym
thunder,lightning,0.868869,13807,6292,11450,4659,Co-Hyponym
sunset,sunrise,0.868497,9485,3952,8504,2772,Co-Hyponym
generous,thoughtful,0.864894,25709,16535,18458,12496,Co-Hyponym
shark,octopus,0.855793,23177,4775,13818,2954,Co-Hyponym
spoon,fork,0.854402,39697,15837,16591,4092,Co-Hyponym
card,stamp,0.852242,25641,5996,13903,3276,Co-Hyponym
thread,needle,0.848467,15857,4709,15485,4895,Co-Hyponym
sugar,butter,0.845146,25977,11850,20459,7094,Co-Hyponym
soap,shampoo,0.843048,25445,10532,11783,2873,Co-Hyponym
kangaroo,panda,0.840207,11222,2729,10330,2776,Co-Hyponym
princess,queen,0.840192,42117,14972,31142,9201,Co-Hyponym
sheep,goat,0.839406,34461,8225,21558,3341,Co-Hyponym
barn,stable,0.837778,22537,8162,9804,3200,Co-Hyponym
hat,scarf,0.836834,159558,67739,28519,9726,Co-Hyponym
pig,chicken,0.835854,33503,8335,21253,6671,Co-Hyponym
pencil,notebook,0.835665,18854,4560,14368,2860,Co-Hyponym
goal,score,0.833929,10024,4823,7627,3868,Co-Hyponym
mix,stir,0.831716,32978,18059,13886,8690,Co-Hyponym
collar,leash,0.831114,17038,7229,12855,5830,Co-Hyponym
tower,stack,0.830909,76352,17007,12493,4809,Co-Hyponym
slip,stumble,0.829779,7898,6295,2398,2046,Co-Hyponym
moon,comet,0.828227,37477,11573,16536,2596,Co-Hyponym
wet,dirty,0.825703,111774,70017,92013,59818,Co-Hyponym
roof,chimney,0.82554,16375,7457,11770,2973,Co-Hyponym
expensive,cheap,0.823677,26239,15453,20848,11380,Co-Hyponym
smelly,filthy,0.823426,33591,13906,19034,10949,Co-Hyponym
scooter,motorcycle,0.823379,15412,2915,14913,2594,Co-Hyponym
brush,comb,0.821115,25528,10897,17488,3939,Co-Hyponym
jug,mug,0.818498,17897,3670,16021,2717,Co-Hyponym
borrow,lend,0.816449,16888,9121,10390,7306,Co-Hyponym
juicy,ripe,0.814348,12090,10999,2029,1677,Co-Hyponym
hammer,nail,0.813079,18172,5201,12948,3077,Co-Hyponym
desk,blackboard,0.811041,15800,5369,12124,2532,Co-Hyponym
dolphin,jellyfish,0.810107,15402,3464,14721,2733,Co-Hyponym
avocado,grape,0.809552,14902,2650,9632,2396,Co-Hyponym
crab,oyster,0.809251,55446,12543,13280,2470,Co-Hyponym
castle,palace,0.807503,71627,26817,11685,3166,Co-Hyponym
film,television,0.804486,12981,2544,11410,2712,Co-Hyponym
jam,sauce,0.803496,23648,5011,19219,5024,Co-Hyponym
helpful,polite,0.803415,42998,30311,26590,17015,Co-Hyponym
bull,mule,0.802716,16384,2703,11700,2629,Co-Hyponym
cherry,blueberry,0.802088,8779,2638,7361,2199,Co-Hyponym
puppy,kitten,0.802068,47463,12285,39322,8563,Co-Hyponym
bag,basket,0.800624,116624,55324,38572,17049,Co-Hyponym
cheek,forehead,0.798368,5296,4922,1807,1743,Co-Hyponym
lake,ocean,0.796894,52828,19611,16914,7938,Co-Hyponym
cheese,ham,0.792799,46193,15217,1871,1289,Co-Hyponym
pirate,sailor,0.792682,13954,5260,12548,3150,Co-Hyponym
patience,effort,0.791624,3160,2715,2431,2302,Co-Hyponym
slide,swing,0.791312,167627,61003,99402,37247,Co-Hyponym
pool,bathtub,0.791102,31462,9768,13356,3729,Co-Hyponym
green,yellow,0.788211,176818,119613,113830,70141,Co-Hyponym
rocket,spaceship,0.786708,29891,5778,3926,1968,Co-Hyponym
monkey,zebra,0.786388,46801,15040,12816,3325,Co-Hyponym
lamp,candle,0.785602,24410,5256,17021,3348,Co-Hyponym
porch,lawn,0.785561,11099,4750,10081,3029,Co-Hyponym
slap,strike,0.78516,6765,4889,6663,5087,Co-Hyponym
trumpet,microphone,0.783727,16645,3011,13025,3324,Co-Hyponym
mouse,rat,0.780559,181018,49302,19117,3353,Co-Hyponym
seal,penguin,0.780014,14833,3074,12146,3700,Co-Hyponym
corn,rice,0.777901,19702,4002,16508,3197,Co-Hyponym
swim,dive,0.776864,71677,44381,14339,6857,Co-Hyponym
paint,draw,0.776797,74609,23317,73380,37720,Co-Hyponym
fridge,freezer,0.775448,19888,8594,11178,3284,Co-Hyponym
pit,drain,0.774928,14179,3167,10472,2843,Co-Hyponym
bracelet,purse,0.772998,17229,3445,14998,3154,Co-Hyponym
bath,shower,0.772787,22039,12109,9907,3042,Co-Hyponym
design,decorate,0.771229,15525,7164,14277,8727,Co-Hyponym
cup,bottle,0.769875,58062,22090,57293,22858,Co-Hyponym
balloon,kite,0.768793,69496,15486,50428,8842,Co-Hyponym
station,airport,0.768395,14015,5845,10614,4177,Co-Hyponym
