word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
skirt,blouse,0.957606,11618,2980,10851,2484,skouse
flute,violin,0.952288,18008,3230,15442,2640,violute
crocodile,alligator,0.942813,17066,3076,14489,2654,crocogator
football,baseball,0.941512,13762,2693,12400,2737,fooseball
farm,ranch,0.92656,69515,32155,9316,2619,fanch
hut,cabin,0.910017,11438,3061,10424,2857,hubin
river,stream,0.905673,60871,27049,14907,4781,rivetream
drum,guitar,0.901809,30649,6589,20696,4854,druitar
potato,onion,0.898363,16314,2656,16203,2586,potanion
lemon,lime,0.897403,26872,6796,14473,2562,liemon
pink,purple,0.894023,87515,42943,57877,21462,purplink
peach,prune,0.888441,15844,2635,8209,1916,peacrune
muffin,waffle,0.888297,14239,2450,13755,2363,waffin
tape,glue,0.887365,25934,10814,25356,11002,glape
fish,shrimp,0.878452,331746,87084,16052,2517,fimp
circle,square,0.878214,27623,10904,20474,6528,cirquare
sword,shield,0.875648,21310,6419,13959,3028,swield
thunder,lightning,0.868869,13807,6292,11450,4659,thundning
sunset,sunrise,0.868497,9485,3952,8504,2772,sunriet
generous,thoughtful,0.864894,25709,16535,18458,12496,genetful
shark,octopus,0.855793,23177,4775,13818,2954,sharctopus
spoon,fork,0.854402,39697,15837,16591,4092,spoork
card,stamp,0.852242,25641,5996,13903,3276,caramp
thread,needle,0.848467,15857,4709,15485,4895,threedle
sugar,butter,0.845146,25977,11850,20459,7094,sugutter
soap,shampoo,0.843048,25445,10532,11783,2873,soampoo
kangaroo,panda,0.840207,11222,2729,10330,2776,pangaroo
princess,queen,0.840192,42117,14972,31142,9201,princeen
sheep,goat,0.839406,34461,8225,21558,3341,shoat
barn,stable,0.837778,22537,8162,9804,3200,bable
hat,scarf,0.836834,159558,67739,28519,9726,harf
pig,chicken,0.835854,33503,8335,21253,6671,chickig
pencil,notebook,0.835665,18854,4560,14368,2860,pencebook
goal,score,0.833929,10024,4823,7627,3868,scoal
mix,stir,0.831716,32978,18059,13886,8690,mitir
collar,leash,0.831114,17038,7229,12855,5830,collash
tower,stack,0.830909,76352,17007,12493,4809,towack
slip,stumble,0.829779,7898,6295,2398,2046,slimble
moon,comet,0.828227,37477,11573,16536,2596,comeoon
wet,dirty,0.825703,111774,70017,92013,59818,wirty
roof,chimney,0.82554,16375,7457,11770,2973,chimnoof
expensive,cheap,0.823677,26239,15453,20848,11380,expenseap
smelly,filthy,0.823426,33591,13906,19034,10949,smilthy
scooter,motorcycle,0.823379,15412,2915,14913,2594,scootorcycle
brush,comb,0.821115,25528,10897,17488,3939,bromb
jug,mug,0.818498,17897,3670,16021,2717,jumu
borrow,lend,0.816449,16888,9121,10390,7306,borrend
juicy,ripe,0.814348,12090,10999,2029,1677,juicipe
hammer,nail,0.813079,18172,5201,12948,3077,hammail
desk,blackboard,0.811041,15800,5369,12124,2532,deackboard
