word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
skillet,protein,0.015981,388783,248779,10322,9072,skillotein
tofu,oven,0.018726,28018,9719,860114,565394,toven
squid,delightful,0.016248,4773,1479,463,461,squidlight
spider,mayonnaise,-0.083122,1391,1052,61066,50672,spideryonnaise
bacon,lemonade,-0.076474,158695,72676,6577,4765,baconade
summertime,cleaver,-0.019479,495,486,736,680,cleavertime
culinary,pepperoni,0.011268,487,465,7960,5583,pepperolinary
elephant,omelet,-0.088843,599,373,6747,3000,omlephant
chowder,sushi,0.006227,8474,6774,3822,1491,chowdushi
luncheon,espresso,-0.088806,660,595,6417,4159,luncheopresso
excellent,spinach,-0.068558,3069,3017,89752,42667,excellinach
gorgeous,poultry,-0.035671,384,374,4602,4226,pultrorgeous
cupboard,papaya,-0.03161,372,360,2854,1476,cupaya
pizza,celery,-0.062686,57740,27321,103983,89646,celerypizza
excessive,bayou,-0.028167,745,739,337,313,bayouxzessive
sundae,moisture,-0.141943,1357,1166,11031,10308,moistdae
useful,rhubarb,-0.075425,326,310,15525,5866,usebarb
bakery,swordfish,0.010608,472,458,2333,990,baswofish
outer,yogurt,-0.018267,9098,8463,52154,34458,outgurt
fiesta,liter,0.025801,1667,1598,761,716,literesta
earthquake,melon,0.008895,575,540,6646,3968,melonquake
birthday,eggplant,-0.074098,890,811,40453,12551,eggdayplan
quickie,cavity,-0.000392,339,333,8407,5958,quivity
vinegar,appetizer,-0.016597,136939,119032,5151,4991,vinetizer
wacky,cigar,0.03018,356,352,588,531,wackigar
intact,farmhouse,0.029783,4584,4463,332,325,farmtact
custard,enhance,-0.003785,30962,16661,626,617,custance
cupcake,cuisine,-0.030572,13692,7489,423,395,cupcine
caviar,sufficient,-0.047998,2135,1367,4782,4410,cavifficient
indoor,rid,-0.041822,787,738,2031,1962,inrid
coleslaw,ample,-0.000477,5349,3971,401,391,coleslamp
salami,suitable,-0.001735,3482,2358,1198,1155,salatable
molasses,chef,0.069611,18019,14369,2442,2310,cholass
kitchen,mango,-0.055872,21930,19836,17207,9134,magchen
tasty,decorator,0.037016,7476,7370,502,446,tastoratory
jiffy,martini,0.002764,837,773,4739,3171,jyiffartini
muffin,seafood,0.005109,67858,41236,11365,7631,seafuffin
spatula,autumn,-0.011283,54045,45159,1381,1355,autula
helpful,catfish,-0.050572,843,815,2907,1446,helpfish
info,hen,-0.015453,528,518,2078,1148,henfo
tiny,macaroni,-0.016054,6884,6503,34120,16430,tinyroni
sodium,toothpick,-0.02251,7533,6923,47507,45665,toothium
fridge,hamburger,0.012974,37587,31200,26971,19454,fridgeburger
ketchup,cardboard,0.001362,18856,16113,1087,739,cardchup
freezer,sauerkraut,0.032939,48748,35818,8986,4855,sauerfreez
similar,vodka,0.029538,4069,3959,8281,5930,vodimilar
raisin,outdoor,-0.03423,8368,7385,2974,2883,outsin
speedy,vitamin,0.039584,638,633,2349,1241,speedaminy
farmers,rum,0.03453,865,805,19158,12892,farmrum
saucer,potassium,0.018768,1383,1181,750,706,saucassium
tequila,horizontal,0.074021,3999,2989,1117,1014,horiquila
