word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
sundae,moisture,-0.141943,1357,1166,11031,10308
espresso,moisture,-0.116493,6417,4159,11031,10308
excessive,papaya,-0.106927,745,739,2854,1476
excessive,mango,-0.102504,745,739,17207,9134
chowder,decorator,-0.095504,8474,6774,502,446
outer,bran,-0.090712,9098,8463,7327,4775
elephant,omelet,-0.088843,599,373,6747,3000
luncheon,espresso,-0.088806,660,595,6417,4159
protein,hen,-0.086636,10322,9072,2078,1148
excessive,melon,-0.0835,745,739,6646,3968
spider,mayonnaise,-0.083122,1391,1052,61066,50672
cupcake,poultry,-0.080308,13692,7489,4602,4226
lemonade,omelet,-0.078197,6577,4765,6747,3000
spatula,hen,-0.07771,54045,45159,2078,1148
bacon,lemonade,-0.076474,158695,72676,6577,4765
useful,rhubarb,-0.075425,326,310,15525,5866
birthday,eggplant,-0.074098,890,811,40453,12551
enhance,omelet,-0.072785,626,617,6747,3000
outer,jiffy,-0.071422,9098,8463,837,773
cavity,tofu,-0.071178,8407,5958,28018,9719
molasses,omelet,-0.07071,18019,14369,6747,3000
raisin,rid,-0.068904,8368,7385,2031,1962
excellent,spinach,-0.068558,3069,3017,89752,42667
excessive,espresso,-0.066014,745,739,6417,4159
pizza,celery,-0.062686,57740,27321,103983,89646
protein,intact,-0.057836,10322,9072,4584,4463
cupcake,excellent,-0.057235,13692,7489,3069,3017
sufficient,protein,-0.056472,4782,4410,10322,9072
intact,sodium,-0.056358,4584,4463,7533,6923
kitchen,mango,-0.055872,21930,19836,17207,9134
cuisine,rhubarb,-0.05553,423,395,15525,5866
protein,seafood,-0.05548,10322,9072,11365,7631
marmalade,potassium,-0.053407,6673,4419,750,706
kitchen,sundae,-0.052572,21930,19836,1357,1166
seafood,vitamin,-0.051962,11365,7631,2349,1241
birthday,swordfish,-0.051335,890,811,2333,990
outer,excellent,-0.050821,9098,8463,3069,3017
helpful,catfish,-0.050572,843,815,2907,1446
marmalade,vitamin,-0.04972,6673,4419,2349,1241
omelet,rid,-0.048919,6747,3000,2031,1962
raisin,cleaver,-0.048728,8368,7385,736,680
caviar,sufficient,-0.047998,2135,1367,4782,4410
