word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
noon,rid,-0.144965,3836,2611,2223,1996
sunglasses,teamwork,-0.13223,13390,3016,2461,2387
speedy,necklace,-0.131249,9357,1436,20246,6927
lung,farmers,-0.129691,4212,1551,2399,1816
loyal,oven,-0.119028,21069,11893,35372,15914
lung,respectful,-0.118991,4212,1551,9727,8409
farmers,bedtime,-0.11596,2399,1816,2913,2671
tiny,soccer,-0.110912,117813,76770,5513,2134
teamwork,bathrobe,-0.106043,2461,2387,11354,2483
shirt,teamwork,-0.091884,30790,12881,2461,2387
farmers,math,-0.088188,2399,1816,14178,2775
farmers,laser,-0.088138,2399,1816,14374,2472
flashlight,farmers,-0.086061,16743,4756,2399,1816
lemonade,graceful,-0.083938,7094,2266,16166,11505
basement,lollipop,-0.083591,1990,1097,15007,3409
farmers,notebook,-0.083359,2399,1816,14368,2860
thankful,sandbox,-0.082134,21734,21144,12385,8686
penguin,rid,-0.080565,12146,3700,2223,1996
sunlight,math,-0.079892,3160,3012,14178,2775
spaceship,ignore,-0.079483,3926,1968,8897,6878
earthquake,shirt,-0.079156,6802,2732,30790,12881
tummy,spaceship,-0.076637,14339,10501,3926,1968
spaceship,owner,-0.075956,3926,1968,54977,31114
obedient,spaceship,-0.073797,19027,11557,3926,1968
basement,loyal,-0.073518,1990,1097,21069,11893
flashlight,farmer,-0.072886,16743,4756,51626,13514
rid,stadium,-0.072673,2223,1996,9402,2575
obedient,sofa,-0.07203,19027,11557,10685,6662
sidewalk,squeaky,-0.071528,4563,3519,7262,1902
thief,sweetie,-0.071175,15779,3855,10998,10393
comet,rid,-0.070947,16536,2596,2223,1996
helpful,sofa,-0.070692,42998,30311,10685,6662
lemonade,scary,-0.070635,7094,2266,92689,61887
sidewalk,rid,-0.070008,4563,3519,2223,1996
birthday,harmless,-0.070005,46154,24137,17153,11298
birthday,dangerous,-0.068177,46154,24137,55359,39378
thankful,sofa,-0.067451,21734,21144,10685,6662
tummy,soccer,-0.06744,14339,10501,5513,2134
lemonade,tiny,-0.067242,7094,2266,117813,76770
helicopter,rid,-0.06721,17323,2681,2223,1996
