word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
skillet,protein,0.015981,388783,248779,10322,9072
tofu,oven,0.018726,28018,9719,860114,565394
squid,delightful,0.016248,4773,1479,463,461
spider,mayonnaise,-0.083122,1391,1052,61066,50672
bacon,lemonade,-0.076474,158695,72676,6577,4765
summertime,cleaver,-0.019479,495,486,736,680
culinary,pepperoni,0.011268,487,465,7960,5583
elephant,omelet,-0.088843,599,373,6747,3000
chowder,sushi,0.006227,8474,6774,3822,1491
luncheon,espresso,-0.088806,660,595,6417,4159
excellent,spinach,-0.068558,3069,3017,89752,42667
gorgeous,poultry,-0.035671,384,374,4602,4226
cupboard,papaya,-0.03161,372,360,2854,1476
pizza,celery,-0.062686,57740,27321,103983,89646
excessive,bayou,-0.028167,745,739,337,313
sundae,moisture,-0.141943,1357,1166,11031,10308
useful,rhubarb,-0.075425,326,310,15525,5866
bakery,swordfish,0.010608,472,458,2333,990
outer,yogurt,-0.018267,9098,8463,52154,34458
fiesta,liter,0.025801,1667,1598,761,716
earthquake,melon,0.008895,575,540,6646,3968
birthday,eggplant,-0.074098,890,811,40453,12551
quickie,cavity,-0.000392,339,333,8407,5958
vinegar,appetizer,-0.016597,136939,119032,5151,4991
wacky,cigar,0.03018,356,352,588,531
intact,farmhouse,0.029783,4584,4463,332,325
custard,enhance,-0.003785,30962,16661,626,617
cupcake,cuisine,-0.030572,13692,7489,423,395
caviar,sufficient,-0.047998,2135,1367,4782,4410
indoor,rid,-0.041822,787,738,2031,1962
coleslaw,ample,-0.000477,5349,3971,401,391
salami,suitable,-0.001735,3482,2358,1198,1155
molasses,chef,0.069611,18019,14369,2442,2310
kitchen,mango,-0.055872,21930,19836,17207,9134
tasty,decorator,0.037016,7476,7370,502,446
jiffy,martini,0.002764,837,773,4739,3171
muffin,seafood,0.005109,67858,41236,11365,7631
spatula,autumn,-0.011283,54045,45159,1381,1355
helpful,catfish,-0.050572,843,815,2907,1446
info,hen,-0.015453,528,518,2078,1148
tiny,macaroni,-0.016054,6884,6503,34120,16430
sodium,toothpick,-0.02251,7533,6923,47507,45665
fridge,hamburger,0.012974,37587,31200,26971,19454
ketchup,cardboard,0.001362,18856,16113,1087,739
freezer,sauerkraut,0.032939,48748,35818,8986,4855
similar,vodka,0.029538,4069,3959,8281,5930
raisin,outdoor,-0.03423,8368,7385,2974,2883
speedy,vitamin,0.039584,638,633,2349,1241
farmers,rum,0.03453,865,805,19158,12892
saucer,potassium,0.018768,1383,1181,750,706
tequila,horizontal,0.074021,3999,2989,1117,1014
