word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
rainy,thief,-0.024791,2083,1842,15779,3855
jazz,rid,-0.06706,16087,2638,2223,1996
farmers,blackboard,-0.055575,2399,1816,12124,2532
muffin,respectful,-0.050051,14239,2450,9727,8409
faucet,reindeer,-0.040748,12084,3012,11544,2589
teamwork,bathrobe,-0.106043,2461,2387,11354,2483
sweetie,stadium,-0.058963,10998,10393,9402,2575
freezer,graceful,-0.027826,11178,3284,16166,11505
eager,tummy,0.011633,19092,15839,14339,10501
billboard,thankful,0.020141,10861,2501,21734,21144
spaceship,owner,-0.075956,3926,1968,54977,31114
squeaky,airport,-0.028118,7262,1902,10614,4177
factory,lollipop,0.003749,12323,2747,15007,3409
basement,melon,-0.010273,1990,1097,18246,2607
earthquake,shirt,-0.079156,6802,2732,30790,12881
helicopter,smelly,0.005396,17323,2681,33591,13906
fridge,loyal,-0.056202,19888,8594,21069,11893
backyard,grumpy,-0.035128,32735,23198,38590,13482
tasty,ambulance,-0.01836,50150,31870,14259,3410
ignore,dancer,0.021833,8897,6878,10269,4077
pizza,sunlight,-0.000619,28734,5240,3160,3012
noon,sandbox,0.030747,3836,2611,12385,8686
kitchen,lung,-0.039553,145366,104320,4212,1551
cupboard,soccer,-0.016001,13792,5579,5513,2134
birthday,cactus,-0.042989,46154,24137,16942,2556
sidewalk,celery,0.028145,4563,3519,15401,2651
scary,wallet,0.012736,92689,61887,14651,2931
tornado,envious,0.035384,12086,2682,16312,11204
zebra,comfy,0.007285,12816,3325,3373,2981
lake,math,0.00724,52828,19611,14178,2775
tiny,helmet,0.059956,117813,76770,16276,5286
bedtime,statue,0.028902,2913,2671,18933,3333
wealthy,raincoat,0.017643,21283,11226,1523,1185
winner,mosquito,-0.014915,5291,4738,13044,2422
pond,exam,0.029249,147151,61012,10447,2469
classroom,necklace,-0.01723,9899,4439,20246,6927
mailman,dangerous,0.010088,6980,2494,55359,39378
bathtub,giraffe,0.026107,13356,3729,10869,4710
obedient,laser,0.003495,19027,11557,14374,2472
speedy,notebook,-0.03856,9357,1436,14368,2860
farmer,violin,0.01671,51626,13514,15442,2640
twig,teacher,-0.009974,13141,2925,43932,18971
barn,microphone,-0.016613,22537,8162,13025,3324
sofa,impressive,0.005729,10685,6662,18768,11542
yogurt,harmless,0.050712,16802,2791,17153,11298
bakery,dependable,0.043109,1878,1074,18712,10893
elderly,bedroom,0.035502,24020,11134,18923,11269
helpful,ashtray,0.020553,42998,30311,11847,2465
hippo,cardboard,-0.019618,13361,2643,12298,4652
useful,kangaroo,0.021742,22551,12885,11222,2729
furniture,alligator,0.053974,9705,4193,14489,2654
elephant,oven,0.026575,43111,13809,35372,15914
spider,sunglasses,-0.000262,37303,7464,13390,3016
microscope,penguin,0.040639,12484,2625,12146,3700
lemonade,comet,0.034363,7094,2266,16536,2596
flashlight,helper,0.01391,16743,4756,11184,8180
