word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
skillet,protein,0.015981,388783,248779,10322,9072
tofu,oven,0.018726,28018,9719,860114,565394
kitchen,papaya,0.022581,21930,19836,2854,1476
pizza,celery,-0.062686,57740,27321,103983,89646
hamburger,melon,0.01553,26971,19454,6646,3968
sundae,moisture,-0.141943,1357,1166,11031,10308
vinegar,appetizer,-0.016597,136939,119032,5151,4991
bacon,lemonade,-0.076474,158695,72676,6577,4765
spider,mango,-0.006563,1391,1052,17207,9134
caviar,sufficient,-0.047998,2135,1367,4782,4410
espresso,coleslaw,0.030032,6417,4159,5349,3971
excellent,spinach,-0.068558,3069,3017,89752,42667
chowder,sushi,0.006227,8474,6774,3822,1491
seafood,vitamin,-0.051962,11365,7631,2349,1241
outer,yogurt,-0.018267,9098,8463,52154,34458
marmalade,rid,-0.044134,6673,4419,2031,1962
squid,autumn,-0.015899,4773,1479,1381,1355
intact,ketchup,-0.036593,4584,4463,18856,16113
saucer,sodium,-0.017476,1383,1181,7533,6923
salami,suitable,-0.001735,3482,2358,1198,1155
rhubarb,fiesta,0.018018,15525,5866,1667,1598
martini,pepperoni,-0.036288,4739,3171,7960,5583
vodka,omelet,-0.037669,8281,5930,6747,3000
cupcake,sauerkraut,-0.017661,13692,7489,8986,4855
similar,mayonnaise,0.07329,4069,3959,61066,50672
tiny,macaroni,-0.016054,6884,6503,34120,16430
custard,chef,0.045169,30962,16661,2442,2310
muffin,poultry,0.018018,67858,41236,4602,4226
tequila,spatula,0.057644,3999,2989,54045,45159
raisin,outdoor,-0.03423,8368,7385,2974,2883
tasty,cavity,0.056496,7476,7370,8407,5958
horizontal,bran,-0.022739,1117,1014,7327,4775
fridge,hen,0.049666,37587,31200,2078,1148
eggplant,cider,-0.004446,40453,12551,14321,9805
toothpick,catfish,0.071022,47507,45665,2907,1446
freezer,molasses,0.094224,48748,35818,18019,14369
