word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
sundae,moisture,-0.141943,1357,1166,11031,10308
espresso,moisture,-0.116493,6417,4159,11031,10308
outer,bran,-0.090712,9098,8463,7327,4775
protein,hen,-0.086636,10322,9072,2078,1148
spider,mayonnaise,-0.083122,1391,1052,61066,50672
cupcake,poultry,-0.080308,13692,7489,4602,4226
lemonade,omelet,-0.078197,6577,4765,6747,3000
spatula,hen,-0.07771,54045,45159,2078,1148
bacon,lemonade,-0.076474,158695,72676,6577,4765
cavity,tofu,-0.071178,8407,5958,28018,9719
molasses,omelet,-0.07071,18019,14369,6747,3000
raisin,rid,-0.068904,8368,7385,2031,1962
excellent,spinach,-0.068558,3069,3017,89752,42667
pizza,celery,-0.062686,57740,27321,103983,89646
protein,intact,-0.057836,10322,9072,4584,4463
cupcake,excellent,-0.057235,13692,7489,3069,3017
sufficient,protein,-0.056472,4782,4410,10322,9072
intact,sodium,-0.056358,4584,4463,7533,6923
kitchen,mango,-0.055872,21930,19836,17207,9134
protein,seafood,-0.05548,10322,9072,11365,7631
kitchen,sundae,-0.052572,21930,19836,1357,1166
seafood,vitamin,-0.051962,11365,7631,2349,1241
outer,excellent,-0.050821,9098,8463,3069,3017
marmalade,vitamin,-0.04972,6673,4419,2349,1241
omelet,rid,-0.048919,6747,3000,2031,1962
caviar,sufficient,-0.047998,2135,1367,4782,4410
similar,lemonade,-0.047361,4069,3959,6577,4765
spatula,seafood,-0.046722,54045,45159,11365,7631
custard,poultry,-0.046596,30962,16661,4602,4226
freezer,eggplant,-0.046354,48748,35818,40453,12551
tasty,espresso,-0.045594,7476,7370,6417,4159
marmalade,rid,-0.044134,6673,4419,2031,1962
hamburger,martini,-0.043308,26971,19454,4739,3171
chowder,spatula,-0.042934,8474,6774,54045,45159
intact,excellent,-0.040419,4584,4463,3069,3017
squid,sundae,-0.039306,4773,1479,1357,1166
sundae,poultry,-0.038847,1357,1166,4602,4226
vodka,omelet,-0.037669,8281,5930,6747,3000
pepperoni,rum,-0.037185,7960,5583,19158,12892
rhubarb,appetizer,-0.03667,15525,5866,5151,4991
intact,ketchup,-0.036593,4584,4463,18856,16113
