word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,name
moisture,sundae,-0.141943,11031,10308,1357,1166,moistdae
raisin,outdoor,-0.03423,8368,7385,2974,2883,outsin
tasty,decorator,0.037016,7476,7370,502,446,tastoratory
molasses,chef,0.069611,18019,14369,2442,2310,cholass
freezer,sauerkraut,0.032939,48748,35818,8986,4855,sauerfreez
toothpick,sodium,-0.02251,47507,45665,7533,6923,toothium
cavity,quickie,-0.000392,8407,5958,339,333,quivity
coleslaw,ample,-0.000477,5349,3971,401,391,coleslamp
salami,suitable,-0.001735,3482,2358,1198,1155,salatable
chowder,sushi,0.006227,8474,6774,3822,1491,chowdushi
yogurt,outer,-0.018267,52154,34458,9098,8463,outgurt
poultry,gorgeous,-0.035671,4602,4226,384,374,pultrorgeous
rhubarb,useful,-0.075425,15525,5866,326,310,usebarb
pepperoni,culinary,0.011268,7960,5583,487,465,pepperolinary
kitchen,mango,-0.055872,21930,19836,17207,9134,magchen
bacon,lemonade,-0.076474,158695,72676,6577,4765,baconade
spinach,excellent,-0.068558,89752,42667,3069,3017,excellinach
fiesta,liter,0.025801,1667,1598,761,716,literesta
vodka,similar,0.029538,8281,5930,4069,3959,vodimilar
vitamin,speedy,0.039584,2349,1241,638,633,speedaminy
cupcake,cuisine,-0.030572,13692,7489,423,395,cupcine
catfish,helpful,-0.050572,2907,1446,843,815,helpfish
excessive,bayou,-0.028167,745,739,337,313,bayouxzessive
custard,enhance,-0.003785,30962,16661,626,617,custance
swordfish,bakery,0.010608,2333,990,472,458,baswofish
muffin,seafood,0.005109,67858,41236,11365,7631,seafuffin
omelet,elephant,-0.088843,6747,3000,599,373,omlephant
cigar,wacky,0.03018,588,531,356,352,wackigar
melon,earthquake,0.008895,6646,3968,575,540,melonquake
eggplant,birthday,-0.074098,40453,12551,890,811,eggdayplan
martini,jiffy,0.002764,4739,3171,837,773,jyiffartini
rid,indoor,-0.041822,2031,1962,787,738,inrid
skillet,protein,0.015981,388783,248779,10322,9072,skillotein
espresso,luncheon,-0.088806,6417,4159,660,595,luncheopresso
macaroni,tiny,-0.016054,34120,16430,6884,6503,tinyroni
mayonnaise,spider,-0.083122,61066,50672,1391,1052,spideryonnaise
squid,delightful,0.016248,4773,1479,463,461,squidlight
fridge,hamburger,0.012974,37587,31200,26971,19454,fridgeburger
spatula,autumn,-0.011283,54045,45159,1381,1355,autula
saucer,potassium,0.018768,1383,1181,750,706,saucassium
sufficient,caviar,-0.047998,4782,4410,2135,1367,cavifficient
hen,info,-0.015453,2078,1148,528,518,henfo
cleaver,summertime,-0.019479,736,680,495,486,cleavertime
tequila,horizontal,0.074021,3999,2989,1117,1014,horiquila
vinegar,appetizer,-0.016597,136939,119032,5151,4991,vinetizer
celery,pizza,-0.062686,103983,89646,57740,27321,celerypizza
intact,farmhouse,0.029783,4584,4463,332,325,farmtact
papaya,cupboard,-0.03161,2854,1476,372,360,cupaya
ketchup,cardboard,0.001362,18856,16113,1087,739,cardchup
oven,tofu,0.018726,860114,565394,28018,9719,toven
