word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_10_HOM,0.21585436,0.2704069,0.2604785,0.3182371,0.28159425,0.3351615
aristocrat,P,word2vec_recipe_10_HOM,0.16835144,0.19213036,0.19927216,0.22068013,0.2120591,0.22460996
novelty,P,word2vec_recipe_10_HOM,0.15142187,0.17533761,0.1868503,0.22732188,0.2011776,0.24845493
pirate,P,word2vec_recipe_10_HOM,0.20405635,0.21214344,0.23205085,0.22802627,0.24378987,0.2331323
gasoline,M,word2vec_recipe_10_HOM,0.1267095,0.13454153,0.14916003,0.15992834,0.1595777,0.17068052
fringe,P,word2vec_recipe_10_HOM,0.18829994,0.19756313,0.22724411,0.24524473,0.2456808,0.27110693
corral,P,word2vec_recipe_10_HOM,0.3258118,0.26199433,0.36032692,0.29420272,0.37296063,0.3079368
gopher,P,word2vec_recipe_10_HOM,0.21148963,0.22682613,0.24178253,0.256822,0.25268364,0.2634928
substance,P,word2vec_recipe_10_HOM,0.29184148,0.31971028,0.345789,0.33725405,0.36511508,0.3454683
flannel,P,word2vec_recipe_10_HOM,0.34049815,0.23515753,0.381547,0.24424957,0.3960814,0.25185698
strap,P,word2vec_recipe_10_HOM,0.25362557,0.21089832,0.30360913,0.25668606,0.32578728,0.2823004
courtesy,P,word2vec_recipe_10_HOM,0.2923787,0.25575954,0.33847305,0.25725707,0.35623986,0.2618913
pitch,H,word2vec_recipe_10_HOM,0.34216645,0.29548615,0.39246547,0.352267,0.41074336,0.35636204
countdown,P,word2vec_recipe_10_HOM,0.27130136,0.22091766,0.30198866,0.24548638,0.31343699,0.25586388
fiend,P,word2vec_recipe_10_HOM,0.16315371,0.13761704,0.18668391,0.14651299,0.19690944,0.16139974
generic,P,word2vec_recipe_10_HOM,0.23940094,0.22048676,0.27430287,0.2297797,0.2888643,0.23618177
marijuana,M,word2vec_recipe_10_HOM,0.25516933,0.2962642,0.2864377,0.33099824,0.2994801,0.33742085
pink,H,word2vec_recipe_10_HOM,0.36292028,0.4239028,0.48660305,0.53675526,0.52645767,0.52894264
perky,M,word2vec_recipe_10_HOM,0.2989763,0.25341856,0.3362555,0.286272,0.35168263,0.28512555
society,P,word2vec_recipe_10_HOM,0.1404085,0.137211,0.16420431,0.16454887,0.17536941,0.1771192
fearless,M,word2vec_recipe_10_HOM,0.19265714,0.17255355,0.21720804,0.1768178,0.22674808,0.18658519
lotion,P,word2vec_recipe_10_HOM,0.24935456,0.21994004,0.30469915,0.29904816,0.32934433,0.32400036
hoop,P,word2vec_recipe_10_HOM,0.28225514,0.2453003,0.31583646,0.2699163,0.32994553,0.28392664
cookie,P,word2vec_recipe_10_HOM,0.3053726,0.31916308,0.36680317,0.34149325,0.39343995,0.39419466
etiquette,M,word2vec_recipe_10_HOM,0.10595536,0.11905313,0.12375068,0.13442795,0.13254748,0.1485708
romantic,P,word2vec_recipe_10_HOM,0.21529064,0.24140126,0.26123133,0.2816026,0.27749777,0.28436616
square,P,word2vec_recipe_10_HOM,0.2554942,0.2896096,0.31485918,0.309429,0.34115517,0.33884332
vibration,P,word2vec_recipe_10_HOM,0.13439314,0.15619215,0.15399934,0.1770654,0.16347381,0.18401878
isolate,P,word2vec_recipe_10_HOM,0.20677476,0.17850909,0.23967212,0.1276236,0.2497853,0.1061844
spacious,P,word2vec_recipe_10_HOM,0.21140714,0.25198567,0.24573624,0.2898692,0.2610068,0.30584708
toilet,P,word2vec_recipe_10_HOM,0.19782212,0.23742515,0.23905475,0.28751537,0.25855908,0.30584508
southwest,P,word2vec_recipe_10_HOM,0.21102867,0.28373802,0.29433656,0.3221144,0.31792682,0.30770433
corpse,M,word2vec_recipe_10_HOM,0.16347076,0.17317906,0.19513485,0.20292667,0.20652033,0.21297093
publisher,P,word2vec_recipe_10_HOM,0.10776011,0.118787006,0.16320996,0.18129101,0.18540646,0.19886939
accompany,P,word2vec_recipe_10_HOM,0.27951473,0.39899975,0.37455028,0.46584204,0.40883872,0.48123705
wildlife,M,word2vec_recipe_10_HOM,0.1494168,0.15807532,0.17917572,0.18332464,0.19008063,0.18892728
louse,P,word2vec_recipe_10_HOM,0.132851,0.14281097,0.15508622,0.16769037,0.16463539,0.18249218
household,P,word2vec_recipe_10_HOM,0.235746,0.1576145,0.26238164,0.17462486,0.27368468,0.17975777
lend,P,word2vec_recipe_10_HOM,0.2274373,0.22358058,0.2825582,0.26967648,0.30603236,0.2882183
despise,M,word2vec_recipe_10_HOM,0.08686788,0.093278825,0.104717046,0.120402806,0.114192754,0.13557035
attack,P,word2vec_recipe_10_HOM,0.28678364,0.26529697,0.331008,0.29494834,0.3463369,0.30630943
cone,P,word2vec_recipe_10_HOM,0.28167814,0.27246132,0.32887906,0.32465437,0.3523883,0.33079034
rope,P,word2vec_recipe_10_HOM,0.2351569,0.3052521,0.32283416,0.31192598,0.35316935,0.33039314
agreement,P,word2vec_recipe_10_HOM,0.28029436,0.24667129,0.3283413,0.24076591,0.3446849,0.24564663
unable,M,word2vec_recipe_10_HOM,0.25476792,0.23222512,0.29534054,0.22151181,0.31040704,0.2234974
rainy,M,word2vec_recipe_10_HOM,0.2751396,0.2791356,0.3401329,0.32560351,0.36821204,0.33703268
gracious,P,word2vec_recipe_10_HOM,0.15539286,0.13472359,0.17531857,0.1688062,0.18604068,0.1818751
hind,H,word2vec_recipe_10_HOM,0.20694628,0.2361668,0.25655743,0.31449765,0.2841326,0.35079694
park,P,word2vec_recipe_10_HOM,0.28217486,0.22440207,0.32222056,0.24401325,0.33677924,0.25020295
detector,P,word2vec_recipe_10_HOM,0.17455693,0.17594482,0.2089448,0.19484231,0.22321038,0.2003967
armpit,M,word2vec_recipe_10_HOM,0.16511765,0.19946502,0.1997698,0.2288676,0.21452436,0.24929714
distance,P,word2vec_recipe_10_HOM,0.37291735,0.36630166,0.41960692,0.37782547,0.43617493,0.38654235
