word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_30_HYP,0.22292936,0.2668586,0.26749128,0.3345721,0.28804484,0.35375956
aristocrat,P,word2vec_recipe_30_HYP,0.17109105,0.18184537,0.20121227,0.21779665,0.21222202,0.22819439
novelty,P,word2vec_recipe_30_HYP,0.15292327,0.17624378,0.18607825,0.22927165,0.20231022,0.25062478
pirate,P,word2vec_recipe_30_HYP,0.21601959,0.21197948,0.24549791,0.2399407,0.25707856,0.25127733
gasoline,M,word2vec_recipe_30_HYP,0.1240605,0.13733245,0.14472136,0.15707336,0.15455231,0.16762526
fringe,P,word2vec_recipe_30_HYP,0.20235434,0.21504101,0.24181569,0.25350463,0.26051557,0.27723232
corral,P,word2vec_recipe_30_HYP,0.3044247,0.28389376,0.34097472,0.304486,0.3532891,0.3159211
gopher,P,word2vec_recipe_30_HYP,0.20435233,0.2104661,0.2309519,0.23569402,0.24133453,0.25364855
substance,P,word2vec_recipe_30_HYP,0.30786777,0.3435465,0.3608558,0.34139156,0.38184047,0.35496786
flannel,P,word2vec_recipe_30_HYP,0.33616105,0.21837614,0.3803215,0.24588345,0.3964537,0.2516377
strap,P,word2vec_recipe_30_HYP,0.24983296,0.20889252,0.30184612,0.2559145,0.3225055,0.28560007
courtesy,P,word2vec_recipe_30_HYP,0.28557223,0.2230188,0.32949477,0.23498206,0.34704962,0.24294952
pitch,H,word2vec_recipe_30_HYP,0.36041957,0.35412547,0.41363224,0.3838996,0.43467766,0.39981148
countdown,P,word2vec_recipe_30_HYP,0.28190872,0.26163357,0.31389672,0.25916234,0.32576272,0.26274776
fiend,P,word2vec_recipe_30_HYP,0.17705785,0.13133937,0.20095709,0.15096211,0.21152961,0.16659908
generic,P,word2vec_recipe_30_HYP,0.24020834,0.21420982,0.2805627,0.23368217,0.2953406,0.2395624
marijuana,M,word2vec_recipe_30_HYP,0.24638304,0.27488452,0.28601244,0.3250635,0.30097896,0.3361366
pink,H,word2vec_recipe_30_HYP,0.37023503,0.43739867,0.491376,0.52679324,0.52956766,0.53419256
perky,M,word2vec_recipe_30_HYP,0.2861678,0.23974484,0.32838804,0.2633808,0.34339812,0.2778267
society,P,word2vec_recipe_30_HYP,0.14943124,0.12701021,0.17377159,0.16174042,0.18500149,0.17315793
fearless,M,word2vec_recipe_30_HYP,0.19648348,0.16685207,0.22492182,0.180699,0.23517552,0.1867824
lotion,P,word2vec_recipe_30_HYP,0.24743375,0.24617329,0.3042573,0.30682188,0.3303253,0.32449248
hoop,P,word2vec_recipe_30_HYP,0.24493217,0.22129592,0.2784126,0.2545931,0.29079735,0.26330516
cookie,P,word2vec_recipe_30_HYP,0.31111547,0.2975852,0.37287048,0.34841877,0.39799994,0.3907476
etiquette,M,word2vec_recipe_30_HYP,0.11992256,0.13620102,0.13790987,0.15575868,0.14598668,0.16294007
romantic,P,word2vec_recipe_30_HYP,0.22312403,0.26988643,0.2673135,0.27791974,0.28301036,0.28681317
square,P,word2vec_recipe_30_HYP,0.26702142,0.31536487,0.3230002,0.3187698,0.34901854,0.34384754
vibration,P,word2vec_recipe_30_HYP,0.14652029,0.17789282,0.1676421,0.19781598,0.17640074,0.19985732
isolate,P,word2vec_recipe_30_HYP,0.18687364,0.08133852,0.20698716,0.06076217,0.2146236,0.05293352
spacious,P,word2vec_recipe_30_HYP,0.21328743,0.24622098,0.24345833,0.28163397,0.25593615,0.2960026
toilet,P,word2vec_recipe_30_HYP,0.20637798,0.23421317,0.24589598,0.2826474,0.2653073,0.30133432
southwest,P,word2vec_recipe_30_HYP,0.21678594,0.29373324,0.30352464,0.31108165,0.32755983,0.3038805
corpse,M,word2vec_recipe_30_HYP,0.1591073,0.1554555,0.1914089,0.18088934,0.20327419,0.19742338
publisher,P,word2vec_recipe_30_HYP,0.11352086,0.11639275,0.16659698,0.17851739,0.18789166,0.2008763
accompany,P,word2vec_recipe_30_HYP,0.28528535,0.39030144,0.3782398,0.45638174,0.41283548,0.46925914
wildlife,M,word2vec_recipe_30_HYP,0.14962904,0.15560426,0.17957638,0.19149718,0.1919426,0.20184895
louse,P,word2vec_recipe_30_HYP,0.14032033,0.14455466,0.16552126,0.1768871,0.1754466,0.18730244
household,P,word2vec_recipe_30_HYP,0.248359,0.17347164,0.27772757,0.18941289,0.28962564,0.20216142
lend,P,word2vec_recipe_30_HYP,0.22148664,0.22101593,0.27968872,0.26639453,0.3044852,0.28972408
despise,M,word2vec_recipe_30_HYP,0.08398749,0.09406189,0.10191522,0.11821871,0.11070406,0.13325022
attack,P,word2vec_recipe_30_HYP,0.276765,0.23304266,0.3210615,0.26832667,0.3373635,0.28494442
cone,P,word2vec_recipe_30_HYP,0.27689186,0.29849663,0.33040273,0.31444052,0.35443076,0.3393909
rope,P,word2vec_recipe_30_HYP,0.23328905,0.30371663,0.32377678,0.32603768,0.3549832,0.3348753
agreement,P,word2vec_recipe_30_HYP,0.2852667,0.23613922,0.33426,0.23799026,0.3501133,0.24949366
unable,M,word2vec_recipe_30_HYP,0.2613285,0.22775173,0.3065368,0.2500079,0.32360482,0.2467595
rainy,M,word2vec_recipe_30_HYP,0.27831966,0.2683748,0.3420097,0.311062,0.36645898,0.3171788
gracious,P,word2vec_recipe_30_HYP,0.16699806,0.15595719,0.19282591,0.17610222,0.2036105,0.18931696
hind,H,word2vec_recipe_30_HYP,0.21414602,0.25289991,0.26237962,0.31431636,0.28672397,0.34428033
park,P,word2vec_recipe_30_HYP,0.2736867,0.20537204,0.3151721,0.24714795,0.32986128,0.25089946
detector,P,word2vec_recipe_30_HYP,0.17809162,0.16501813,0.21081188,0.19176227,0.22417423,0.198175
armpit,M,word2vec_recipe_30_HYP,0.18278822,0.1939135,0.21449164,0.23717175,0.22966415,0.24644297
distance,P,word2vec_recipe_30_HYP,0.36511374,0.38197792,0.41101846,0.3733663,0.42634606,0.37857595
eager,M,word2vec_recipe_30_HYP,0.10500051,0.10632082,0.12672788,0.12948905,0.13729492,0.14162192
drum,P,word2vec_recipe_30_HYP,0.3626252,0.31882876,0.41366166,0.35017866,0.4350293,0.387169
accident,P,word2vec_recipe_30_HYP,0.17876498,0.14327902,0.20501335,0.14768219,0.2173203,0.1604238
moon,P,word2vec_recipe_30_HYP,0.35258785,0.36968574,0.41578445,0.38329235,0.43515742,0.39283818
pansy,P,word2vec_recipe_30_HYP,0.22897968,0.30387983,0.29050973,0.3598376,0.31544715,0.385696
reality,P,word2vec_recipe_30_HYP,0.10300106,0.10498786,0.12392047,0.12872325,0.13377936,0.13966589
equal,P,word2vec_recipe_30_HYP,0.3191257,0.360887,0.40641993,0.43322667,0.43604985,0.4330718
regain,P,word2vec_recipe_30_HYP,0.2258048,0.21754265,0.2644809,0.23975511,0.2812795,0.25313717
dominion,P,word2vec_recipe_30_HYP,0.120145276,0.12721094,0.14513879,0.14625686,0.15676205,0.15786797
pudding,P,word2vec_recipe_30_HYP,0.33650902,0.4227584,0.39932016,0.43149796,0.4232803,0.4197075
wing,P,word2vec_recipe_30_HYP,0.27284935,0.3147142,0.40047213,0.43023828,0.445546,0.45357084
greedy,P,word2vec_recipe_30_HYP,0.13187876,0.10402519,0.15741341,0.13298571,0.1685308,0.14913557
hoof,P,word2vec_recipe_30_HYP,0.19105288,0.20621294,0.22474185,0.25309783,0.23934923,0.26897573
poorly,P,word2vec_recipe_30_HYP,0.12255309,0.11657871,0.14364997,0.13878405,0.15335232,0.15097739
mink,P,word2vec_recipe_30_HYP,0.19801316,0.20175003,0.22285692,0.23954673,0.23320001,0.250248
plumber,P,word2vec_recipe_30_HYP,0.10073902,0.10435589,0.11828607,0.12523162,0.12648022,0.13820672
toaster,H,word2vec_recipe_30_HYP,0.37211812,0.43092242,0.45564294,0.5002948,0.48482123,0.50812346
disposal,P,word2vec_recipe_30_HYP,0.25275165,0.2795526,0.29619542,0.30793285,0.3155862,0.31496328
pleasant,P,word2vec_recipe_30_HYP,0.24320881,0.23449345,0.29316035,0.2959695,0.31431046,0.3071719
airtight,P,word2vec_recipe_30_HYP,0.27644607,0.33716008,0.398519,0.396168,0.44624093,0.42559028
cancer,P,word2vec_recipe_30_HYP,0.16756377,0.14177004,0.21653129,0.18607903,0.23629475,0.19973536
critical,P,word2vec_recipe_30_HYP,0.24923614,0.24989483,0.29798898,0.2383884,0.31375372,0.24418056
cloak,P,word2vec_recipe_30_HYP,0.18859413,0.18913929,0.21871307,0.20715497,0.23272233,0.22184068
honor,P,word2vec_recipe_30_HYP,0.2098097,0.17521034,0.24255016,0.19244154,0.25477087,0.20062666
continue,P,word2vec_recipe_30_HYP,0.39885846,0.45212677,0.474346,0.41226244,0.49497512,0.38323548
placement,P,word2vec_recipe_30_HYP,0.286649,0.32797295,0.3337686,0.32778922,0.3512436,0.33080158
panic,P,word2vec_recipe_30_HYP,0.25877634,0.2558669,0.30649567,0.2636601,0.32275394,0.2568398
rotation,P,word2vec_recipe_30_HYP,0.2770952,0.2925042,0.32074276,0.3081282,0.33880356,0.31206635
bug,P,word2vec_recipe_30_HYP,0.25004104,0.24267876,0.30205393,0.3147277,0.32372037,0.33503947
plaster,P,word2vec_recipe_30_HYP,0.25900334,0.2658627,0.30543575,0.31954092,0.32607812,0.33927786
territory,P,word2vec_recipe_30_HYP,0.13938145,0.13507831,0.16305967,0.15148838,0.1734636,0.16682611
infection,P,word2vec_recipe_30_HYP,0.13176352,0.13422659,0.16491926,0.1834951,0.18118761,0.20074412
heater,P,word2vec_recipe_30_HYP,0.2905988,0.2960304,0.33684263,0.3520339,0.35693932,0.37281707
tailor,P,word2vec_recipe_30_HYP,0.14545897,0.16737984,0.17759722,0.18706645,0.19002697,0.19873208
folder,P,word2vec_recipe_30_HYP,0.21598992,0.23109414,0.2493916,0.25901768,0.26488274,0.27629772
various,P,word2vec_recipe_30_HYP,0.32097986,0.36552754,0.38489297,0.3753845,0.40717947,0.3875822
assure,P,word2vec_recipe_30_HYP,0.3514759,0.39243996,0.4300455,0.36770675,0.45188388,0.33491924
green,P,word2vec_recipe_30_HYP,0.28570634,0.3091379,0.34938014,0.33259934,0.37375155,0.34789804
sweaty,P,word2vec_recipe_30_HYP,0.23936522,0.23836619,0.27800542,0.2448867,0.29491478,0.2590735
bogus,M,word2vec_recipe_30_HYP,0.11975209,0.11203456,0.13747378,0.143552,0.14631942,0.15553321
drip,P,word2vec_recipe_30_HYP,0.39836398,0.39911804,0.47144642,0.4731125,0.498007,0.4776423
horseback,P,word2vec_recipe_30_HYP,0.304801,0.2680338,0.3528851,0.2798324,0.3670945,0.28885776
angle,H,word2vec_recipe_30_HYP,0.30219287,0.34508097,0.38864207,0.35064277,0.4151602,0.3467512
burp,P,word2vec_recipe_30_HYP,0.30596194,0.32747552,0.35322654,0.36985743,0.37407836,0.3897656
premature,M,word2vec_recipe_30_HYP,0.17627913,0.18225828,0.21222605,0.20725429,0.22729078,0.22009052
emphasize,P,word2vec_recipe_30_HYP,0.16193368,0.13165213,0.18804188,0.1553177,0.19919172,0.17069584
crook,P,word2vec_recipe_30_HYP,0.30882162,0.30354363,0.347152,0.34853232,0.3630674,0.36596286
cardiac,P,word2vec_recipe_30_HYP,0.12811646,0.14685401,0.14852163,0.16558902,0.15827608,0.18129349
newborn,P,word2vec_recipe_30_HYP,0.13155174,0.15254709,0.15464543,0.16529763,0.1634115,0.16906956
grenade,P,word2vec_recipe_30_HYP,0.16229641,0.18633719,0.18761131,0.21268955,0.1972397,0.21618871
frisky,M,word2vec_recipe_30_HYP,0.17236468,0.18571351,0.20428926,0.17810549,0.21730962,0.18145038
goose,P,word2vec_recipe_30_HYP,0.2189349,0.26943797,0.3450817,0.43093935,0.3963479,0.46006227
anger,P,word2vec_recipe_30_HYP,0.12178402,0.118462294,0.13898224,0.12963921,0.14789516,0.14433752
