word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_40_HOM_HALF,0.21964213,0.25926986,0.26668048,0.33963233,0.28791294,0.34908897
aristocrat,P,word2vec_recipe_40_HOM_HALF,0.15618609,0.18057168,0.1836314,0.20199497,0.19541085,0.21245688
novelty,P,word2vec_recipe_40_HOM_HALF,0.16739842,0.19097145,0.20353764,0.23675908,0.21917492,0.2580879
pirate,P,word2vec_recipe_40_HOM_HALF,0.20646529,0.22620986,0.24179667,0.25272843,0.25529832,0.25578263
gasoline,M,word2vec_recipe_40_HOM_HALF,0.1182968,0.13516477,0.14231758,0.15002824,0.15246026,0.1651881
fringe,P,word2vec_recipe_40_HOM_HALF,0.18209869,0.1970735,0.22110155,0.24892275,0.23887582,0.26855344
corral,P,word2vec_recipe_40_HOM_HALF,0.3036613,0.28125888,0.3320773,0.28867432,0.34343773,0.28870317
gopher,P,word2vec_recipe_40_HOM_HALF,0.18734571,0.17657444,0.21519463,0.21610005,0.22704574,0.23205933
substance,P,word2vec_recipe_40_HOM_HALF,0.30001312,0.31861886,0.35299355,0.3354718,0.3737828,0.34894103
flannel,P,word2vec_recipe_40_HOM_HALF,0.345369,0.22047962,0.38517648,0.24352214,0.3987656,0.25189605
strap,P,word2vec_recipe_40_HOM_HALF,0.25458246,0.20575647,0.30811417,0.26163527,0.33040324,0.28729832
courtesy,P,word2vec_recipe_40_HOM_HALF,0.29222116,0.23543562,0.34040397,0.26066738,0.35845345,0.26558608
pitch,H,word2vec_recipe_40_HOM_HALF,0.33519542,0.29493663,0.3880547,0.34469908,0.40602347,0.35749367
countdown,P,word2vec_recipe_40_HOM_HALF,0.27628797,0.232971,0.30829945,0.25542936,0.32154,0.25252154
fiend,P,word2vec_recipe_40_HOM_HALF,0.15872295,0.123852275,0.18489142,0.14368667,0.19538282,0.15477815
generic,P,word2vec_recipe_40_HOM_HALF,0.24286368,0.23071355,0.28256583,0.24946739,0.2980849,0.24636371
marijuana,M,word2vec_recipe_40_HOM_HALF,0.24732032,0.3015288,0.27924234,0.3251936,0.2919159,0.33604553
pink,H,word2vec_recipe_40_HOM_HALF,0.36564493,0.42421395,0.490699,0.51775664,0.52896035,0.5330816
perky,M,word2vec_recipe_40_HOM_HALF,0.29242787,0.22958305,0.33032596,0.27117088,0.34518844,0.2737995
society,P,word2vec_recipe_40_HOM_HALF,0.15864159,0.14686885,0.18591288,0.17062761,0.19758965,0.18361014
fearless,M,word2vec_recipe_40_HOM_HALF,0.17390311,0.16336972,0.19804674,0.1618156,0.20797539,0.17142041
lotion,P,word2vec_recipe_40_HOM_HALF,0.26036328,0.251486,0.3155729,0.31161773,0.34196675,0.32819942
hoop,P,word2vec_recipe_40_HOM_HALF,0.2762058,0.23987393,0.30818936,0.27044797,0.32096878,0.28417504
cookie,P,word2vec_recipe_40_HOM_HALF,0.30108872,0.31108978,0.36695012,0.34225821,0.39184734,0.3900316
etiquette,M,word2vec_recipe_40_HOM_HALF,0.1268057,0.13291897,0.14647442,0.15297864,0.1551507,0.16595788
romantic,P,word2vec_recipe_40_HOM_HALF,0.20327644,0.23748226,0.24133167,0.26093036,0.25809208,0.2768306
square,P,word2vec_recipe_40_HOM_HALF,0.2635698,0.3073042,0.31528416,0.31656432,0.34141695,0.32844085
vibration,P,word2vec_recipe_40_HOM_HALF,0.13825181,0.15903011,0.15938038,0.17810664,0.16841304,0.18654324
isolate,P,word2vec_recipe_40_HOM_HALF,0.20457491,0.21406616,0.23461086,0.15611456,0.24529286,0.1259049
spacious,P,word2vec_recipe_40_HOM_HALF,0.2263445,0.24709463,0.26287022,0.28592792,0.2790785,0.30839437
toilet,P,word2vec_recipe_40_HOM_HALF,0.20614398,0.24942704,0.24942079,0.2922565,0.2683725,0.30325112
southwest,P,word2vec_recipe_40_HOM_HALF,0.20476127,0.26560956,0.29400894,0.30538213,0.3193394,0.3046065
corpse,M,word2vec_recipe_40_HOM_HALF,0.14661765,0.16323681,0.17964338,0.18969171,0.1920655,0.20781633
publisher,P,word2vec_recipe_40_HOM_HALF,0.111710265,0.12377876,0.1634807,0.18387823,0.18446298,0.201102
accompany,P,word2vec_recipe_40_HOM_HALF,0.2780083,0.38910973,0.3769677,0.46295133,0.41157004,0.4771181
wildlife,M,word2vec_recipe_40_HOM_HALF,0.13810523,0.15617466,0.16319785,0.18288094,0.1754189,0.19552746
louse,P,word2vec_recipe_40_HOM_HALF,0.121606454,0.13711128,0.14802247,0.15720741,0.15788902,0.17121324
household,P,word2vec_recipe_40_HOM_HALF,0.22501938,0.17177099,0.25201038,0.18887822,0.26296923,0.19340579
lend,P,word2vec_recipe_40_HOM_HALF,0.22634903,0.22165482,0.2841761,0.27608854,0.30892268,0.2913272
despise,M,word2vec_recipe_40_HOM_HALF,0.083743334,0.09372681,0.103037946,0.12373136,0.11287201,0.13735159
attack,P,word2vec_recipe_40_HOM_HALF,0.28363636,0.25987956,0.32521495,0.2757498,0.3409903,0.2889626
cone,P,word2vec_recipe_40_HOM_HALF,0.2741999,0.2589252,0.32742673,0.31385744,0.34961212,0.33596173
rope,P,word2vec_recipe_40_HOM_HALF,0.23287621,0.2957599,0.3195055,0.3136624,0.3500782,0.31956652
agreement,P,word2vec_recipe_40_HOM_HALF,0.28320366,0.23677616,0.33287418,0.24326189,0.34861037,0.25647816
unable,M,word2vec_recipe_40_HOM_HALF,0.2627234,0.23202358,0.30998698,0.23383436,0.3259205,0.23876241
rainy,M,word2vec_recipe_40_HOM_HALF,0.27014285,0.27078342,0.3378394,0.3156389,0.36692658,0.32365507
gracious,P,word2vec_recipe_40_HOM_HALF,0.15303235,0.14350283,0.17455545,0.16335493,0.18459684,0.17925234
hind,H,word2vec_recipe_40_HOM_HALF,0.2044774,0.24155673,0.2590555,0.31513828,0.28431016,0.3471125
park,P,word2vec_recipe_40_HOM_HALF,0.28227288,0.2029043,0.3217115,0.24573542,0.33597928,0.2513589
detector,P,word2vec_recipe_40_HOM_HALF,0.17228118,0.17516598,0.20691615,0.19321972,0.2200075,0.19624688
armpit,M,word2vec_recipe_40_HOM_HALF,0.16942689,0.1897642,0.21053465,0.2416054,0.22808914,0.25652063
distance,P,word2vec_recipe_40_HOM_HALF,0.37361,0.3619257,0.42158833,0.37916186,0.43680504,0.37515962
eager,M,word2vec_recipe_40_HOM_HALF,0.10236146,0.104620434,0.12463444,0.12861137,0.13498163,0.14376119
drum,P,word2vec_recipe_40_HOM_HALF,0.36201367,0.3521906,0.41134048,0.38678858,0.43219963,0.3937681
accident,P,word2vec_recipe_40_HOM_HALF,0.18269372,0.13040859,0.20945561,0.15554404,0.22197294,0.16754872
moon,P,word2vec_recipe_40_HOM_HALF,0.34265652,0.35984275,0.40611592,0.3870763,0.4269363,0.38691008
pansy,P,word2vec_recipe_40_HOM_HALF,0.22671314,0.29661578,0.27790847,0.35769024,0.2982449,0.3714241
reality,P,word2vec_recipe_40_HOM_HALF,0.09662081,0.10768893,0.11453601,0.122662485,0.12414599,0.13737063
equal,P,word2vec_recipe_40_HOM_HALF,0.3197189,0.37446892,0.40831557,0.4365219,0.43900016,0.44018173
regain,P,word2vec_recipe_40_HOM_HALF,0.23001535,0.20639482,0.26817375,0.23132947,0.28547353,0.24829888
dominion,P,word2vec_recipe_40_HOM_HALF,0.1336115,0.13395739,0.15710238,0.1511762,0.16767345,0.15994138
pudding,P,word2vec_recipe_40_HOM_HALF,0.3476091,0.41857544,0.4046698,0.4146897,0.4269468,0.41727272
wing,P,word2vec_recipe_40_HOM_HALF,0.2658779,0.32389098,0.39325905,0.4308285,0.43920526,0.45100933
greedy,P,word2vec_recipe_40_HOM_HALF,0.12874156,0.1063317,0.15659562,0.13495924,0.1693464,0.14781788
hoof,P,word2vec_recipe_40_HOM_HALF,0.19580826,0.20967442,0.22705053,0.25614023,0.23963556,0.27683777
poorly,P,word2vec_recipe_40_HOM_HALF,0.1182069,0.119882524,0.14033923,0.13854398,0.14946555,0.1503242
mink,P,word2vec_recipe_40_HOM_HALF,0.18368226,0.21579573,0.21474315,0.23835815,0.22698982,0.25171718
plumber,P,word2vec_recipe_40_HOM_HALF,0.113892674,0.11820467,0.13138384,0.13610083,0.14029822,0.14848007
toaster,H,word2vec_recipe_40_HOM_HALF,0.37327656,0.44997606,0.45554698,0.50589,0.48457864,0.50665164
disposal,P,word2vec_recipe_40_HOM_HALF,0.24153988,0.25021473,0.28211883,0.2877694,0.2992567,0.29596543
pleasant,P,word2vec_recipe_40_HOM_HALF,0.22342677,0.23970523,0.27119255,0.28591475,0.29296663,0.3011912
airtight,P,word2vec_recipe_40_HOM_HALF,0.28027165,0.3399826,0.40502,0.41234073,0.45328158,0.44098315
