word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_40_HYP_HALF,0.21495862,0.2500101,0.26208845,0.32579622,0.28640312,0.35120714
aristocrat,P,word2vec_recipe_40_HYP_HALF,0.1537184,0.16884765,0.18424836,0.20384993,0.19563423,0.20818564
novelty,P,word2vec_recipe_40_HYP_HALF,0.16276728,0.18271616,0.19592477,0.22742254,0.20969158,0.25023177
pirate,P,word2vec_recipe_40_HYP_HALF,0.2050339,0.22401328,0.23987022,0.24272744,0.25189573,0.25228232
gasoline,M,word2vec_recipe_40_HYP_HALF,0.12806213,0.12692562,0.1513912,0.15946186,0.16047375,0.1670408
fringe,P,word2vec_recipe_40_HYP_HALF,0.19329655,0.20979929,0.2336893,0.2527642,0.2520565,0.27156806
corral,P,word2vec_recipe_40_HYP_HALF,0.27702686,0.25802335,0.30952883,0.2513086,0.32214734,0.2592924
gopher,P,word2vec_recipe_40_HYP_HALF,0.1905118,0.19721706,0.21654761,0.22863643,0.22742611,0.24141306
substance,P,word2vec_recipe_40_HYP_HALF,0.29797673,0.30891716,0.35016268,0.33509752,0.3712184,0.3422918
flannel,P,word2vec_recipe_40_HYP_HALF,0.3465366,0.2444965,0.3874359,0.2616536,0.40256345,0.25936294
strap,P,word2vec_recipe_40_HYP_HALF,0.23413448,0.1893989,0.28289402,0.24472226,0.3042951,0.27171642
courtesy,P,word2vec_recipe_40_HYP_HALF,0.30513656,0.23798011,0.34452707,0.24439368,0.36032113,0.25466534
pitch,H,word2vec_recipe_40_HYP_HALF,0.3307324,0.31855,0.3852279,0.37053114,0.408153,0.3838205
countdown,P,word2vec_recipe_40_HYP_HALF,0.27734107,0.22931522,0.31276104,0.24586423,0.32487926,0.24983543
fiend,P,word2vec_recipe_40_HYP_HALF,0.1543096,0.1161908,0.1800648,0.13920295,0.19021648,0.15256281
generic,P,word2vec_recipe_40_HYP_HALF,0.24982405,0.22549477,0.2872646,0.23383531,0.3017732,0.23802851
marijuana,M,word2vec_recipe_40_HYP_HALF,0.24154659,0.26898038,0.2781676,0.3130466,0.2931264,0.32755947
pink,H,word2vec_recipe_40_HYP_HALF,0.37038797,0.4422428,0.4906786,0.51405454,0.52748036,0.52550983
perky,M,word2vec_recipe_40_HYP_HALF,0.2824019,0.2305531,0.31999692,0.26609498,0.33373633,0.27279866
society,P,word2vec_recipe_40_HYP_HALF,0.15145655,0.13860251,0.17792939,0.16401275,0.1902021,0.17758222
fearless,M,word2vec_recipe_40_HYP_HALF,0.18782435,0.16874635,0.21247153,0.19347559,0.22208193,0.19966803
lotion,P,word2vec_recipe_40_HYP_HALF,0.25902516,0.27060443,0.3075673,0.31207713,0.33174354,0.32427305
hoop,P,word2vec_recipe_40_HYP_HALF,0.26888433,0.24836409,0.30052722,0.27167994,0.31366473,0.28539434
cookie,P,word2vec_recipe_40_HYP_HALF,0.3105733,0.30226803,0.36946622,0.34967119,0.3947543,0.38794604
etiquette,M,word2vec_recipe_40_HYP_HALF,0.11499033,0.11752323,0.1332813,0.13837726,0.14171676,0.15307769
romantic,P,word2vec_recipe_40_HYP_HALF,0.20777872,0.2506355,0.24997479,0.2687949,0.26654306,0.27382728
square,P,word2vec_recipe_40_HYP_HALF,0.2645575,0.30334255,0.32171553,0.31577125,0.34720552,0.33495528
vibration,P,word2vec_recipe_40_HYP_HALF,0.13424388,0.15294224,0.15222062,0.185575,0.16040377,0.19087337
isolate,P,word2vec_recipe_40_HYP_HALF,0.17651126,0.089761674,0.19709414,0.06402927,0.20475964,0.052663587
spacious,P,word2vec_recipe_40_HYP_HALF,0.23600313,0.25122875,0.2752264,0.29821762,0.29068673,0.30350235
toilet,P,word2vec_recipe_40_HYP_HALF,0.19354005,0.23064323,0.24020809,0.28739703,0.26025283,0.3005793
southwest,P,word2vec_recipe_40_HYP_HALF,0.20670943,0.2712066,0.28985226,0.30257025,0.31473005,0.29891664
corpse,M,word2vec_recipe_40_HYP_HALF,0.15612936,0.15139654,0.18736997,0.18043858,0.1992919,0.18991625
publisher,P,word2vec_recipe_40_HYP_HALF,0.101155415,0.12123066,0.15362437,0.17714629,0.17477717,0.1998207
accompany,P,word2vec_recipe_40_HYP_HALF,0.28160384,0.39426178,0.37746605,0.47172397,0.41089752,0.47710982
wildlife,M,word2vec_recipe_40_HYP_HALF,0.15537821,0.15655713,0.18238458,0.19625981,0.1952588,0.2041312
louse,P,word2vec_recipe_40_HYP_HALF,0.13715552,0.14869669,0.15961932,0.16933252,0.16900267,0.18550572
household,P,word2vec_recipe_40_HYP_HALF,0.23579714,0.19211322,0.26461822,0.18773647,0.27585447,0.19141006
lend,P,word2vec_recipe_40_HYP_HALF,0.22547135,0.20696804,0.27994505,0.269412,0.3049068,0.28571787
despise,M,word2vec_recipe_40_HYP_HALF,0.07881464,0.08639442,0.096796885,0.11770416,0.10622175,0.13087717
attack,P,word2vec_recipe_40_HYP_HALF,0.28630614,0.25065193,0.32486674,0.2885141,0.33917642,0.3022786
cone,P,word2vec_recipe_40_HYP_HALF,0.28549254,0.29457647,0.33810982,0.32206538,0.35892406,0.33633325
rope,P,word2vec_recipe_40_HYP_HALF,0.23718302,0.29817808,0.325648,0.32505345,0.356063,0.32401738
agreement,P,word2vec_recipe_40_HYP_HALF,0.2702444,0.2405381,0.31350762,0.22398892,0.3287603,0.22944698
unable,M,word2vec_recipe_40_HYP_HALF,0.25928515,0.2535899,0.30285668,0.24093004,0.31867406,0.25284502
rainy,M,word2vec_recipe_40_HYP_HALF,0.28150386,0.2807821,0.34308746,0.31932878,0.3721611,0.32889476
gracious,P,word2vec_recipe_40_HYP_HALF,0.16811389,0.14871359,0.19150114,0.17261252,0.20257416,0.18322204
hind,H,word2vec_recipe_40_HYP_HALF,0.21759252,0.25053608,0.26945877,0.32324833,0.29375097,0.34604707
park,P,word2vec_recipe_40_HYP_HALF,0.2794112,0.24142008,0.31470647,0.24403562,0.32849616,0.25097454
detector,P,word2vec_recipe_40_HYP_HALF,0.17567511,0.1764959,0.20743436,0.1916195,0.21964024,0.19870403
armpit,M,word2vec_recipe_40_HYP_HALF,0.1708536,0.19237164,0.21537542,0.2406223,0.23300058,0.26071984
distance,P,word2vec_recipe_40_HYP_HALF,0.3780657,0.35411575,0.42209774,0.37462187,0.4374543,0.36971655
eager,M,word2vec_recipe_40_HYP_HALF,0.10567423,0.10779669,0.12527904,0.13368425,0.1357729,0.14336236
