word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_10_HYP,0.33581105,0.35368288,0.3872632,0.40887964,0.4077693,0.41450825
pirate,P,word2vec_tiny_10_HYP,0.32512626,0.44564286,0.43569365,0.5872944,0.48679417,0.6324035
gasoline,M,word2vec_tiny_10_HYP,0.30262187,0.40590328,0.35823545,0.4603562,0.38960335,0.49553403
gopher,P,word2vec_tiny_10_HYP,0.27523607,0.34412086,0.32055572,0.39671338,0.34142452,0.41423106
substance,P,word2vec_tiny_10_HYP,0.26459897,0.33566785,0.32928744,0.446592,0.36006746,0.48034257
strap,P,word2vec_tiny_10_HYP,0.3506854,0.4383876,0.44486266,0.56174463,0.48368278,0.6028606
pitch,H,word2vec_tiny_10_HYP,0.3517249,0.45813155,0.46930298,0.63851017,0.51629555,0.67791843
countdown,P,word2vec_tiny_10_HYP,0.22640064,0.26470488,0.3063715,0.3387923,0.34583282,0.39246535
pink,H,word2vec_tiny_10_HYP,0.30420727,0.40678537,0.44217733,0.57308507,0.49584168,0.6134965
perky,M,word2vec_tiny_10_HYP,0.33043152,0.36483476,0.3789335,0.42514005,0.39960778,0.44737032
fearless,M,word2vec_tiny_10_HYP,0.28418574,0.3786706,0.34498364,0.4392336,0.375234,0.46709013
lotion,P,word2vec_tiny_10_HYP,0.33840472,0.43640625,0.45634902,0.60966796,0.50001967,0.6554026
annoy,P,word2vec_tiny_10_HYP,0.32272086,0.38397294,0.37845215,0.4149225,0.4052053,0.44612062
hoop,P,word2vec_tiny_10_HYP,0.31526893,0.4389484,0.4382608,0.58981526,0.4858012,0.64025056
doorman,M,word2vec_tiny_10_HYP,0.23488441,0.21783483,0.2709874,0.25917068,0.28454536,0.27828392
cookie,P,word2vec_tiny_10_HYP,0.26912913,0.3334029,0.36546147,0.469056,0.41708672,0.5115
romantic,P,word2vec_tiny_10_HYP,0.23697424,0.21235363,0.27167225,0.23636018,0.28636914,0.2528393
