word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_20_HOM,0.31300896,0.35536912,0.3696653,0.39270744,0.39053917,0.40598112
pirate,P,word2vec_tiny_20_HOM,0.32264364,0.43138146,0.43496266,0.58853894,0.48787183,0.64254206
gasoline,M,word2vec_tiny_20_HOM,0.30541825,0.38045517,0.3647864,0.46204996,0.3940193,0.48771417
gopher,P,word2vec_tiny_20_HOM,0.30095893,0.3379228,0.3472612,0.39791933,0.36749563,0.41812384
substance,P,word2vec_tiny_20_HOM,0.2666401,0.33680108,0.33379674,0.44585982,0.3628292,0.48283482
strap,P,word2vec_tiny_20_HOM,0.35237616,0.430074,0.44520152,0.5655095,0.4831707,0.60424876
pitch,H,word2vec_tiny_20_HOM,0.35756475,0.4694035,0.4731402,0.64105886,0.5180687,0.67371875
countdown,P,word2vec_tiny_20_HOM,0.23239005,0.2719349,0.30842248,0.32657397,0.34467423,0.4037238
perky,M,word2vec_tiny_20_HOM,0.32393718,0.36164606,0.37565324,0.41869897,0.39662778,0.4429271
fearless,M,word2vec_tiny_20_HOM,0.28434843,0.3780561,0.3469141,0.43950695,0.37528932,0.46432656
lotion,P,word2vec_tiny_20_HOM,0.3387042,0.4367687,0.45027104,0.60812366,0.4923304,0.6486369
annoy,P,word2vec_tiny_20_HOM,0.31692538,0.35867763,0.37884545,0.4298793,0.40902787,0.45035446
hoop,P,word2vec_tiny_20_HOM,0.31703576,0.4367542,0.44347495,0.5896728,0.49178305,0.64271677
doorman,M,word2vec_tiny_20_HOM,0.23398574,0.23825756,0.26442492,0.26057065,0.2787082,0.27823207
cookie,P,word2vec_tiny_20_HOM,0.27170655,0.33582574,0.37631446,0.47598755,0.42709777,0.50943583
romantic,P,word2vec_tiny_20_HOM,0.21226434,0.21889208,0.24162878,0.23719834,0.25456595,0.24251612
square,P,word2vec_tiny_20_HOM,0.3371595,0.4720016,0.47305775,0.6391368,0.51789975,0.6750315
vibration,P,word2vec_tiny_20_HOM,0.25534067,0.29057893,0.32566538,0.39681372,0.35857925,0.44141304
spacious,P,word2vec_tiny_20_HOM,0.31923714,0.3944382,0.36921605,0.44986886,0.39027938,0.4647766
toilet,P,word2vec_tiny_20_HOM,0.34684235,0.47283047,0.46767423,0.61288077,0.5112104,0.6619719
accompany,P,word2vec_tiny_20_HOM,0.25904423,0.30331367,0.30661586,0.36512402,0.32576057,0.3851254
wildlife,M,word2vec_tiny_20_HOM,0.29508293,0.3918441,0.35998866,0.45961416,0.39082024,0.4979329
speech,P,word2vec_tiny_20_HOM,0.31565708,0.34817994,0.37518513,0.42128593,0.40199348,0.44859308
household,P,word2vec_tiny_20_HOM,0.22032003,0.2174456,0.25798303,0.26287305,0.27458382,0.2726141
lend,P,word2vec_tiny_20_HOM,0.37914437,0.4999456,0.5169801,0.6524735,0.5704639,0.676434
attack,P,word2vec_tiny_20_HOM,0.3550318,0.39413032,0.44269818,0.48844755,0.477611,0.52824575
cone,P,word2vec_tiny_20_HOM,0.30046615,0.37930948,0.44632676,0.5478075,0.49725997,0.6038763
rope,P,word2vec_tiny_20_HOM,0.28801605,0.41942587,0.42661914,0.58694905,0.47866875,0.64127773
agreement,P,word2vec_tiny_20_HOM,0.37824798,0.42811325,0.44960046,0.46374673,0.4744248,0.46943027
unable,M,word2vec_tiny_20_HOM,0.32969356,0.3855854,0.41616315,0.47430006,0.44961387,0.48201266
rainy,M,word2vec_tiny_20_HOM,0.33441633,0.45049155,0.4986294,0.638384,0.55672354,0.69053274
gracious,P,word2vec_tiny_20_HOM,0.23087084,0.24445969,0.2722819,0.31279472,0.29220358,0.33702862
hind,H,word2vec_tiny_20_HOM,0.37445325,0.4699741,0.45413274,0.54948854,0.4846606,0.5612019
park,P,word2vec_tiny_20_HOM,0.38678843,0.5293484,0.51637805,0.6513737,0.5648574,0.6967733
detector,P,word2vec_tiny_20_HOM,0.2963454,0.3497312,0.36088097,0.444018,0.39100072,0.48516884
distance,P,word2vec_tiny_20_HOM,0.3778723,0.45330554,0.4381248,0.48024097,0.46476114,0.50513726
eager,M,word2vec_tiny_20_HOM,0.38854295,0.522405,0.5343384,0.6559277,0.58129007,0.6696035
drum,P,word2vec_tiny_20_HOM,0.23796196,0.32513356,0.3944859,0.52951944,0.45723385,0.593304
accident,P,word2vec_tiny_20_HOM,0.4737687,0.57604635,0.56109256,0.653056,0.5909253,0.6212743
moon,P,word2vec_tiny_20_HOM,0.29438296,0.40350658,0.42992038,0.56919616,0.48399583,0.60947216
restless,P,word2vec_tiny_20_HOM,0.304131,0.40599784,0.4515885,0.56356376,0.528156,0.6631214
reality,P,word2vec_tiny_20_HOM,0.29962236,0.31237823,0.36605376,0.38202825,0.39259377,0.4168044
equal,P,word2vec_tiny_20_HOM,0.34521475,0.40677017,0.43298355,0.50307184,0.46068332,0.51921237
buoy,P,word2vec_tiny_20_HOM,0.30579033,0.33570594,0.37042648,0.4230577,0.39844146,0.45907363
regain,P,word2vec_tiny_20_HOM,0.25013825,0.25441134,0.29460967,0.3199211,0.3152187,0.34173232
pudding,P,word2vec_tiny_20_HOM,0.22339681,0.27969068,0.27522472,0.33766276,0.30526704,0.3812122
wing,P,word2vec_tiny_20_HOM,0.38843748,0.51623684,0.49406937,0.62526065,0.5398679,0.659061
greedy,P,word2vec_tiny_20_HOM,0.33458585,0.399445,0.47474653,0.56118083,0.51711124,0.57638127
hoof,P,word2vec_tiny_20_HOM,0.38561195,0.45349938,0.46248326,0.5374066,0.4940051,0.5636369
poorly,P,word2vec_tiny_20_HOM,0.32159692,0.37204975,0.38983196,0.43981007,0.41471368,0.4534259
mink,P,word2vec_tiny_20_HOM,0.2825969,0.3291221,0.3240465,0.35872355,0.33950207,0.38258842
plumber,P,word2vec_tiny_20_HOM,0.35515404,0.40537697,0.45037404,0.49825975,0.48090348,0.5348978
toaster,H,word2vec_tiny_20_HOM,0.34871754,0.43671426,0.44646317,0.5526203,0.48341966,0.5752172
disposal,P,word2vec_tiny_20_HOM,0.15888347,0.18556234,0.1852101,0.20595682,0.19635677,0.22124377
pounce,P,word2vec_tiny_20_HOM,0.43246037,0.47173837,0.5099331,0.5447701,0.5374209,0.5644909
pleasant,P,word2vec_tiny_20_HOM,0.3302373,0.35083354,0.39715824,0.4538955,0.4219468,0.4753236
janitor,M,word2vec_tiny_20_HOM,0.3158906,0.3395305,0.38815755,0.43678144,0.41345164,0.45847774
selfish,P,word2vec_tiny_20_HOM,0.3185017,0.43976948,0.46245947,0.62633127,0.5179854,0.6543317
cloak,P,word2vec_tiny_20_HOM,0.34077948,0.44437802,0.4349687,0.5358051,0.47001743,0.5772575
honor,P,word2vec_tiny_20_HOM,0.26686078,0.32261813,0.3294112,0.40535778,0.3592984,0.43522304
continue,P,word2vec_tiny_20_HOM,0.44187537,0.48378783,0.49467155,0.47258964,0.5119194,0.4831094
fright,P,word2vec_tiny_20_HOM,0.23970112,0.2614224,0.31083372,0.37344715,0.34056914,0.40811202
panic,P,word2vec_tiny_20_HOM,0.3834998,0.4924711,0.5228727,0.6616237,0.5718716,0.6864081
joker,P,word2vec_tiny_20_HOM,0.3346386,0.43234047,0.4052635,0.5162914,0.4336427,0.53488266
bug,P,word2vec_tiny_20_HOM,0.27619484,0.3368458,0.41584957,0.55423534,0.47788528,0.6152291
