word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_30_HYP_HALF,0.30516118,0.3370627,0.3615522,0.37558234,0.38183728,0.39200968
pirate,P,word2vec_tiny_30_HYP_HALF,0.31685296,0.43189782,0.43143857,0.5814942,0.4826909,0.6289391
gasoline,M,word2vec_tiny_30_HYP_HALF,0.29440075,0.39015168,0.35272253,0.462945,0.3833273,0.4973269
gopher,P,word2vec_tiny_30_HYP_HALF,0.28369775,0.33622757,0.3325048,0.3905719,0.35291028,0.41481727
substance,P,word2vec_tiny_30_HYP_HALF,0.27239648,0.35447258,0.3367902,0.45049116,0.36558807,0.48675707
strap,P,word2vec_tiny_30_HYP_HALF,0.34166428,0.43124774,0.43488348,0.56122315,0.4739502,0.60230637
pitch,H,word2vec_tiny_30_HYP_HALF,0.35402194,0.4518756,0.4675698,0.63343686,0.51337844,0.6724018
countdown,P,word2vec_tiny_30_HYP_HALF,0.23833016,0.32567787,0.31967583,0.3624438,0.35461175,0.42126778
pink,H,word2vec_tiny_30_HYP_HALF,0.2842943,0.39591873,0.44337288,0.5878543,0.49992248,0.626025
perky,M,word2vec_tiny_30_HYP_HALF,0.3174972,0.3707405,0.36279237,0.41762027,0.383552,0.4367942
fearless,M,word2vec_tiny_30_HYP_HALF,0.28254718,0.38166913,0.3514133,0.43142134,0.380138,0.46027026
lotion,P,word2vec_tiny_30_HYP_HALF,0.32692263,0.42731398,0.4466786,0.5994867,0.4925126,0.6510428
annoy,P,word2vec_tiny_30_HYP_HALF,0.3142786,0.392125,0.38089266,0.43026993,0.41054997,0.44520497
hoop,P,word2vec_tiny_30_HYP_HALF,0.31388038,0.43762863,0.43747613,0.5840386,0.48394397,0.6337091
doorman,M,word2vec_tiny_30_HYP_HALF,0.23749408,0.23940508,0.27478167,0.2704707,0.29003072,0.2858434
cookie,P,word2vec_tiny_30_HYP_HALF,0.2720119,0.3359205,0.37259752,0.46801865,0.42252114,0.5147543
romantic,P,word2vec_tiny_30_HYP_HALF,0.20293632,0.19321716,0.24033704,0.22487383,0.25564387,0.24387896
square,P,word2vec_tiny_30_HYP_HALF,0.33364344,0.4630115,0.4672018,0.6286205,0.5136589,0.6727382
vibration,P,word2vec_tiny_30_HYP_HALF,0.23867068,0.2921291,0.3058626,0.37901574,0.3374804,0.41959527
spacious,P,word2vec_tiny_30_HYP_HALF,0.31062418,0.39687732,0.36718795,0.44124013,0.39102858,0.46174803
toilet,P,word2vec_tiny_30_HYP_HALF,0.3435025,0.468229,0.4630726,0.6058114,0.5085091,0.6575821
accompany,P,word2vec_tiny_30_HYP_HALF,0.25573325,0.3214583,0.29764512,0.36252734,0.31444535,0.37663087
wildlife,M,word2vec_tiny_30_HYP_HALF,0.28758073,0.36190215,0.3503407,0.44756994,0.38140103,0.48248866
speech,P,word2vec_tiny_30_HYP_HALF,0.3248557,0.369281,0.38430783,0.4122525,0.40904832,0.44286093
household,P,word2vec_tiny_30_HYP_HALF,0.22100067,0.23263824,0.2631252,0.266161,0.282732,0.2835263
lend,P,word2vec_tiny_30_HYP_HALF,0.36721525,0.48576137,0.5155376,0.65864843,0.57181007,0.68033826
attack,P,word2vec_tiny_30_HYP_HALF,0.35661358,0.37902823,0.4448512,0.4943101,0.47816417,0.52227527
cone,P,word2vec_tiny_30_HYP_HALF,0.3051346,0.37705868,0.4469531,0.54635966,0.4971376,0.6064002
rope,P,word2vec_tiny_30_HYP_HALF,0.29524437,0.42973506,0.4255423,0.5867952,0.47494516,0.63405156
agreement,P,word2vec_tiny_30_HYP_HALF,0.38215637,0.42349622,0.45409763,0.4707927,0.4784696,0.46608818
unable,M,word2vec_tiny_30_HYP_HALF,0.33374536,0.4001053,0.41848716,0.4767346,0.45236605,0.48809722
rainy,M,word2vec_tiny_30_HYP_HALF,0.33486268,0.45186287,0.49718007,0.63738203,0.55507284,0.68363935
gracious,P,word2vec_tiny_30_HYP_HALF,0.21724162,0.23975536,0.25970584,0.30950657,0.28047565,0.33189875
hind,H,word2vec_tiny_30_HYP_HALF,0.3790138,0.47951943,0.46038216,0.5620567,0.49194726,0.5811593
park,P,word2vec_tiny_30_HYP_HALF,0.39025587,0.5304827,0.51980215,0.6536552,0.5685373,0.68785644
detector,P,word2vec_tiny_30_HYP_HALF,0.30098075,0.36991498,0.36606893,0.44379273,0.39669025,0.47871274
distance,P,word2vec_tiny_30_HYP_HALF,0.3767261,0.4519865,0.43621346,0.4750454,0.46120682,0.4921517
eager,M,word2vec_tiny_30_HYP_HALF,0.3924634,0.52273536,0.53998005,0.662432,0.58499384,0.66704446
drum,P,word2vec_tiny_30_HYP_HALF,0.2096087,0.28715268,0.38218862,0.5125232,0.44871464,0.5790304
accident,P,word2vec_tiny_30_HYP_HALF,0.47379047,0.55653226,0.56384283,0.6531852,0.5949395,0.63543636
moon,P,word2vec_tiny_30_HYP_HALF,0.2922533,0.40587762,0.42468297,0.5652658,0.48020795,0.6072747
restless,P,word2vec_tiny_30_HYP_HALF,0.30257338,0.40384597,0.45455152,0.5710174,0.52735794,0.6589018
