word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_40_HOM_HALF,0.32098266,0.33685875,0.3732664,0.38354543,0.3931454,0.39818978
pirate,P,word2vec_tiny_40_HOM_HALF,0.31448224,0.4300885,0.4290198,0.5828535,0.4807881,0.6245835
gasoline,M,word2vec_tiny_40_HOM_HALF,0.30542412,0.3867851,0.36688766,0.46381465,0.39714026,0.49404764
gopher,P,word2vec_tiny_40_HOM_HALF,0.28726926,0.35160118,0.3342131,0.39934525,0.3529371,0.4183066
substance,P,word2vec_tiny_40_HOM_HALF,0.2615571,0.32515827,0.3268866,0.44242397,0.3585009,0.48297197
strap,P,word2vec_tiny_40_HOM_HALF,0.3331062,0.43062425,0.43046024,0.5563853,0.47007972,0.60286754
pitch,H,word2vec_tiny_40_HOM_HALF,0.3533123,0.45760623,0.465975,0.6350044,0.51147056,0.67398626
countdown,P,word2vec_tiny_40_HOM_HALF,0.23010986,0.24280208,0.29933026,0.32042748,0.33404624,0.37639806
pink,H,word2vec_tiny_40_HOM_HALF,0.28339505,0.3755928,0.4385151,0.57138693,0.49579108,0.61509025
perky,M,word2vec_tiny_40_HOM_HALF,0.33129877,0.37756267,0.3784127,0.43481928,0.39689156,0.45452148
fearless,M,word2vec_tiny_40_HOM_HALF,0.2831773,0.38663772,0.3516389,0.44612882,0.38057655,0.4638451
lotion,P,word2vec_tiny_40_HOM_HALF,0.33589715,0.4431637,0.45465472,0.60620236,0.4958348,0.6446501
annoy,P,word2vec_tiny_40_HOM_HALF,0.31860927,0.36471573,0.3794069,0.43923107,0.4082678,0.45595694
hoop,P,word2vec_tiny_40_HOM_HALF,0.3097648,0.43502858,0.43592355,0.58465594,0.483096,0.6380378
doorman,M,word2vec_tiny_40_HOM_HALF,0.2285362,0.23884362,0.2629436,0.27447826,0.27638486,0.28972363
cookie,P,word2vec_tiny_40_HOM_HALF,0.26067778,0.33456174,0.3633849,0.46329457,0.41504967,0.50527376
romantic,P,word2vec_tiny_40_HOM_HALF,0.21373053,0.20355894,0.24966621,0.2348252,0.2653739,0.24490349
square,P,word2vec_tiny_40_HOM_HALF,0.33379087,0.4757079,0.46820706,0.628881,0.512701,0.66854316
vibration,P,word2vec_tiny_40_HOM_HALF,0.24230802,0.2980931,0.31186116,0.39498672,0.3452033,0.4395671
spacious,P,word2vec_tiny_40_HOM_HALF,0.2921355,0.37684047,0.34073082,0.42573828,0.36196795,0.45184955
toilet,P,word2vec_tiny_40_HOM_HALF,0.34303802,0.47138882,0.46190864,0.60743386,0.5061261,0.65200955
accompany,P,word2vec_tiny_40_HOM_HALF,0.2583842,0.3070696,0.29835406,0.35630572,0.31292203,0.3704232
wildlife,M,word2vec_tiny_40_HOM_HALF,0.29025215,0.37543157,0.3515462,0.47071612,0.38261178,0.4940292
speech,P,word2vec_tiny_40_HOM_HALF,0.30024546,0.3252803,0.35543346,0.41674605,0.3803331,0.43993443
household,P,word2vec_tiny_40_HOM_HALF,0.2204473,0.21215262,0.2723427,0.27631363,0.29197946,0.2930271
lend,P,word2vec_tiny_40_HOM_HALF,0.38334462,0.4990403,0.5234766,0.6596517,0.5777571,0.6888979
attack,P,word2vec_tiny_40_HOM_HALF,0.34102303,0.37888405,0.4320562,0.468386,0.4681444,0.5153953
cone,P,word2vec_tiny_40_HOM_HALF,0.30230713,0.37895295,0.44196022,0.5444549,0.4930082,0.59334785
rope,P,word2vec_tiny_40_HOM_HALF,0.291215,0.42150864,0.426043,0.585938,0.4780855,0.63872135
agreement,P,word2vec_tiny_40_HOM_HALF,0.3726382,0.40916955,0.44528988,0.4607368,0.47228524,0.46415567
unable,M,word2vec_tiny_40_HOM_HALF,0.33061084,0.3936145,0.413225,0.47309694,0.44575256,0.47668925
rainy,M,word2vec_tiny_40_HOM_HALF,0.32598123,0.4501608,0.4916669,0.6345249,0.54911757,0.6777505
gracious,P,word2vec_tiny_40_HOM_HALF,0.21470705,0.2456381,0.2586374,0.30065137,0.2772142,0.3110442
hind,H,word2vec_tiny_40_HOM_HALF,0.37823185,0.49342865,0.45053405,0.5383702,0.48044646,0.5616806
park,P,word2vec_tiny_40_HOM_HALF,0.38697067,0.52864605,0.51602536,0.65063876,0.56648207,0.699604
detector,P,word2vec_tiny_40_HOM_HALF,0.29596636,0.37051612,0.36225823,0.4481726,0.39075893,0.4821554
distance,P,word2vec_tiny_40_HOM_HALF,0.37683815,0.4391697,0.4412741,0.48462373,0.4670751,0.5131048
eager,M,word2vec_tiny_40_HOM_HALF,0.39110786,0.52224696,0.5381718,0.6527117,0.5801602,0.6448355
drum,P,word2vec_tiny_40_HOM_HALF,0.24319462,0.334128,0.39895117,0.53974223,0.46056008,0.5967951
accident,P,word2vec_tiny_40_HOM_HALF,0.47247028,0.56488997,0.5597805,0.6324997,0.58680564,0.602116
moon,P,word2vec_tiny_40_HOM_HALF,0.29609948,0.4039179,0.43246293,0.57456523,0.48646867,0.61580604
restless,P,word2vec_tiny_40_HOM_HALF,0.29947966,0.41033813,0.44697702,0.56537473,0.5221999,0.6597437
reality,P,word2vec_tiny_40_HOM_HALF,0.3056956,0.35066086,0.36444905,0.39585218,0.3920671,0.42107227
equal,P,word2vec_tiny_40_HOM_HALF,0.3458488,0.4151159,0.43613976,0.5092662,0.4642969,0.5293363
buoy,P,word2vec_tiny_40_HOM_HALF,0.28306085,0.2927384,0.35134116,0.428863,0.37772238,0.45855513
regain,P,word2vec_tiny_40_HOM_HALF,0.24463692,0.29043826,0.28838748,0.31182742,0.30689308,0.32583874
