word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_base,0.21529202,0.27181253,0.26304853,0.33776876,0.28449246,0.3572497
aristocrat,P,word2vec_recipe_base,0.14780048,0.19420937,0.17529038,0.20920825,0.18569529,0.21759504
novelty,P,word2vec_recipe_base,0.16825384,0.18167488,0.20178014,0.23400053,0.21708216,0.25030693
pirate,P,word2vec_recipe_base,0.20176768,0.21140938,0.23448078,0.2520224,0.24794887,0.25938946
gasoline,M,word2vec_recipe_base,0.123940215,0.12161503,0.14816885,0.14969441,0.1567317,0.1591597
fringe,P,word2vec_recipe_base,0.17927405,0.20654789,0.22055353,0.24927405,0.2380941,0.2688834
corral,P,word2vec_recipe_base,0.326894,0.26064664,0.36361036,0.2693847,0.37697518,0.28408018
gopher,P,word2vec_recipe_base,0.20668833,0.20940807,0.23323064,0.23617469,0.24430397,0.24591462
substance,P,word2vec_recipe_base,0.31042224,0.32623664,0.36125997,0.35038403,0.38193077,0.35460973
flannel,P,word2vec_recipe_base,0.3531893,0.23383099,0.39069626,0.2356435,0.40602142,0.25385597
strap,P,word2vec_recipe_base,0.2412589,0.19782543,0.29191473,0.2505843,0.3140382,0.28241345
courtesy,P,word2vec_recipe_base,0.2984794,0.23996007,0.3463432,0.25255108,0.3645876,0.25443834
pitch,H,word2vec_recipe_base,0.34289023,0.31910607,0.39221802,0.3670545,0.41045424,0.37259117
countdown,P,word2vec_recipe_base,0.25422126,0.23818569,0.28444472,0.2373438,0.29567772,0.24003027
fiend,P,word2vec_recipe_base,0.14017987,0.11300115,0.16301869,0.14119035,0.17254609,0.14953738
generic,P,word2vec_recipe_base,0.23292427,0.22454023,0.26440942,0.22253394,0.2782039,0.23124374
marijuana,M,word2vec_recipe_base,0.26450512,0.29765648,0.2959818,0.32450193,0.30928546,0.33400092
pink,H,word2vec_recipe_base,0.3601176,0.4165555,0.4862246,0.5133023,0.5271495,0.52778536
perky,M,word2vec_recipe_base,0.29327336,0.2637434,0.3312009,0.26864854,0.34618798,0.2767783
society,P,word2vec_recipe_base,0.15980537,0.15143628,0.18319812,0.164238,0.1942133,0.17500359
fearless,M,word2vec_recipe_base,0.18635476,0.17219307,0.20945032,0.16736093,0.2183947,0.17659013
lotion,P,word2vec_recipe_base,0.25184506,0.25249913,0.3099003,0.3032831,0.33713555,0.32916394
hoop,P,word2vec_recipe_base,0.31422624,0.2475565,0.34964332,0.28383622,0.36317384,0.3025165
