word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_base,0.32501763,0.3526047,0.3842263,0.39711922,0.40729445,0.4018572
pirate,P,word2vec_tiny_base,0.31892806,0.43320453,0.429649,0.584059,0.48320854,0.63470656
gasoline,M,word2vec_tiny_base,0.3096471,0.41251838,0.37133163,0.47356236,0.4030014,0.4989586
gopher,P,word2vec_tiny_base,0.3042088,0.33923173,0.3557697,0.3899586,0.37558436,0.41586664
substance,P,word2vec_tiny_base,0.26579306,0.34071586,0.33146748,0.4381716,0.3601946,0.4743601
strap,P,word2vec_tiny_base,0.33453217,0.4260366,0.42943427,0.55096066,0.47043538,0.6034115
pitch,H,word2vec_tiny_base,0.3544362,0.46355182,0.4658302,0.6335422,0.511398,0.67191267
countdown,P,word2vec_tiny_base,0.22402684,0.27313215,0.29339296,0.27489248,0.32863083,0.3490408
pink,H,word2vec_tiny_base,0.3054089,0.4186542,0.4447011,0.57180524,0.49565262,0.6139881
perky,M,word2vec_tiny_base,0.32134172,0.35386735,0.36752835,0.41071972,0.3841797,0.43005148
fearless,M,word2vec_tiny_base,0.27849096,0.39448845,0.3416525,0.43906313,0.37130833,0.45774776
lotion,P,word2vec_tiny_base,0.34669143,0.42848,0.45754755,0.6082935,0.4996514,0.6515423
annoy,P,word2vec_tiny_base,0.30750966,0.38261545,0.3730255,0.42863178,0.40143242,0.45902622
hoop,P,word2vec_tiny_base,0.31779355,0.43791363,0.44412652,0.5908272,0.49111235,0.64265144
doorman,M,word2vec_tiny_base,0.24844089,0.2349588,0.2861203,0.26576218,0.30062592,0.27656463
cookie,P,word2vec_tiny_base,0.2662623,0.34660226,0.36860123,0.47197667,0.41723213,0.5074187
romantic,P,word2vec_tiny_base,0.21516943,0.20354527,0.24715328,0.22429411,0.26165515,0.24400023
square,P,word2vec_tiny_base,0.34271058,0.47281143,0.47708446,0.635708,0.5195827,0.6605882
vibration,P,word2vec_tiny_base,0.24022095,0.3077878,0.31253082,0.3999983,0.34612533,0.44378158
spacious,P,word2vec_tiny_base,0.3135271,0.38419998,0.3684924,0.43913072,0.38995564,0.46080685
toilet,P,word2vec_tiny_base,0.3429018,0.47645926,0.4653041,0.6179523,0.5091104,0.6574185
accompany,P,word2vec_tiny_base,0.27774668,0.2766043,0.3204976,0.35340878,0.33682883,0.36034533
wildlife,M,word2vec_tiny_base,0.30419087,0.38559392,0.3636776,0.46151245,0.39417908,0.50365466
speech,P,word2vec_tiny_base,0.32587874,0.34985116,0.386742,0.4285915,0.41153488,0.45323208
household,P,word2vec_tiny_base,0.23728344,0.2292856,0.27833766,0.28163868,0.29573184,0.30097738
lend,P,word2vec_tiny_base,0.3877446,0.49947035,0.5220328,0.6560857,0.57610345,0.6973502
attack,P,word2vec_tiny_base,0.3481028,0.39614433,0.43543202,0.46106884,0.4702272,0.5045288
cone,P,word2vec_tiny_base,0.29941756,0.3761322,0.44538462,0.5525216,0.49621552,0.6034944
rope,P,word2vec_tiny_base,0.29267183,0.42654014,0.42713317,0.5896703,0.47800308,0.64095527
agreement,P,word2vec_tiny_base,0.38391525,0.4250614,0.45246816,0.4613483,0.47677553,0.46122012
unable,M,word2vec_tiny_base,0.32180852,0.3842887,0.40823182,0.4607395,0.44243672,0.47990614
rainy,M,word2vec_tiny_base,0.33604944,0.45951203,0.50179964,0.6379413,0.5599743,0.6926194
gracious,P,word2vec_tiny_base,0.22164646,0.24408394,0.26945168,0.31408507,0.2888591,0.33833498
hind,H,word2vec_tiny_base,0.3802542,0.48489097,0.45456088,0.5559861,0.48483354,0.5627264
park,P,word2vec_tiny_base,0.38990495,0.53453356,0.5170944,0.6510694,0.5675962,0.69867754
detector,P,word2vec_tiny_base,0.2722117,0.34702224,0.34213817,0.43383712,0.3715824,0.4707482
distance,P,word2vec_tiny_base,0.38017917,0.47162488,0.44222108,0.48965123,0.46882477,0.5035869
eager,M,word2vec_tiny_base,0.3965668,0.5358285,0.5385814,0.6505544,0.5810449,0.6490745
drum,P,word2vec_tiny_base,0.24076962,0.32860982,0.39851445,0.54035956,0.46056166,0.6061068
accident,P,word2vec_tiny_base,0.47857696,0.5636474,0.5669405,0.63946486,0.59408134,0.60934705
moon,P,word2vec_tiny_base,0.2959386,0.4023255,0.4323474,0.5701051,0.48852903,0.6163868
restless,P,word2vec_tiny_base,0.29880053,0.40499678,0.45037633,0.56648755,0.5274577,0.6603206
reality,P,word2vec_tiny_base,0.30455846,0.319424,0.37168732,0.398451,0.39743182,0.4235472
equal,P,word2vec_tiny_base,0.34101143,0.40846065,0.4244947,0.48997232,0.4526148,0.5123037
buoy,P,word2vec_tiny_base,0.28797024,0.3253411,0.34454834,0.41608247,0.37124467,0.44707012
regain,P,word2vec_tiny_base,0.24813683,0.25536418,0.2939892,0.30992383,0.3144706,0.33392286
pudding,P,word2vec_tiny_base,0.21441917,0.26247558,0.26658043,0.32285455,0.29717842,0.36937106
wing,P,word2vec_tiny_base,0.38993114,0.5187707,0.49678117,0.6223213,0.54040915,0.651149
greedy,P,word2vec_tiny_base,0.3311321,0.4086535,0.47063974,0.5572742,0.51344126,0.5788762
hoof,P,word2vec_tiny_base,0.3638364,0.4284266,0.4500024,0.51676726,0.48360747,0.546519
poorly,P,word2vec_tiny_base,0.31649527,0.3667987,0.38346753,0.4294796,0.40918952,0.44546056
mink,P,word2vec_tiny_base,0.29447424,0.3328096,0.33323234,0.37019774,0.34932494,0.38204277
plumber,P,word2vec_tiny_base,0.370046,0.43062294,0.46086964,0.5047675,0.49126732,0.52553535
toaster,H,word2vec_tiny_base,0.34655386,0.44671926,0.4482147,0.53833914,0.4859951,0.5646654
disposal,P,word2vec_tiny_base,0.17668256,0.20058095,0.20743427,0.226403,0.21960753,0.23953801
pounce,P,word2vec_tiny_base,0.44331473,0.48955306,0.51417005,0.526682,0.5390025,0.54996127
pleasant,P,word2vec_tiny_base,0.3243119,0.3575814,0.39794156,0.44936183,0.42348537,0.47010782
janitor,M,word2vec_tiny_base,0.3269933,0.38145515,0.38215327,0.43000674,0.40445462,0.44354716
selfish,P,word2vec_tiny_base,0.3174576,0.42715594,0.4626392,0.62819415,0.51769364,0.64624846
cloak,P,word2vec_tiny_base,0.3397512,0.4314195,0.4318762,0.5479111,0.4663741,0.57418543
honor,P,word2vec_tiny_base,0.26993477,0.3360872,0.33712178,0.40315285,0.36578298,0.44184428
continue,P,word2vec_tiny_base,0.44007596,0.48624513,0.49812293,0.484966,0.5158642,0.48274726
