word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_10_HOM,0.25340706
aristocrat,P,word2vec_recipe_10_HOM,0.18020065
novelty,P,word2vec_recipe_10_HOM,0.17966087
pirate,P,word2vec_recipe_10_HOM,0.24165276
gasoline,M,word2vec_recipe_10_HOM,0.17014456
fringe,P,word2vec_recipe_10_HOM,0.22995424
corral,P,word2vec_recipe_10_HOM,0.30524987
gopher,P,word2vec_recipe_10_HOM,0.23799561
substance,P,word2vec_recipe_10_HOM,0.35798287
flannel,P,word2vec_recipe_10_HOM,0.40696394
strap,P,word2vec_recipe_10_HOM,0.28324497
courtesy,P,word2vec_recipe_10_HOM,0.35008556
pitch,H,word2vec_recipe_10_HOM,0.3986642
countdown,P,word2vec_recipe_10_HOM,0.3049898
fiend,P,word2vec_recipe_10_HOM,0.19531742
generic,P,word2vec_recipe_10_HOM,0.28554353
marijuana,M,word2vec_recipe_10_HOM,0.28435144
pink,H,word2vec_recipe_10_HOM,0.4882313
perky,M,word2vec_recipe_10_HOM,0.33474046
society,P,word2vec_recipe_10_HOM,0.18761215
fearless,M,word2vec_recipe_10_HOM,0.19186005
lotion,P,word2vec_recipe_10_HOM,0.317914
hoop,P,word2vec_recipe_10_HOM,0.33263156
cookie,P,word2vec_recipe_10_HOM,0.37668505
etiquette,M,word2vec_recipe_10_HOM,0.1261806
romantic,P,word2vec_recipe_10_HOM,0.26888576
square,P,word2vec_recipe_10_HOM,0.33629128
vibration,P,word2vec_recipe_10_HOM,0.14435875
isolate,P,word2vec_recipe_10_HOM,0.25240034
spacious,P,word2vec_recipe_10_HOM,0.29417422
toilet,P,word2vec_recipe_10_HOM,0.24478363
southwest,P,word2vec_recipe_10_HOM,0.29176596
corpse,M,word2vec_recipe_10_HOM,0.1794855
publisher,P,word2vec_recipe_10_HOM,0.16601874
accompany,P,word2vec_recipe_10_HOM,0.3878909
wildlife,M,word2vec_recipe_10_HOM,0.16421841
louse,P,word2vec_recipe_10_HOM,0.1642721
household,P,word2vec_recipe_10_HOM,0.26743668
lend,P,word2vec_recipe_10_HOM,0.2872612
despise,M,word2vec_recipe_10_HOM,0.08471499
attack,P,word2vec_recipe_10_HOM,0.32784066
cone,P,word2vec_recipe_10_HOM,0.3240632
rope,P,word2vec_recipe_10_HOM,0.33728972
agreement,P,word2vec_recipe_10_HOM,0.34347916
unable,M,word2vec_recipe_10_HOM,0.29438928
rainy,M,word2vec_recipe_10_HOM,0.3580051
gracious,P,word2vec_recipe_10_HOM,0.17936616
hind,H,word2vec_recipe_10_HOM,0.2573345
park,P,word2vec_recipe_10_HOM,0.31375957
detector,P,word2vec_recipe_10_HOM,0.19780941
armpit,M,word2vec_recipe_10_HOM,0.20925434
distance,P,word2vec_recipe_10_HOM,0.41922474
eager,M,word2vec_recipe_10_HOM,0.11640076
drum,P,word2vec_recipe_10_HOM,0.40386993
accident,P,word2vec_recipe_10_HOM,0.20221283
moon,P,word2vec_recipe_10_HOM,0.42093164
pansy,P,word2vec_recipe_10_HOM,0.31645074
reality,P,word2vec_recipe_10_HOM,0.12037106
equal,P,word2vec_recipe_10_HOM,0.42088205
regain,P,word2vec_recipe_10_HOM,0.2702326
dominion,P,word2vec_recipe_10_HOM,0.1667309
pudding,P,word2vec_recipe_10_HOM,0.4076986
wing,P,word2vec_recipe_10_HOM,0.3967469
greedy,P,word2vec_recipe_10_HOM,0.15462333
hoof,P,word2vec_recipe_10_HOM,0.2033177
poorly,P,word2vec_recipe_10_HOM,0.1525469
mink,P,word2vec_recipe_10_HOM,0.23106891
plumber,P,word2vec_recipe_10_HOM,0.13371262
toaster,H,word2vec_recipe_10_HOM,0.45760274
disposal,P,word2vec_recipe_10_HOM,0.28726688
pleasant,P,word2vec_recipe_10_HOM,0.29087916
airtight,P,word2vec_recipe_10_HOM,0.40258121
cancer,P,word2vec_recipe_10_HOM,0.21386753
critical,P,word2vec_recipe_10_HOM,0.30666927
cloak,P,word2vec_recipe_10_HOM,0.23233236
honor,P,word2vec_recipe_10_HOM,0.22814707
continue,P,word2vec_recipe_10_HOM,0.46503255
placement,P,word2vec_recipe_10_HOM,0.33040962
panic,P,word2vec_recipe_10_HOM,0.3059725
rotation,P,word2vec_recipe_10_HOM,0.32793736
bug,P,word2vec_recipe_10_HOM,0.32550538
plaster,P,word2vec_recipe_10_HOM,0.31822494
territory,P,word2vec_recipe_10_HOM,0.17215212
infection,P,word2vec_recipe_10_HOM,0.14775583
heater,P,word2vec_recipe_10_HOM,0.33927336
tailor,P,word2vec_recipe_10_HOM,0.17110819
folder,P,word2vec_recipe_10_HOM,0.2806887
various,P,word2vec_recipe_10_HOM,0.38300973
assure,P,word2vec_recipe_10_HOM,0.4327948
green,P,word2vec_recipe_10_HOM,0.3514934
sweaty,P,word2vec_recipe_10_HOM,0.29058984
bogus,M,word2vec_recipe_10_HOM,0.13468513
drip,P,word2vec_recipe_10_HOM,0.4811899
horseback,P,word2vec_recipe_10_HOM,0.3497622
angle,H,word2vec_recipe_10_HOM,0.3834493
burp,P,word2vec_recipe_10_HOM,0.35570115
premature,M,word2vec_recipe_10_HOM,0.22275382
emphasize,P,word2vec_recipe_10_HOM,0.18658446
crook,P,word2vec_recipe_10_HOM,0.36668622
cardiac,P,word2vec_recipe_10_HOM,0.16574317
newborn,P,word2vec_recipe_10_HOM,0.14839523
grenade,P,word2vec_recipe_10_HOM,0.18040615
frisky,M,word2vec_recipe_10_HOM,0.20726222
goose,P,word2vec_recipe_10_HOM,0.34388226
anger,P,word2vec_recipe_10_HOM,0.12898163
burner,P,word2vec_recipe_10_HOM,0.39230692
mediocre,M,word2vec_recipe_10_HOM,0.106330596
lousy,P,word2vec_recipe_10_HOM,0.11341827
tack,P,word2vec_recipe_10_HOM,0.39241588
mercy,P,word2vec_recipe_10_HOM,0.1619593
insane,P,word2vec_recipe_10_HOM,0.33164138
vacant,P,word2vec_recipe_10_HOM,0.26019776
shrimp,P,word2vec_recipe_10_HOM,0.36208534
ski,P,word2vec_recipe_10_HOM,0.2337438
stack,P,word2vec_recipe_10_HOM,0.39261207
definition,P,word2vec_recipe_10_HOM,0.20648566
elephant,M,word2vec_recipe_10_HOM,0.47653374
injury,P,word2vec_recipe_10_HOM,0.15826443
computer,P,word2vec_recipe_10_HOM,0.21836215
misty,P,word2vec_recipe_10_HOM,0.18429579
stout,P,word2vec_recipe_10_HOM,0.43160263
electrical,M,word2vec_recipe_10_HOM,0.33832538
stampede,P,word2vec_recipe_10_HOM,0.20361592
context,P,word2vec_recipe_10_HOM,0.11028056
birthday,M,word2vec_recipe_10_HOM,0.2844322
pavement,P,word2vec_recipe_10_HOM,0.18547769
unsure,P,word2vec_recipe_10_HOM,0.34651294
monkey,P,word2vec_recipe_10_HOM,0.4231744
brisk,P,word2vec_recipe_10_HOM,0.41586894
clumsy,P,word2vec_recipe_10_HOM,0.10190876
beard,P,word2vec_recipe_10_HOM,0.31847817
frightful,P,word2vec_recipe_10_HOM,0.2216818
sweat,P,word2vec_recipe_10_HOM,0.43313873
stability,M,word2vec_recipe_10_HOM,0.37347043
strong,P,word2vec_recipe_10_HOM,0.35221222
singer,P,word2vec_recipe_10_HOM,0.23447393
platter,P,word2vec_recipe_10_HOM,0.47326997
horn,P,word2vec_recipe_10_HOM,0.4045064
sting,P,word2vec_recipe_10_HOM,0.3391064
singular,P,word2vec_recipe_10_HOM,0.15781853
health,P,word2vec_recipe_10_HOM,0.31730354
dazzle,P,word2vec_recipe_10_HOM,0.24107164
headache,P,word2vec_recipe_10_HOM,0.13679188
infant,P,word2vec_recipe_10_HOM,0.2742236
kitchen,M,word2vec_recipe_10_HOM,0.3743365
maker,P,word2vec_recipe_10_HOM,0.4125756
limit,P,word2vec_recipe_10_HOM,0.32444632
yard,H,word2vec_recipe_10_HOM,0.3439894
expense,P,word2vec_recipe_10_HOM,0.18244411
snug,P,word2vec_recipe_10_HOM,0.41376346
tacky,H,word2vec_recipe_10_HOM,0.3741653
manipulate,P,word2vec_recipe_10_HOM,0.35173932
branch,P,word2vec_recipe_10_HOM,0.36027604
outright,P,word2vec_recipe_10_HOM,0.15127246
button,P,word2vec_recipe_10_HOM,0.48087963
hesitate,P,word2vec_recipe_10_HOM,0.24170013
jackpot,P,word2vec_recipe_10_HOM,0.13734779
reach,P,word2vec_recipe_10_HOM,0.4776494
workers,P,word2vec_recipe_10_HOM,0.12543792
block,P,word2vec_recipe_10_HOM,0.48427895
