word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_50_HOM,0.3536395
pirate,P,word2vec_tiny_50_HOM,0.4449485
gasoline,M,word2vec_tiny_50_HOM,0.37161994
gopher,P,word2vec_tiny_50_HOM,0.34867302
substance,P,word2vec_tiny_50_HOM,0.32771882
strap,P,word2vec_tiny_50_HOM,0.42374003
pitch,H,word2vec_tiny_50_HOM,0.47798833
countdown,P,word2vec_tiny_50_HOM,0.2983759
pink,H,word2vec_tiny_50_HOM,0.45601937
perky,M,word2vec_tiny_50_HOM,0.39228553
fearless,M,word2vec_tiny_50_HOM,0.34531906
lotion,P,word2vec_tiny_50_HOM,0.46022916
annoy,P,word2vec_tiny_50_HOM,0.37869498
hoop,P,word2vec_tiny_50_HOM,0.44510478
doorman,M,word2vec_tiny_50_HOM,0.24330975
cookie,P,word2vec_tiny_50_HOM,0.3835624
romantic,P,word2vec_tiny_50_HOM,0.23272897
square,P,word2vec_tiny_50_HOM,0.48087013
vibration,P,word2vec_tiny_50_HOM,0.30904052
spacious,P,word2vec_tiny_50_HOM,0.34702426
toilet,P,word2vec_tiny_50_HOM,0.4748132
accompany,P,word2vec_tiny_50_HOM,0.3087126
wildlife,M,word2vec_tiny_50_HOM,0.3641014
speech,P,word2vec_tiny_50_HOM,0.37812644
household,P,word2vec_tiny_50_HOM,0.27914482
lend,P,word2vec_tiny_50_HOM,0.5297205
attack,P,word2vec_tiny_50_HOM,0.44970363
cone,P,word2vec_tiny_50_HOM,0.4489877
rope,P,word2vec_tiny_50_HOM,0.4316523
agreement,P,word2vec_tiny_50_HOM,0.45339942
unable,M,word2vec_tiny_50_HOM,0.41117024
gracious,P,word2vec_tiny_50_HOM,0.27106386
hind,H,word2vec_tiny_50_HOM,0.46799433
park,P,word2vec_tiny_50_HOM,0.52943665
detector,P,word2vec_tiny_50_HOM,0.35369092
distance,P,word2vec_tiny_50_HOM,0.45360672
drum,P,word2vec_tiny_50_HOM,0.41084594
accident,P,word2vec_tiny_50_HOM,0.5666254
moon,P,word2vec_tiny_50_HOM,0.43667156
restless,P,word2vec_tiny_50_HOM,0.46449497
reality,P,word2vec_tiny_50_HOM,0.37696022
equal,P,word2vec_tiny_50_HOM,0.42579094
buoy,P,word2vec_tiny_50_HOM,0.33014312
regain,P,word2vec_tiny_50_HOM,0.30862045
pudding,P,word2vec_tiny_50_HOM,0.28430405
wing,P,word2vec_tiny_50_HOM,0.5047686
greedy,P,word2vec_tiny_50_HOM,0.47440514
hoof,P,word2vec_tiny_50_HOM,0.467088
poorly,P,word2vec_tiny_50_HOM,0.40584746
mink,P,word2vec_tiny_50_HOM,0.3374598
plumber,P,word2vec_tiny_50_HOM,0.46505052
toaster,H,word2vec_tiny_50_HOM,0.45573375
disposal,P,word2vec_tiny_50_HOM,0.18668848
pounce,P,word2vec_tiny_50_HOM,0.5129533
pleasant,P,word2vec_tiny_50_HOM,0.41180405
janitor,M,word2vec_tiny_50_HOM,0.41244274
selfish,P,word2vec_tiny_50_HOM,0.4705015
cloak,P,word2vec_tiny_50_HOM,0.4413229
honor,P,word2vec_tiny_50_HOM,0.3341198
continue,P,word2vec_tiny_50_HOM,0.49597806
fright,P,word2vec_tiny_50_HOM,0.31663126
panic,P,word2vec_tiny_50_HOM,0.5228895
joker,P,word2vec_tiny_50_HOM,0.4088458
bug,P,word2vec_tiny_50_HOM,0.4171445
plaster,P,word2vec_tiny_50_HOM,0.34626853
poise,P,word2vec_tiny_50_HOM,0.25698388
territory,P,word2vec_tiny_50_HOM,0.38441762
infection,P,word2vec_tiny_50_HOM,0.3901201
selective,P,word2vec_tiny_50_HOM,0.14799088
heater,P,word2vec_tiny_50_HOM,0.4819272
tailor,P,word2vec_tiny_50_HOM,0.39231515
confront,P,word2vec_tiny_50_HOM,0.3525843
folder,P,word2vec_tiny_50_HOM,0.3879362
various,P,word2vec_tiny_50_HOM,0.39728162
green,P,word2vec_tiny_50_HOM,0.49051246
sweaty,P,word2vec_tiny_50_HOM,0.5334894
drip,P,word2vec_tiny_50_HOM,0.43971854
horseback,P,word2vec_tiny_50_HOM,0.34345883
angle,H,word2vec_tiny_50_HOM,0.4185261
burp,P,word2vec_tiny_50_HOM,0.38661438
crook,P,word2vec_tiny_50_HOM,0.3266257
rosary,P,word2vec_tiny_50_HOM,0.2567626
newborn,P,word2vec_tiny_50_HOM,0.27097476
grenade,P,word2vec_tiny_50_HOM,0.36114913
frisky,M,word2vec_tiny_50_HOM,0.34732407
goose,P,word2vec_tiny_50_HOM,0.3947165
lag,P,word2vec_tiny_50_HOM,0.21081541
anger,P,word2vec_tiny_50_HOM,0.38617146
burner,P,word2vec_tiny_50_HOM,0.32803744
terrain,M,word2vec_tiny_50_HOM,0.3498581
mercy,P,word2vec_tiny_50_HOM,0.40498134
