word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_1_HYP_HALF,0.26368588
aristocrat,P,word2vec_recipe_1_HYP_HALF,0.19882315
novelty,P,word2vec_recipe_1_HYP_HALF,0.19867888
pirate,P,word2vec_recipe_1_HYP_HALF,0.24095719
gasoline,M,word2vec_recipe_1_HYP_HALF,0.13934399
fringe,P,word2vec_recipe_1_HYP_HALF,0.22241196
corral,P,word2vec_recipe_1_HYP_HALF,0.35940897
gopher,P,word2vec_recipe_1_HYP_HALF,0.23392396
substance,P,word2vec_recipe_1_HYP_HALF,0.3513763
flannel,P,word2vec_recipe_1_HYP_HALF,0.38077298
strap,P,word2vec_recipe_1_HYP_HALF,0.28812483
courtesy,P,word2vec_recipe_1_HYP_HALF,0.35002148
pitch,H,word2vec_recipe_1_HYP_HALF,0.39010948
countdown,P,word2vec_recipe_1_HYP_HALF,0.3186344
fiend,P,word2vec_recipe_1_HYP_HALF,0.174875
generic,P,word2vec_recipe_1_HYP_HALF,0.2766911
marijuana,M,word2vec_recipe_1_HYP_HALF,0.2883922
pink,H,word2vec_recipe_1_HYP_HALF,0.49303517
perky,M,word2vec_recipe_1_HYP_HALF,0.33482766
society,P,word2vec_recipe_1_HYP_HALF,0.1856773
fearless,M,word2vec_recipe_1_HYP_HALF,0.19989434
lotion,P,word2vec_recipe_1_HYP_HALF,0.31264552
hoop,P,word2vec_recipe_1_HYP_HALF,0.30974692
cookie,P,word2vec_recipe_1_HYP_HALF,0.37003475
etiquette,M,word2vec_recipe_1_HYP_HALF,0.14417548
romantic,P,word2vec_recipe_1_HYP_HALF,0.2645456
square,P,word2vec_recipe_1_HYP_HALF,0.32655072
vibration,P,word2vec_recipe_1_HYP_HALF,0.15099305
isolate,P,word2vec_recipe_1_HYP_HALF,0.23250984
spacious,P,word2vec_recipe_1_HYP_HALF,0.25418934
toilet,P,word2vec_recipe_1_HYP_HALF,0.24410066
southwest,P,word2vec_recipe_1_HYP_HALF,0.29685032
corpse,M,word2vec_recipe_1_HYP_HALF,0.18578584
publisher,P,word2vec_recipe_1_HYP_HALF,0.15747243
accompany,P,word2vec_recipe_1_HYP_HALF,0.38229603
wildlife,M,word2vec_recipe_1_HYP_HALF,0.16962944
louse,P,word2vec_recipe_1_HYP_HALF,0.17189878
household,P,word2vec_recipe_1_HYP_HALF,0.26268452
lend,P,word2vec_recipe_1_HYP_HALF,0.28879282
despise,M,word2vec_recipe_1_HYP_HALF,0.10707514
attack,P,word2vec_recipe_1_HYP_HALF,0.32535157
cone,P,word2vec_recipe_1_HYP_HALF,0.33696666
rope,P,word2vec_recipe_1_HYP_HALF,0.33322057
agreement,P,word2vec_recipe_1_HYP_HALF,0.3360465
unable,M,word2vec_recipe_1_HYP_HALF,0.3110204
rainy,M,word2vec_recipe_1_HYP_HALF,0.3443188
gracious,P,word2vec_recipe_1_HYP_HALF,0.17845982
hind,H,word2vec_recipe_1_HYP_HALF,0.26188073
park,P,word2vec_recipe_1_HYP_HALF,0.3253918
detector,P,word2vec_recipe_1_HYP_HALF,0.20777881
armpit,M,word2vec_recipe_1_HYP_HALF,0.20972423
distance,P,word2vec_recipe_1_HYP_HALF,0.4187027
eager,M,word2vec_recipe_1_HYP_HALF,0.12467373
drum,P,word2vec_recipe_1_HYP_HALF,0.40180165
accident,P,word2vec_recipe_1_HYP_HALF,0.21088527
moon,P,word2vec_recipe_1_HYP_HALF,0.4125039
pansy,P,word2vec_recipe_1_HYP_HALF,0.2980016
reality,P,word2vec_recipe_1_HYP_HALF,0.13341828
equal,P,word2vec_recipe_1_HYP_HALF,0.42027873
regain,P,word2vec_recipe_1_HYP_HALF,0.2705492
dominion,P,word2vec_recipe_1_HYP_HALF,0.16719393
pudding,P,word2vec_recipe_1_HYP_HALF,0.41177574
wing,P,word2vec_recipe_1_HYP_HALF,0.397436
greedy,P,word2vec_recipe_1_HYP_HALF,0.14529124
hoof,P,word2vec_recipe_1_HYP_HALF,0.22748701
poorly,P,word2vec_recipe_1_HYP_HALF,0.13797557
mink,P,word2vec_recipe_1_HYP_HALF,0.21476741
plumber,P,word2vec_recipe_1_HYP_HALF,0.13873523
toaster,H,word2vec_recipe_1_HYP_HALF,0.4627087
disposal,P,word2vec_recipe_1_HYP_HALF,0.27961397
pleasant,P,word2vec_recipe_1_HYP_HALF,0.2755056
airtight,P,word2vec_recipe_1_HYP_HALF,0.40331718
cancer,P,word2vec_recipe_1_HYP_HALF,0.2177682
critical,P,word2vec_recipe_1_HYP_HALF,0.2969428
cloak,P,word2vec_recipe_1_HYP_HALF,0.21574244
honor,P,word2vec_recipe_1_HYP_HALF,0.24081737
continue,P,word2vec_recipe_1_HYP_HALF,0.47437426
placement,P,word2vec_recipe_1_HYP_HALF,0.33256868
panic,P,word2vec_recipe_1_HYP_HALF,0.31232357
rotation,P,word2vec_recipe_1_HYP_HALF,0.34136757
bug,P,word2vec_recipe_1_HYP_HALF,0.320137
plaster,P,word2vec_recipe_1_HYP_HALF,0.3219248
territory,P,word2vec_recipe_1_HYP_HALF,0.18292639
infection,P,word2vec_recipe_1_HYP_HALF,0.17181535
heater,P,word2vec_recipe_1_HYP_HALF,0.35453343
tailor,P,word2vec_recipe_1_HYP_HALF,0.18011284
folder,P,word2vec_recipe_1_HYP_HALF,0.2502902
various,P,word2vec_recipe_1_HYP_HALF,0.38399678
assure,P,word2vec_recipe_1_HYP_HALF,0.43825358
green,P,word2vec_recipe_1_HYP_HALF,0.36065677
sweaty,P,word2vec_recipe_1_HYP_HALF,0.28474897
bogus,M,word2vec_recipe_1_HYP_HALF,0.13428316
drip,P,word2vec_recipe_1_HYP_HALF,0.4847344
horseback,P,word2vec_recipe_1_HYP_HALF,0.36325228
