word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_40_HOM_HALF,0.27287602
aristocrat,P,word2vec_recipe_40_HOM_HALF,0.19736193
novelty,P,word2vec_recipe_40_HOM_HALF,0.19548729
pirate,P,word2vec_recipe_40_HOM_HALF,0.23529373
gasoline,M,word2vec_recipe_40_HOM_HALF,0.14962631
fringe,P,word2vec_recipe_40_HOM_HALF,0.21717963
corral,P,word2vec_recipe_40_HOM_HALF,0.34539267
gopher,P,word2vec_recipe_40_HOM_HALF,0.2169304
substance,P,word2vec_recipe_40_HOM_HALF,0.35221517
flannel,P,word2vec_recipe_40_HOM_HALF,0.38133422
strap,P,word2vec_recipe_40_HOM_HALF,0.30519536
courtesy,P,word2vec_recipe_40_HOM_HALF,0.3496076
pitch,H,word2vec_recipe_40_HOM_HALF,0.4046236
countdown,P,word2vec_recipe_40_HOM_HALF,0.32729495
fiend,P,word2vec_recipe_40_HOM_HALF,0.14826426
generic,P,word2vec_recipe_40_HOM_HALF,0.28536594
marijuana,M,word2vec_recipe_40_HOM_HALF,0.27760366
pink,H,word2vec_recipe_40_HOM_HALF,0.48866045
perky,M,word2vec_recipe_40_HOM_HALF,0.33355042
society,P,word2vec_recipe_40_HOM_HALF,0.17726626
fearless,M,word2vec_recipe_40_HOM_HALF,0.2035038
lotion,P,word2vec_recipe_40_HOM_HALF,0.31596184
hoop,P,word2vec_recipe_40_HOM_HALF,0.31610847
cookie,P,word2vec_recipe_40_HOM_HALF,0.3739773
etiquette,M,word2vec_recipe_40_HOM_HALF,0.15405566
romantic,P,word2vec_recipe_40_HOM_HALF,0.25803018
square,P,word2vec_recipe_40_HOM_HALF,0.32984054
vibration,P,word2vec_recipe_40_HOM_HALF,0.15444209
isolate,P,word2vec_recipe_40_HOM_HALF,0.27569148
spacious,P,word2vec_recipe_40_HOM_HALF,0.26327133
toilet,P,word2vec_recipe_40_HOM_HALF,0.2523832
southwest,P,word2vec_recipe_40_HOM_HALF,0.29851866
corpse,M,word2vec_recipe_40_HOM_HALF,0.17896755
publisher,P,word2vec_recipe_40_HOM_HALF,0.16238861
accompany,P,word2vec_recipe_40_HOM_HALF,0.38718712
wildlife,M,word2vec_recipe_40_HOM_HALF,0.17658798
louse,P,word2vec_recipe_40_HOM_HALF,0.14617807
household,P,word2vec_recipe_40_HOM_HALF,0.28513312
lend,P,word2vec_recipe_40_HOM_HALF,0.29166234
despise,M,word2vec_recipe_40_HOM_HALF,0.111608066
attack,P,word2vec_recipe_40_HOM_HALF,0.31706956
cone,P,word2vec_recipe_40_HOM_HALF,0.34013394
rope,P,word2vec_recipe_40_HOM_HALF,0.32759848
agreement,P,word2vec_recipe_40_HOM_HALF,0.34851643
unable,M,word2vec_recipe_40_HOM_HALF,0.329246
rainy,M,word2vec_recipe_40_HOM_HALF,0.34715164
gracious,P,word2vec_recipe_40_HOM_HALF,0.17203711
hind,H,word2vec_recipe_40_HOM_HALF,0.27395096
park,P,word2vec_recipe_40_HOM_HALF,0.3165959
detector,P,word2vec_recipe_40_HOM_HALF,0.19953424
armpit,M,word2vec_recipe_40_HOM_HALF,0.20712592
distance,P,word2vec_recipe_40_HOM_HALF,0.41934842
eager,M,word2vec_recipe_40_HOM_HALF,0.12358335
drum,P,word2vec_recipe_40_HOM_HALF,0.41605163
accident,P,word2vec_recipe_40_HOM_HALF,0.20195271
moon,P,word2vec_recipe_40_HOM_HALF,0.41443685
pansy,P,word2vec_recipe_40_HOM_HALF,0.30846044
reality,P,word2vec_recipe_40_HOM_HALF,0.12521438
equal,P,word2vec_recipe_40_HOM_HALF,0.41375312
regain,P,word2vec_recipe_40_HOM_HALF,0.26777795
dominion,P,word2vec_recipe_40_HOM_HALF,0.16869101
pudding,P,word2vec_recipe_40_HOM_HALF,0.40954885
wing,P,word2vec_recipe_40_HOM_HALF,0.40482017
greedy,P,word2vec_recipe_40_HOM_HALF,0.155883
hoof,P,word2vec_recipe_40_HOM_HALF,0.2190946
poorly,P,word2vec_recipe_40_HOM_HALF,0.13043426
mink,P,word2vec_recipe_40_HOM_HALF,0.22280133
