word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_50_HOM,0.2673746
aristocrat,P,word2vec_recipe_50_HOM,0.22072272
novelty,P,word2vec_recipe_50_HOM,0.1990638
pirate,P,word2vec_recipe_50_HOM,0.23554239
gasoline,M,word2vec_recipe_50_HOM,0.14226167
fringe,P,word2vec_recipe_50_HOM,0.23706928
corral,P,word2vec_recipe_50_HOM,0.32539365
gopher,P,word2vec_recipe_50_HOM,0.22947827
substance,P,word2vec_recipe_50_HOM,0.3643514
flannel,P,word2vec_recipe_50_HOM,0.3756587
strap,P,word2vec_recipe_50_HOM,0.2861547
courtesy,P,word2vec_recipe_50_HOM,0.35430965
pitch,H,word2vec_recipe_50_HOM,0.40468997
countdown,P,word2vec_recipe_50_HOM,0.32575062
fiend,P,word2vec_recipe_50_HOM,0.16876161
generic,P,word2vec_recipe_50_HOM,0.28478396
marijuana,M,word2vec_recipe_50_HOM,0.27762908
pink,H,word2vec_recipe_50_HOM,0.48736247
perky,M,word2vec_recipe_50_HOM,0.32754943
society,P,word2vec_recipe_50_HOM,0.18292174
fearless,M,word2vec_recipe_50_HOM,0.19987735
lotion,P,word2vec_recipe_50_HOM,0.30698577
hoop,P,word2vec_recipe_50_HOM,0.3424879
cookie,P,word2vec_recipe_50_HOM,0.3673499
etiquette,M,word2vec_recipe_50_HOM,0.13013086
romantic,P,word2vec_recipe_50_HOM,0.25358024
square,P,word2vec_recipe_50_HOM,0.32145646
vibration,P,word2vec_recipe_50_HOM,0.15400602
isolate,P,word2vec_recipe_50_HOM,0.29646483
spacious,P,word2vec_recipe_50_HOM,0.2624717
toilet,P,word2vec_recipe_50_HOM,0.22911026
southwest,P,word2vec_recipe_50_HOM,0.29593506
corpse,M,word2vec_recipe_50_HOM,0.20574597
publisher,P,word2vec_recipe_50_HOM,0.15919387
accompany,P,word2vec_recipe_50_HOM,0.3898912
wildlife,M,word2vec_recipe_50_HOM,0.18765318
louse,P,word2vec_recipe_50_HOM,0.15222447
household,P,word2vec_recipe_50_HOM,0.27170908
lend,P,word2vec_recipe_50_HOM,0.29134578
despise,M,word2vec_recipe_50_HOM,0.10968114
attack,P,word2vec_recipe_50_HOM,0.32869488
cone,P,word2vec_recipe_50_HOM,0.33681148
rope,P,word2vec_recipe_50_HOM,0.3361536
agreement,P,word2vec_recipe_50_HOM,0.33417547
unable,M,word2vec_recipe_50_HOM,0.31665814
rainy,M,word2vec_recipe_50_HOM,0.35652682
gracious,P,word2vec_recipe_50_HOM,0.19340032
hind,H,word2vec_recipe_50_HOM,0.25052902
park,P,word2vec_recipe_50_HOM,0.3270972
detector,P,word2vec_recipe_50_HOM,0.20481737
armpit,M,word2vec_recipe_50_HOM,0.19971104
distance,P,word2vec_recipe_50_HOM,0.4225976
eager,M,word2vec_recipe_50_HOM,0.11952086
drum,P,word2vec_recipe_50_HOM,0.40719464
accident,P,word2vec_recipe_50_HOM,0.2222532
moon,P,word2vec_recipe_50_HOM,0.42062896
pansy,P,word2vec_recipe_50_HOM,0.3003958
reality,P,word2vec_recipe_50_HOM,0.12854502
equal,P,word2vec_recipe_50_HOM,0.42224097
regain,P,word2vec_recipe_50_HOM,0.2795471
dominion,P,word2vec_recipe_50_HOM,0.16228169
pudding,P,word2vec_recipe_50_HOM,0.41079152
wing,P,word2vec_recipe_50_HOM,0.4005972
greedy,P,word2vec_recipe_50_HOM,0.14660895
hoof,P,word2vec_recipe_50_HOM,0.2080095
poorly,P,word2vec_recipe_50_HOM,0.12965715
mink,P,word2vec_recipe_50_HOM,0.2521657
plumber,P,word2vec_recipe_50_HOM,0.14115235
toaster,H,word2vec_recipe_50_HOM,0.45938545
disposal,P,word2vec_recipe_50_HOM,0.2726101
pleasant,P,word2vec_recipe_50_HOM,0.28529105
airtight,P,word2vec_recipe_50_HOM,0.4118655
cancer,P,word2vec_recipe_50_HOM,0.21181254
critical,P,word2vec_recipe_50_HOM,0.30857
cloak,P,word2vec_recipe_50_HOM,0.20947729
honor,P,word2vec_recipe_50_HOM,0.24218088
continue,P,word2vec_recipe_50_HOM,0.47004613
placement,P,word2vec_recipe_50_HOM,0.33066142
panic,P,word2vec_recipe_50_HOM,0.30673662
rotation,P,word2vec_recipe_50_HOM,0.34601256
bug,P,word2vec_recipe_50_HOM,0.32481375
plaster,P,word2vec_recipe_50_HOM,0.32243195
territory,P,word2vec_recipe_50_HOM,0.20015681
infection,P,word2vec_recipe_50_HOM,0.17060955
heater,P,word2vec_recipe_50_HOM,0.33424318
tailor,P,word2vec_recipe_50_HOM,0.17896774
folder,P,word2vec_recipe_50_HOM,0.27125102
various,P,word2vec_recipe_50_HOM,0.38446343
assure,P,word2vec_recipe_50_HOM,0.43215093
green,P,word2vec_recipe_50_HOM,0.3509775
sweaty,P,word2vec_recipe_50_HOM,0.30665106
bogus,M,word2vec_recipe_50_HOM,0.14918861
drip,P,word2vec_recipe_50_HOM,0.47898513
horseback,P,word2vec_recipe_50_HOM,0.34325638
angle,H,word2vec_recipe_50_HOM,0.38730127
burp,P,word2vec_recipe_50_HOM,0.37083805
premature,M,word2vec_recipe_50_HOM,0.22478403
emphasize,P,word2vec_recipe_50_HOM,0.21203087
crook,P,word2vec_recipe_50_HOM,0.36444542
cardiac,P,word2vec_recipe_50_HOM,0.14999098
newborn,P,word2vec_recipe_50_HOM,0.16320543
grenade,P,word2vec_recipe_50_HOM,0.18977539
frisky,M,word2vec_recipe_50_HOM,0.21103871
goose,P,word2vec_recipe_50_HOM,0.3409155
anger,P,word2vec_recipe_50_HOM,0.14112331
burner,P,word2vec_recipe_50_HOM,0.39788285
mediocre,M,word2vec_recipe_50_HOM,0.111989
lousy,P,word2vec_recipe_50_HOM,0.10359199
tack,P,word2vec_recipe_50_HOM,0.40043017
mercy,P,word2vec_recipe_50_HOM,0.1560351
insane,P,word2vec_recipe_50_HOM,0.32431832
vacant,P,word2vec_recipe_50_HOM,0.23668385
shrimp,P,word2vec_recipe_50_HOM,0.36445838
ski,P,word2vec_recipe_50_HOM,0.21709973
stack,P,word2vec_recipe_50_HOM,0.3827536
definition,P,word2vec_recipe_50_HOM,0.18835059
injury,P,word2vec_recipe_50_HOM,0.17348309
computer,P,word2vec_recipe_50_HOM,0.20737022
misty,P,word2vec_recipe_50_HOM,0.16865656
stout,P,word2vec_recipe_50_HOM,0.43042746
electrical,M,word2vec_recipe_50_HOM,0.32678294
stampede,P,word2vec_recipe_50_HOM,0.21531172
context,P,word2vec_recipe_50_HOM,0.11914011
pavement,P,word2vec_recipe_50_HOM,0.20513289
unsure,P,word2vec_recipe_50_HOM,0.34395543
monkey,P,word2vec_recipe_50_HOM,0.42593274
brisk,P,word2vec_recipe_50_HOM,0.4159099
clumsy,P,word2vec_recipe_50_HOM,0.121869974
beard,P,word2vec_recipe_50_HOM,0.327719
frightful,P,word2vec_recipe_50_HOM,0.20813651
sweat,P,word2vec_recipe_50_HOM,0.43517745
stability,M,word2vec_recipe_50_HOM,0.37047577
strong,P,word2vec_recipe_50_HOM,0.3592588
singer,P,word2vec_recipe_50_HOM,0.2653774
platter,P,word2vec_recipe_50_HOM,0.46867898
horn,P,word2vec_recipe_50_HOM,0.40058738
sting,P,word2vec_recipe_50_HOM,0.34604335
singular,P,word2vec_recipe_50_HOM,0.1670198
health,P,word2vec_recipe_50_HOM,0.33865818
dazzle,P,word2vec_recipe_50_HOM,0.2337763
headache,P,word2vec_recipe_50_HOM,0.13191047
infant,P,word2vec_recipe_50_HOM,0.27158204
maker,P,word2vec_recipe_50_HOM,0.4158654
limit,P,word2vec_recipe_50_HOM,0.3171957
yard,H,word2vec_recipe_50_HOM,0.33709013
expense,P,word2vec_recipe_50_HOM,0.17390667
snug,P,word2vec_recipe_50_HOM,0.407783
tacky,H,word2vec_recipe_50_HOM,0.37632155
manipulate,P,word2vec_recipe_50_HOM,0.3355862
branch,P,word2vec_recipe_50_HOM,0.35978612
outright,P,word2vec_recipe_50_HOM,0.15662768
button,P,word2vec_recipe_50_HOM,0.4765693
hesitate,P,word2vec_recipe_50_HOM,0.23247091
jackpot,P,word2vec_recipe_50_HOM,0.13671623
reach,P,word2vec_recipe_50_HOM,0.47342604
workers,P,word2vec_recipe_50_HOM,0.11807083
block,P,word2vec_recipe_50_HOM,0.47898662
cradle,P,word2vec_recipe_50_HOM,0.33078125
peppermint,P,word2vec_recipe_50_HOM,0.35603106
solid,P,word2vec_recipe_50_HOM,0.43048087
clot,P,word2vec_recipe_50_HOM,0.20359711
tackle,P,word2vec_recipe_50_HOM,0.19683915
mural,P,word2vec_recipe_50_HOM,0.2943768
dramatic,P,word2vec_recipe_50_HOM,0.29495618
grasp,P,word2vec_recipe_50_HOM,0.37381557
frog,H,word2vec_recipe_50_HOM,0.43930325
dig,P,word2vec_recipe_50_HOM,0.42761067
destiny,P,word2vec_recipe_50_HOM,0.34577733
module,P,word2vec_recipe_50_HOM,0.3917706
conviction,P,word2vec_recipe_50_HOM,0.1856615
tune,P,word2vec_recipe_50_HOM,0.33135927
vision,P,word2vec_recipe_50_HOM,0.16148199
shave,P,word2vec_recipe_50_HOM,0.45174104
scan,P,word2vec_recipe_50_HOM,0.18597488
steam,P,word2vec_recipe_50_HOM,0.48274738
reopen,P,word2vec_recipe_50_HOM,0.36288735
keen,H,word2vec_recipe_50_HOM,0.32483295
latter,P,word2vec_recipe_50_HOM,0.27908087
partner,P,word2vec_recipe_50_HOM,0.2351388
cast,P,word2vec_recipe_50_HOM,0.41174272
brilliance,P,word2vec_recipe_50_HOM,0.13656536
pint,P,word2vec_recipe_50_HOM,0.3671562
countless,M,word2vec_recipe_50_HOM,0.19160584
scramble,P,word2vec_recipe_50_HOM,0.4608163
antique,P,word2vec_recipe_50_HOM,0.24615413
global,P,word2vec_recipe_50_HOM,0.14944942
shameless,P,word2vec_recipe_50_HOM,0.22864962
skip,P,word2vec_recipe_50_HOM,0.38227275
generation,P,word2vec_recipe_50_HOM,0.2721223
treat,P,word2vec_recipe_50_HOM,0.332772
gobble,H,word2vec_recipe_50_HOM,0.33337903
mainstream,P,word2vec_recipe_50_HOM,0.130354
sane,P,word2vec_recipe_50_HOM,0.17887975
rug,P,word2vec_recipe_50_HOM,0.2627559
paint,P,word2vec_recipe_50_HOM,0.39386427
passionate,P,word2vec_recipe_50_HOM,0.19490275
