word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_10_HYP_HALF,0.38344297
pirate,P,word2vec_tiny_10_HYP_HALF,0.4356421
gasoline,M,word2vec_tiny_10_HYP_HALF,0.35529128
gopher,P,word2vec_tiny_10_HYP_HALF,0.3462014
substance,P,word2vec_tiny_10_HYP_HALF,0.33426923
strap,P,word2vec_tiny_10_HYP_HALF,0.4446132
pitch,H,word2vec_tiny_10_HYP_HALF,0.4706321
countdown,P,word2vec_tiny_10_HYP_HALF,0.31601024
pink,H,word2vec_tiny_10_HYP_HALF,0.44620556
perky,M,word2vec_tiny_10_HYP_HALF,0.3785248
fearless,M,word2vec_tiny_10_HYP_HALF,0.3499207
lotion,P,word2vec_tiny_10_HYP_HALF,0.45899585
annoy,P,word2vec_tiny_10_HYP_HALF,0.37103882
hoop,P,word2vec_tiny_10_HYP_HALF,0.44160426
doorman,M,word2vec_tiny_10_HYP_HALF,0.263076
cookie,P,word2vec_tiny_10_HYP_HALF,0.3761703
romantic,P,word2vec_tiny_10_HYP_HALF,0.24158838
square,P,word2vec_tiny_10_HYP_HALF,0.47171277
vibration,P,word2vec_tiny_10_HYP_HALF,0.32685104
spacious,P,word2vec_tiny_10_HYP_HALF,0.36270124
toilet,P,word2vec_tiny_10_HYP_HALF,0.46970418
accompany,P,word2vec_tiny_10_HYP_HALF,0.28507826
wildlife,M,word2vec_tiny_10_HYP_HALF,0.35855824
speech,P,word2vec_tiny_10_HYP_HALF,0.38445267
household,P,word2vec_tiny_10_HYP_HALF,0.27019483
lend,P,word2vec_tiny_10_HYP_HALF,0.5246227
attack,P,word2vec_tiny_10_HYP_HALF,0.44509393
cone,P,word2vec_tiny_10_HYP_HALF,0.44934192
rope,P,word2vec_tiny_10_HYP_HALF,0.4299363
agreement,P,word2vec_tiny_10_HYP_HALF,0.45369104
unable,M,word2vec_tiny_10_HYP_HALF,0.42060974
rainy,M,word2vec_tiny_10_HYP_HALF,0.50427663
gracious,P,word2vec_tiny_10_HYP_HALF,0.25797287
hind,H,word2vec_tiny_10_HYP_HALF,0.46643054
park,P,word2vec_tiny_10_HYP_HALF,0.51918584
detector,P,word2vec_tiny_10_HYP_HALF,0.35916612
distance,P,word2vec_tiny_10_HYP_HALF,0.43825233
eager,M,word2vec_tiny_10_HYP_HALF,0.5435837
drum,P,word2vec_tiny_10_HYP_HALF,0.39396513
accident,P,word2vec_tiny_10_HYP_HALF,0.5766222
moon,P,word2vec_tiny_10_HYP_HALF,0.43239677
restless,P,word2vec_tiny_10_HYP_HALF,0.45852768
reality,P,word2vec_tiny_10_HYP_HALF,0.36995333
equal,P,word2vec_tiny_10_HYP_HALF,0.42632303
buoy,P,word2vec_tiny_10_HYP_HALF,0.3424195
regain,P,word2vec_tiny_10_HYP_HALF,0.32166395
pudding,P,word2vec_tiny_10_HYP_HALF,0.25767517
wing,P,word2vec_tiny_10_HYP_HALF,0.50226766
greedy,P,word2vec_tiny_10_HYP_HALF,0.4748177
hoof,P,word2vec_tiny_10_HYP_HALF,0.46121675
poorly,P,word2vec_tiny_10_HYP_HALF,0.3911412
mink,P,word2vec_tiny_10_HYP_HALF,0.35103244
plumber,P,word2vec_tiny_10_HYP_HALF,0.45548114
toaster,H,word2vec_tiny_10_HYP_HALF,0.44578075
disposal,P,word2vec_tiny_10_HYP_HALF,0.19417618
pounce,P,word2vec_tiny_10_HYP_HALF,0.5106705
