word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_20_HOM,0.37666863
pirate,P,word2vec_tiny_20_HOM,0.4387034
gasoline,M,word2vec_tiny_20_HOM,0.3719418
gopher,P,word2vec_tiny_20_HOM,0.33881378
substance,P,word2vec_tiny_20_HOM,0.33443707
strap,P,word2vec_tiny_20_HOM,0.44521102
pitch,H,word2vec_tiny_20_HOM,0.4784581
countdown,P,word2vec_tiny_20_HOM,0.31112102
pink,H,word2vec_tiny_20_HOM,0.4531289
perky,M,word2vec_tiny_20_HOM,0.37737137
fearless,M,word2vec_tiny_20_HOM,0.35128018
lotion,P,word2vec_tiny_20_HOM,0.45760602
annoy,P,word2vec_tiny_20_HOM,0.38334596
hoop,P,word2vec_tiny_20_HOM,0.44418365
doorman,M,word2vec_tiny_20_HOM,0.27995822
cookie,P,word2vec_tiny_20_HOM,0.37819588
romantic,P,word2vec_tiny_20_HOM,0.26338387
square,P,word2vec_tiny_20_HOM,0.4750322
vibration,P,word2vec_tiny_20_HOM,0.3334112
spacious,P,word2vec_tiny_20_HOM,0.3578704
toilet,P,word2vec_tiny_20_HOM,0.46974564
accompany,P,word2vec_tiny_20_HOM,0.30147633
wildlife,M,word2vec_tiny_20_HOM,0.35697842
speech,P,word2vec_tiny_20_HOM,0.3815688
household,P,word2vec_tiny_20_HOM,0.26541615
lend,P,word2vec_tiny_20_HOM,0.5235669
attack,P,word2vec_tiny_20_HOM,0.44361323
cone,P,word2vec_tiny_20_HOM,0.44624767
rope,P,word2vec_tiny_20_HOM,0.43302765
agreement,P,word2vec_tiny_20_HOM,0.45734078
unable,M,word2vec_tiny_20_HOM,0.41685972
gracious,P,word2vec_tiny_20_HOM,0.27639577
hind,H,word2vec_tiny_20_HOM,0.4586195
park,P,word2vec_tiny_20_HOM,0.52500254
detector,P,word2vec_tiny_20_HOM,0.3576218
distance,P,word2vec_tiny_20_HOM,0.44232646
drum,P,word2vec_tiny_20_HOM,0.4103924
accident,P,word2vec_tiny_20_HOM,0.56825995
moon,P,word2vec_tiny_20_HOM,0.43709305
restless,P,word2vec_tiny_20_HOM,0.45701832
reality,P,word2vec_tiny_20_HOM,0.37664413
equal,P,word2vec_tiny_20_HOM,0.43082672
buoy,P,word2vec_tiny_20_HOM,0.36602902
regain,P,word2vec_tiny_20_HOM,0.28232297
pudding,P,word2vec_tiny_20_HOM,0.2756231
wing,P,word2vec_tiny_20_HOM,0.5036346
greedy,P,word2vec_tiny_20_HOM,0.48079967
hoof,P,word2vec_tiny_20_HOM,0.47343993
poorly,P,word2vec_tiny_20_HOM,0.38498932
mink,P,word2vec_tiny_20_HOM,0.35947993
plumber,P,word2vec_tiny_20_HOM,0.46028855
toaster,H,word2vec_tiny_20_HOM,0.45140216
disposal,P,word2vec_tiny_20_HOM,0.23378254
pounce,P,word2vec_tiny_20_HOM,0.5113602
pleasant,P,word2vec_tiny_20_HOM,0.40347818
janitor,M,word2vec_tiny_20_HOM,0.3926024
selfish,P,word2vec_tiny_20_HOM,0.46543664
cloak,P,word2vec_tiny_20_HOM,0.43833905
honor,P,word2vec_tiny_20_HOM,0.33279496
continue,P,word2vec_tiny_20_HOM,0.5040544
fright,P,word2vec_tiny_20_HOM,0.31139103
panic,P,word2vec_tiny_20_HOM,0.52298665
joker,P,word2vec_tiny_20_HOM,0.41078013
bug,P,word2vec_tiny_20_HOM,0.4192655
plaster,P,word2vec_tiny_20_HOM,0.3514077
poise,P,word2vec_tiny_20_HOM,0.22637951
territory,P,word2vec_tiny_20_HOM,0.3848891
infection,P,word2vec_tiny_20_HOM,0.38418254
selective,P,word2vec_tiny_20_HOM,0.15663713
heater,P,word2vec_tiny_20_HOM,0.47359347
tailor,P,word2vec_tiny_20_HOM,0.38468194
confront,P,word2vec_tiny_20_HOM,0.34377497
folder,P,word2vec_tiny_20_HOM,0.3860598
various,P,word2vec_tiny_20_HOM,0.3875711
green,P,word2vec_tiny_20_HOM,0.49127412
sweaty,P,word2vec_tiny_20_HOM,0.5267012
drip,P,word2vec_tiny_20_HOM,0.45225883
horseback,P,word2vec_tiny_20_HOM,0.3564622
angle,H,word2vec_tiny_20_HOM,0.40324375
burp,P,word2vec_tiny_20_HOM,0.3980902
crook,P,word2vec_tiny_20_HOM,0.31739178
rosary,P,word2vec_tiny_20_HOM,0.21553877
newborn,P,word2vec_tiny_20_HOM,0.28659362
grenade,P,word2vec_tiny_20_HOM,0.3860339
frisky,M,word2vec_tiny_20_HOM,0.33177742
goose,P,word2vec_tiny_20_HOM,0.38946617
lag,P,word2vec_tiny_20_HOM,0.21518953
anger,P,word2vec_tiny_20_HOM,0.3792749
burner,P,word2vec_tiny_20_HOM,0.3371537
terrain,M,word2vec_tiny_20_HOM,0.35146973
mercy,P,word2vec_tiny_20_HOM,0.4147143
shrimp,P,word2vec_tiny_20_HOM,0.34478638
ski,P,word2vec_tiny_20_HOM,0.41110545
stack,P,word2vec_tiny_20_HOM,0.47442478
definition,P,word2vec_tiny_20_HOM,0.34096485
elephant,M,word2vec_tiny_20_HOM,0.3230982
injury,P,word2vec_tiny_20_HOM,0.2944891
computer,P,word2vec_tiny_20_HOM,0.4153582
misty,P,word2vec_tiny_20_HOM,0.42798087
electrical,M,word2vec_tiny_20_HOM,0.28093302
haunt,P,word2vec_tiny_20_HOM,0.29708308
pavement,P,word2vec_tiny_20_HOM,0.46898082
airfield,M,word2vec_tiny_20_HOM,0.31961158
unsure,P,word2vec_tiny_20_HOM,0.43697986
monkey,P,word2vec_tiny_20_HOM,0.39915326
brisk,P,word2vec_tiny_20_HOM,0.23478316
clumsy,P,word2vec_tiny_20_HOM,0.49159276
beard,P,word2vec_tiny_20_HOM,0.5253202
hateful,P,word2vec_tiny_20_HOM,0.21399933
profound,P,word2vec_tiny_20_HOM,0.19360207
frightful,P,word2vec_tiny_20_HOM,0.24765643
outsider,P,word2vec_tiny_20_HOM,0.21473905
sweat,P,word2vec_tiny_20_HOM,0.428827
stability,M,word2vec_tiny_20_HOM,0.29102254
strong,P,word2vec_tiny_20_HOM,0.5250203
singer,P,word2vec_tiny_20_HOM,0.42834395
platter,P,word2vec_tiny_20_HOM,0.29575488
horn,P,word2vec_tiny_20_HOM,0.45574936
sting,P,word2vec_tiny_20_HOM,0.43902576
health,P,word2vec_tiny_20_HOM,0.4062546
dazzle,P,word2vec_tiny_20_HOM,0.3556389
headache,P,word2vec_tiny_20_HOM,0.4602184
infant,P,word2vec_tiny_20_HOM,0.52471375
maker,P,word2vec_tiny_20_HOM,0.4946587
limit,P,word2vec_tiny_20_HOM,0.41690046
yard,H,word2vec_tiny_20_HOM,0.5367651
expense,P,word2vec_tiny_20_HOM,0.27507466
snug,P,word2vec_tiny_20_HOM,0.4272533
branch,P,word2vec_tiny_20_HOM,0.4682131
button,P,word2vec_tiny_20_HOM,0.45817113
hesitate,P,word2vec_tiny_20_HOM,0.3778797
jackpot,P,word2vec_tiny_20_HOM,0.22609383
reach,P,word2vec_tiny_20_HOM,0.54310125
virus,P,word2vec_tiny_20_HOM,0.39484546
workers,P,word2vec_tiny_20_HOM,0.4589979
block,P,word2vec_tiny_20_HOM,0.48649895
cradle,P,word2vec_tiny_20_HOM,0.39882815
peppermint,P,word2vec_tiny_20_HOM,0.29037836
punk,P,word2vec_tiny_20_HOM,0.2662597
solid,P,word2vec_tiny_20_HOM,0.41552553
morality,P,word2vec_tiny_20_HOM,0.17621456
tackle,P,word2vec_tiny_20_HOM,0.39009666
mural,P,word2vec_tiny_20_HOM,0.36752623
bakery,M,word2vec_tiny_20_HOM,0.44105235
dramatic,P,word2vec_tiny_20_HOM,0.31324872
grasp,P,word2vec_tiny_20_HOM,0.32211548
frog,H,word2vec_tiny_20_HOM,0.43772408
dig,P,word2vec_tiny_20_HOM,0.5020744
continent,P,word2vec_tiny_20_HOM,0.32159492
destiny,P,word2vec_tiny_20_HOM,0.30197182
tune,P,word2vec_tiny_20_HOM,0.42271653
vision,P,word2vec_tiny_20_HOM,0.338327
shave,P,word2vec_tiny_20_HOM,0.5229246
scan,P,word2vec_tiny_20_HOM,0.3357408
sitter,P,word2vec_tiny_20_HOM,0.34503293
steam,P,word2vec_tiny_20_HOM,0.46665353
keen,H,word2vec_tiny_20_HOM,0.40052092
rejoin,H,word2vec_tiny_20_HOM,0.22533879
autograph,P,word2vec_tiny_20_HOM,0.32791916
steward,P,word2vec_tiny_20_HOM,0.2547476
partner,P,word2vec_tiny_20_HOM,0.4173421
cast,P,word2vec_tiny_20_HOM,0.4966637
vengeful,M,word2vec_tiny_20_HOM,0.21965237
brilliance,P,word2vec_tiny_20_HOM,0.28851098
cockroach,M,word2vec_tiny_20_HOM,0.31119293
similar,M,word2vec_tiny_20_HOM,0.41930756
countless,M,word2vec_tiny_20_HOM,0.38059136
scramble,P,word2vec_tiny_20_HOM,0.3217574
antique,P,word2vec_tiny_20_HOM,0.29832426
skip,P,word2vec_tiny_20_HOM,0.5198579
generation,P,word2vec_tiny_20_HOM,0.41006008
treat,P,word2vec_tiny_20_HOM,0.43244743
gobble,H,word2vec_tiny_20_HOM,0.40186352
athlete,P,word2vec_tiny_20_HOM,0.33050457
rug,P,word2vec_tiny_20_HOM,0.4243611
paint,P,word2vec_tiny_20_HOM,0.42531097
passionate,P,word2vec_tiny_20_HOM,0.35610333
push,P,word2vec_tiny_20_HOM,0.49510124
liar,M,word2vec_tiny_20_HOM,0.3948172
password,M,word2vec_tiny_20_HOM,0.40065753
buzzard,P,word2vec_tiny_20_HOM,0.36043414
deadly,P,word2vec_tiny_20_HOM,0.34292886
thorough,P,word2vec_tiny_20_HOM,0.31617373
level,P,word2vec_tiny_20_HOM,0.45696467
offer,P,word2vec_tiny_20_HOM,0.45240894
jerk,H,word2vec_tiny_20_HOM,0.3128689
accurate,P,word2vec_tiny_20_HOM,0.30213937
train,P,word2vec_tiny_20_HOM,0.40529773
dart,P,word2vec_tiny_20_HOM,0.40741456
insecure,P,word2vec_tiny_20_HOM,0.15349999
nibble,P,word2vec_tiny_20_HOM,0.45150638
bacon,M,word2vec_tiny_20_HOM,0.3280307
cope,H,word2vec_tiny_20_HOM,0.26877338
ballet,P,word2vec_tiny_20_HOM,0.43960294
soak,P,word2vec_tiny_20_HOM,0.48574826
steady,P,word2vec_tiny_20_HOM,0.53583
perfume,P,word2vec_tiny_20_HOM,0.46951404
patient,P,word2vec_tiny_20_HOM,0.5047117
barefoot,M,word2vec_tiny_20_HOM,0.3622881
stale,P,word2vec_tiny_20_HOM,0.27573994
invade,P,word2vec_tiny_20_HOM,0.1701517
fry,H,word2vec_tiny_20_HOM,0.26133227
fetch,P,word2vec_tiny_20_HOM,0.5075337
stressful,M,word2vec_tiny_20_HOM,0.18668711
fabulous,P,word2vec_tiny_20_HOM,0.36282298
