word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_40_HYP,0.37984484
pirate,P,word2vec_tiny_40_HYP,0.44157586
gasoline,M,word2vec_tiny_40_HYP,0.3642654
gopher,P,word2vec_tiny_40_HYP,0.34450585
substance,P,word2vec_tiny_40_HYP,0.3360278
strap,P,word2vec_tiny_40_HYP,0.44263938
pitch,H,word2vec_tiny_40_HYP,0.47795093
countdown,P,word2vec_tiny_40_HYP,0.32115555
pink,H,word2vec_tiny_40_HYP,0.44986448
perky,M,word2vec_tiny_40_HYP,0.4074411
fearless,M,word2vec_tiny_40_HYP,0.3430318
lotion,P,word2vec_tiny_40_HYP,0.4570093
annoy,P,word2vec_tiny_40_HYP,0.37148216
hoop,P,word2vec_tiny_40_HYP,0.44540325
doorman,M,word2vec_tiny_40_HYP,0.29234502
cookie,P,word2vec_tiny_40_HYP,0.3841846
romantic,P,word2vec_tiny_40_HYP,0.23741288
square,P,word2vec_tiny_40_HYP,0.4737289
vibration,P,word2vec_tiny_40_HYP,0.3227951
spacious,P,word2vec_tiny_40_HYP,0.37825096
toilet,P,word2vec_tiny_40_HYP,0.4672022
accompany,P,word2vec_tiny_40_HYP,0.29347825
wildlife,M,word2vec_tiny_40_HYP,0.36063996
speech,P,word2vec_tiny_40_HYP,0.38100755
household,P,word2vec_tiny_40_HYP,0.25764886
lend,P,word2vec_tiny_40_HYP,0.5264742
attack,P,word2vec_tiny_40_HYP,0.4433071
cone,P,word2vec_tiny_40_HYP,0.44956714
rope,P,word2vec_tiny_40_HYP,0.4336191
agreement,P,word2vec_tiny_40_HYP,0.4522343
unable,M,word2vec_tiny_40_HYP,0.41071376
gracious,P,word2vec_tiny_40_HYP,0.28112894
hind,H,word2vec_tiny_40_HYP,0.46296722
park,P,word2vec_tiny_40_HYP,0.525893
detector,P,word2vec_tiny_40_HYP,0.35447994
distance,P,word2vec_tiny_40_HYP,0.44425476
drum,P,word2vec_tiny_40_HYP,0.39943072
accident,P,word2vec_tiny_40_HYP,0.5713818
moon,P,word2vec_tiny_40_HYP,0.43644726
restless,P,word2vec_tiny_40_HYP,0.4654731
reality,P,word2vec_tiny_40_HYP,0.37896127
equal,P,word2vec_tiny_40_HYP,0.432457
buoy,P,word2vec_tiny_40_HYP,0.37147442
regain,P,word2vec_tiny_40_HYP,0.31480047
pudding,P,word2vec_tiny_40_HYP,0.2684544
wing,P,word2vec_tiny_40_HYP,0.5012717
greedy,P,word2vec_tiny_40_HYP,0.47817105
hoof,P,word2vec_tiny_40_HYP,0.46885917
poorly,P,word2vec_tiny_40_HYP,0.39268267
mink,P,word2vec_tiny_40_HYP,0.34131718
plumber,P,word2vec_tiny_40_HYP,0.46087903
toaster,H,word2vec_tiny_40_HYP,0.4568647
disposal,P,word2vec_tiny_40_HYP,0.209904
pounce,P,word2vec_tiny_40_HYP,0.517981
pleasant,P,word2vec_tiny_40_HYP,0.40377808
janitor,M,word2vec_tiny_40_HYP,0.3839324
selfish,P,word2vec_tiny_40_HYP,0.46758044
cloak,P,word2vec_tiny_40_HYP,0.44387937
honor,P,word2vec_tiny_40_HYP,0.34148452
continue,P,word2vec_tiny_40_HYP,0.49239242
fright,P,word2vec_tiny_40_HYP,0.3121114
panic,P,word2vec_tiny_40_HYP,0.5244284
joker,P,word2vec_tiny_40_HYP,0.42045107
bug,P,word2vec_tiny_40_HYP,0.41820243
plaster,P,word2vec_tiny_40_HYP,0.3514234
poise,P,word2vec_tiny_40_HYP,0.23654005
