word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_20_HYP,0.21753919,0.2698487,0.26596862,0.3310256,0.28636494,0.35664645
aristocrat,P,word2vec_recipe_20_HYP,0.16845118,0.20694633,0.20289133,0.22571424,0.21529384,0.23429488
novelty,P,word2vec_recipe_20_HYP,0.14800857,0.17403893,0.18324226,0.22343603,0.19912983,0.2470718
pirate,P,word2vec_recipe_20_HYP,0.21656597,0.225537,0.24627681,0.24871665,0.25878456,0.25347856
gasoline,M,word2vec_recipe_20_HYP,0.12257694,0.13309132,0.14640868,0.16080633,0.1569166,0.17376597
fringe,P,word2vec_recipe_20_HYP,0.18141222,0.20600912,0.22184516,0.24775872,0.24084198,0.27186996
corral,P,word2vec_recipe_20_HYP,0.2994702,0.25340283,0.33115387,0.25840735,0.34305537,0.27208912
gopher,P,word2vec_recipe_20_HYP,0.19622344,0.21493843,0.22068794,0.24083295,0.23134159,0.24877197
substance,P,word2vec_recipe_20_HYP,0.30053356,0.32082692,0.35593677,0.34375295,0.37656265,0.34415808
flannel,P,word2vec_recipe_20_HYP,0.32555282,0.20629093,0.37412834,0.22859165,0.38940063,0.24294929
strap,P,word2vec_recipe_20_HYP,0.23901883,0.20684679,0.28943408,0.24689993,0.3118495,0.2759831
courtesy,P,word2vec_recipe_20_HYP,0.31531566,0.25656378,0.36079288,0.26087397,0.37858278,0.2666041
pitch,H,word2vec_recipe_20_HYP,0.33688805,0.308033,0.39480492,0.37339026,0.41551048,0.38710582
countdown,P,word2vec_recipe_20_HYP,0.29276732,0.22299615,0.32442987,0.2630088,0.33652225,0.27212813
fiend,P,word2vec_recipe_20_HYP,0.1658088,0.12724467,0.19153337,0.14855911,0.20189892,0.15636227
generic,P,word2vec_recipe_20_HYP,0.2393053,0.20650841,0.2749779,0.23760654,0.29000518,0.23806682
marijuana,M,word2vec_recipe_20_HYP,0.23513548,0.28468552,0.26694047,0.30819014,0.28111064,0.31404707
pink,H,word2vec_recipe_20_HYP,0.36398622,0.4239893,0.4875685,0.52496976,0.5254527,0.5299877
perky,M,word2vec_recipe_20_HYP,0.2872838,0.2544755,0.32546797,0.26416174,0.34006163,0.2768689
society,P,word2vec_recipe_20_HYP,0.15916519,0.14812917,0.18428226,0.1670169,0.19547257,0.18492974
fearless,M,word2vec_recipe_20_HYP,0.17413983,0.14968307,0.19912061,0.16762054,0.20966405,0.1739444
lotion,P,word2vec_recipe_20_HYP,0.2618127,0.24022688,0.3160896,0.3035585,0.34063506,0.32674366
hoop,P,word2vec_recipe_20_HYP,0.2792356,0.22707504,0.31176668,0.26568928,0.3256613,0.27529702
cookie,P,word2vec_recipe_20_HYP,0.30319935,0.32211927,0.36368984,0.33911103,0.39002305,0.37441066
etiquette,M,word2vec_recipe_20_HYP,0.10628524,0.108683914,0.12565129,0.14063716,0.13480747,0.15049158
romantic,P,word2vec_recipe_20_HYP,0.20799546,0.25496778,0.24626318,0.2617235,0.26205403,0.26624113
square,P,word2vec_recipe_20_HYP,0.26314622,0.30347094,0.32033184,0.31781602,0.34429786,0.33947682
vibration,P,word2vec_recipe_20_HYP,0.13421077,0.16716823,0.15570745,0.19342174,0.16488019,0.20117846
isolate,P,word2vec_recipe_20_HYP,0.21161303,0.19661462,0.23906441,0.11360339,0.24861944,0.100211486
spacious,P,word2vec_recipe_20_HYP,0.22483563,0.23921978,0.25960365,0.27449346,0.27360368,0.29192293
toilet,P,word2vec_recipe_20_HYP,0.19617793,0.22832265,0.24243952,0.28738442,0.26099885,0.30066317
southwest,P,word2vec_recipe_20_HYP,0.21062934,0.26862255,0.29593384,0.30824637,0.32037163,0.3059475
corpse,M,word2vec_recipe_20_HYP,0.15951885,0.17975785,0.19065805,0.18992928,0.20222026,0.1980762
publisher,P,word2vec_recipe_20_HYP,0.10022756,0.116490215,0.15427622,0.1707624,0.17728099,0.19805804
accompany,P,word2vec_recipe_20_HYP,0.28440756,0.39054012,0.38255337,0.4783148,0.41775483,0.48220113
wildlife,M,word2vec_recipe_20_HYP,0.16248989,0.15347289,0.192813,0.19395457,0.2052148,0.20954764
louse,P,word2vec_recipe_20_HYP,0.12432176,0.14466894,0.14661227,0.16802756,0.15552892,0.1781385
household,P,word2vec_recipe_20_HYP,0.24134517,0.17253861,0.27204308,0.1885276,0.2841152,0.19707157
lend,P,word2vec_recipe_20_HYP,0.22225538,0.2211587,0.27781585,0.26688102,0.30243978,0.2776393
despise,M,word2vec_recipe_20_HYP,0.08199928,0.09461798,0.101420954,0.12250808,0.110080145,0.13842088
attack,P,word2vec_recipe_20_HYP,0.28182393,0.25771254,0.32372838,0.29416752,0.3407523,0.30783495
cone,P,word2vec_recipe_20_HYP,0.27259144,0.26409557,0.323119,0.32061607,0.3465219,0.33594123
rope,P,word2vec_recipe_20_HYP,0.2351939,0.2983584,0.3218046,0.30954883,0.35220894,0.3198477
agreement,P,word2vec_recipe_20_HYP,0.28964558,0.23704763,0.33711898,0.24254148,0.35326403,0.23943599
unable,M,word2vec_recipe_20_HYP,0.26321205,0.252462,0.3092578,0.24123845,0.32559037,0.24370034
rainy,M,word2vec_recipe_20_HYP,0.28390378,0.29024962,0.34919927,0.32179564,0.37598178,0.3258324
gracious,P,word2vec_recipe_20_HYP,0.14257126,0.13535737,0.16706465,0.16050832,0.17744297,0.17341767
hind,H,word2vec_recipe_20_HYP,0.20675528,0.23568298,0.25311178,0.30625904,0.2787323,0.3399044
park,P,word2vec_recipe_20_HYP,0.28478482,0.22073056,0.31923157,0.23966785,0.33361542,0.25860888
detector,P,word2vec_recipe_20_HYP,0.17441288,0.19241394,0.21389875,0.1925721,0.22810413,0.20659925
armpit,M,word2vec_recipe_20_HYP,0.17874548,0.19691333,0.2153531,0.23557988,0.2304691,0.2514583
distance,P,word2vec_recipe_20_HYP,0.37178177,0.35493073,0.41759887,0.36635917,0.4351687,0.3841501
eager,M,word2vec_recipe_20_HYP,0.09743499,0.10473629,0.119411305,0.12927571,0.13076603,0.14365399
drum,P,word2vec_recipe_20_HYP,0.347165,0.30882266,0.39650056,0.35777044,0.41576958,0.36344346
accident,P,word2vec_recipe_20_HYP,0.18237671,0.14294332,0.2090357,0.14540036,0.22102177,0.16274107
moon,P,word2vec_recipe_20_HYP,0.34089646,0.36572555,0.40966406,0.37863463,0.43177986,0.39290246
pansy,P,word2vec_recipe_20_HYP,0.23566017,0.31516248,0.29219636,0.37619272,0.31568122,0.39065784
reality,P,word2vec_recipe_20_HYP,0.09806679,0.1054085,0.11597258,0.12294387,0.12561373,0.13679326
equal,P,word2vec_recipe_20_HYP,0.3292168,0.3768798,0.41283295,0.44785234,0.44169757,0.43190414
regain,P,word2vec_recipe_20_HYP,0.23400192,0.19548935,0.28014392,0.2477815,0.29845774,0.27443808
dominion,P,word2vec_recipe_20_HYP,0.13874567,0.12835434,0.16457826,0.14868386,0.17605335,0.16015154
pudding,P,word2vec_recipe_20_HYP,0.3409409,0.42367607,0.40371403,0.43402857,0.42757377,0.42209718
wing,P,word2vec_recipe_20_HYP,0.27168834,0.32467732,0.39558515,0.42306694,0.4415699,0.44730565
greedy,P,word2vec_recipe_20_HYP,0.12770402,0.116489656,0.15364462,0.13265735,0.16482887,0.14516407
hoof,P,word2vec_recipe_20_HYP,0.18360999,0.20720463,0.21780533,0.25521564,0.2311081,0.2782004
poorly,P,word2vec_recipe_20_HYP,0.11388071,0.11572113,0.1352486,0.13740517,0.14444824,0.14635247
