word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_30_HOM_HALF,0.22312124,0.26873037,0.2646274,0.32383263,0.28670502,0.3448036
aristocrat,P,word2vec_recipe_30_HOM_HALF,0.16839226,0.21755104,0.20680654,0.23918205,0.2204871,0.247883
novelty,P,word2vec_recipe_30_HOM_HALF,0.16043308,0.17867805,0.19465464,0.23000048,0.2091031,0.24095747
pirate,P,word2vec_recipe_30_HOM_HALF,0.2109396,0.2065805,0.24017231,0.2370753,0.2522073,0.24735865
gasoline,M,word2vec_recipe_30_HOM_HALF,0.12440638,0.14224364,0.14756553,0.16207714,0.15809605,0.17126857
fringe,P,word2vec_recipe_30_HOM_HALF,0.19125684,0.20527542,0.22843331,0.25018695,0.24681954,0.2657809
corral,P,word2vec_recipe_30_HOM_HALF,0.30301374,0.26499948,0.33408466,0.29204002,0.34564456,0.30282792
gopher,P,word2vec_recipe_30_HOM_HALF,0.2040855,0.2115044,0.23296486,0.23607369,0.24445622,0.24813916
substance,P,word2vec_recipe_30_HOM_HALF,0.29612374,0.3301855,0.35146904,0.34631905,0.37222913,0.35229206
flannel,P,word2vec_recipe_30_HOM_HALF,0.3487332,0.24221337,0.3933642,0.26080835,0.4080556,0.26453117
strap,P,word2vec_recipe_30_HOM_HALF,0.24056745,0.20219937,0.2895728,0.25472435,0.31024697,0.28392658
courtesy,P,word2vec_recipe_30_HOM_HALF,0.2977599,0.24635151,0.34579718,0.25327298,0.36453286,0.2578768
pitch,H,word2vec_recipe_30_HOM_HALF,0.33596185,0.3223677,0.39254677,0.36590078,0.41423142,0.37661058
countdown,P,word2vec_recipe_30_HOM_HALF,0.2870497,0.24857472,0.32192218,0.27139118,0.33326584,0.26719418
fiend,P,word2vec_recipe_30_HOM_HALF,0.14717864,0.120002314,0.16810198,0.1427156,0.17902611,0.15354148
generic,P,word2vec_recipe_30_HOM_HALF,0.24040106,0.22599548,0.28046542,0.24586406,0.29502535,0.24975908
marijuana,M,word2vec_recipe_30_HOM_HALF,0.2613985,0.280666,0.29458657,0.3385093,0.30964643,0.35497785
pink,H,word2vec_recipe_30_HOM_HALF,0.36672235,0.44031262,0.49034938,0.5250012,0.5289534,0.52212125
perky,M,word2vec_recipe_30_HOM_HALF,0.2836166,0.26850703,0.31958893,0.25715458,0.33374596,0.2581816
society,P,word2vec_recipe_30_HOM_HALF,0.15685984,0.14626507,0.17975226,0.16986604,0.19058944,0.1803919
fearless,M,word2vec_recipe_30_HOM_HALF,0.18926755,0.17498773,0.21386333,0.18363184,0.2238967,0.19347945
lotion,P,word2vec_recipe_30_HOM_HALF,0.25887483,0.24908088,0.31608757,0.31228334,0.339132,0.31562555
hoop,P,word2vec_recipe_30_HOM_HALF,0.27892426,0.24636807,0.3120788,0.27463895,0.3264142,0.29182306
cookie,P,word2vec_recipe_30_HOM_HALF,0.30850795,0.32449877,0.36651158,0.34805566,0.3912512,0.36523736
etiquette,M,word2vec_recipe_30_HOM_HALF,0.13904694,0.15549272,0.15874828,0.16784461,0.16711979,0.1781617
romantic,P,word2vec_recipe_30_HOM_HALF,0.21353729,0.25205192,0.2519326,0.26362473,0.26760304,0.26021004
square,P,word2vec_recipe_30_HOM_HALF,0.2684533,0.3065378,0.3250945,0.33068863,0.34883362,0.34593368
vibration,P,word2vec_recipe_30_HOM_HALF,0.14227338,0.15659761,0.16550541,0.17314622,0.17529476,0.18844122
isolate,P,word2vec_recipe_30_HOM_HALF,0.20786205,0.19789344,0.25154153,0.2605375,0.2671472,0.25489408
spacious,P,word2vec_recipe_30_HOM_HALF,0.23459032,0.2530471,0.26945704,0.2847785,0.28357342,0.296139
toilet,P,word2vec_recipe_30_HOM_HALF,0.18839674,0.23221657,0.2358244,0.28713968,0.25538307,0.29970348
