word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_40_HOM,0.21100867,0.24459633,0.25687596,0.30857128,0.2749047,0.32138458
aristocrat,P,word2vec_recipe_40_HOM,0.145489,0.15844285,0.17231442,0.18482445,0.18151833,0.19432302
novelty,P,word2vec_recipe_40_HOM,0.14901692,0.1721976,0.18731147,0.22876392,0.20366871,0.2537247
pirate,P,word2vec_recipe_40_HOM,0.21170583,0.22696503,0.24175206,0.24733716,0.25449097,0.24711303
gasoline,M,word2vec_recipe_40_HOM,0.12748042,0.13053527,0.15083195,0.15878709,0.15943508,0.16620286
fringe,P,word2vec_recipe_40_HOM,0.18458493,0.20496579,0.22092217,0.24685864,0.23778477,0.26998705
corral,P,word2vec_recipe_40_HOM,0.30150524,0.2759107,0.33718562,0.2783977,0.35021105,0.29175147
gopher,P,word2vec_recipe_40_HOM,0.21305159,0.21436107,0.24191064,0.24487944,0.2537253,0.25043646
substance,P,word2vec_recipe_40_HOM,0.29168817,0.3237008,0.34752128,0.33584967,0.36891896,0.35671857
flannel,P,word2vec_recipe_40_HOM,0.33155257,0.215309,0.37885517,0.24242984,0.39371473,0.24990627
strap,P,word2vec_recipe_40_HOM,0.247762,0.22093727,0.2981087,0.25994992,0.3193453,0.2792933
courtesy,P,word2vec_recipe_40_HOM,0.29330808,0.24046005,0.3360265,0.24211805,0.35469872,0.25551564
pitch,H,word2vec_recipe_40_HOM,0.35280043,0.32580712,0.40876347,0.38298467,0.43058684,0.39664528
countdown,P,word2vec_recipe_40_HOM,0.26787105,0.23232876,0.30547017,0.26107943,0.31861535,0.26315933
fiend,P,word2vec_recipe_40_HOM,0.15203823,0.120091304,0.17743793,0.1409122,0.1877759,0.15221813
generic,P,word2vec_recipe_40_HOM,0.23868677,0.23155606,0.27650598,0.24061836,0.29087502,0.23202962
marijuana,M,word2vec_recipe_40_HOM,0.2601208,0.28480908,0.30044812,0.34434405,0.31553453,0.3575709
pink,H,word2vec_recipe_40_HOM,0.35007542,0.41917923,0.47460675,0.50517523,0.51464665,0.508026
perky,M,word2vec_recipe_40_HOM,0.3080693,0.27184898,0.3452526,0.29092333,0.35857686,0.28872418
society,P,word2vec_recipe_40_HOM,0.15743555,0.14519735,0.1827037,0.1699394,0.19380943,0.18116502
fearless,M,word2vec_recipe_40_HOM,0.1920416,0.16507457,0.21405181,0.17793831,0.22282246,0.18170871
lotion,P,word2vec_recipe_40_HOM,0.2611044,0.2375204,0.31607988,0.30211097,0.339882,0.3219311
hoop,P,word2vec_recipe_40_HOM,0.26897413,0.22305892,0.30298653,0.26669323,0.31606007,0.2854763
cookie,P,word2vec_recipe_40_HOM,0.3096833,0.3300364,0.3688409,0.33991677,0.3932996,0.38240713
etiquette,M,word2vec_recipe_40_HOM,0.11611678,0.13463117,0.13717848,0.1466552,0.14638415,0.15987249
romantic,P,word2vec_recipe_40_HOM,0.22131562,0.26154816,0.26043043,0.2804874,0.27572408,0.27316502
square,P,word2vec_recipe_40_HOM,0.26246482,0.30040473,0.31748334,0.30508503,0.34432015,0.33267608
vibration,P,word2vec_recipe_40_HOM,0.14316818,0.16044733,0.1616401,0.19272454,0.16998748,0.19460578
isolate,P,word2vec_recipe_40_HOM,0.25360635,0.22541107,0.29937345,0.30571246,0.31596422,0.3272263
spacious,P,word2vec_recipe_40_HOM,0.21465273,0.22318417,0.24808364,0.2710519,0.26293507,0.28826362
toilet,P,word2vec_recipe_40_HOM,0.20642579,0.24238037,0.24896374,0.29807517,0.27010286,0.3130318
southwest,P,word2vec_recipe_40_HOM,0.22523768,0.2804866,0.30875573,0.3126211,0.33330604,0.30772632
corpse,M,word2vec_recipe_40_HOM,0.15720785,0.17264225,0.19050822,0.19217765,0.20213753,0.20089981
publisher,P,word2vec_recipe_40_HOM,0.10589443,0.1172509,0.16164492,0.17701468,0.18466382,0.19975595
accompany,P,word2vec_recipe_40_HOM,0.27988583,0.39529052,0.37879708,0.46980265,0.4141474,0.4748558
wildlife,M,word2vec_recipe_40_HOM,0.15301433,0.16346051,0.18100773,0.19292341,0.19336885,0.19836205
louse,P,word2vec_recipe_40_HOM,0.13299009,0.1398021,0.15691355,0.16442381,0.16762143,0.18035124
household,P,word2vec_recipe_40_HOM,0.22856185,0.16817835,0.2582071,0.19531468,0.26975977,0.19427784
lend,P,word2vec_recipe_40_HOM,0.23146537,0.22072607,0.28479725,0.27417403,0.307942,0.28820947
despise,M,word2vec_recipe_40_HOM,0.07662528,0.0852206,0.09758353,0.114046276,0.10776019,0.1298503
attack,P,word2vec_recipe_40_HOM,0.27262503,0.22092086,0.31741893,0.27781767,0.33287406,0.28969282
cone,P,word2vec_recipe_40_HOM,0.26890576,0.24706315,0.32383084,0.31804183,0.34759668,0.3336303
rope,P,word2vec_recipe_40_HOM,0.23557417,0.30789283,0.32464463,0.33189812,0.35501835,0.34057325
agreement,P,word2vec_recipe_40_HOM,0.2830231,0.28301454,0.3307161,0.25626335,0.3466163,0.26009616
unable,M,word2vec_recipe_40_HOM,0.26338094,0.22470833,0.3079056,0.24377021,0.32304722,0.24788603
rainy,M,word2vec_recipe_40_HOM,0.28822568,0.28231916,0.35531673,0.3234169,0.38263658,0.33125776
gracious,P,word2vec_recipe_40_HOM,0.17758182,0.16659653,0.20062631,0.18749122,0.210598,0.19743767
hind,H,word2vec_recipe_40_HOM,0.21618187,0.22139393,0.2694001,0.31264982,0.2955277,0.34480116
park,P,word2vec_recipe_40_HOM,0.28839594,0.22785798,0.32466334,0.2586894,0.3391973,0.2683687
detector,P,word2vec_recipe_40_HOM,0.15552798,0.16713592,0.18990177,0.18355417,0.20257035,0.19271284
armpit,M,word2vec_recipe_40_HOM,0.17330131,0.19269706,0.21116443,0.23307472,0.22744595,0.25137419
distance,P,word2vec_recipe_40_HOM,0.37526977,0.36738357,0.42163622,0.37510216,0.43637627,0.38659889
eager,M,word2vec_recipe_40_HOM,0.102294706,0.10844216,0.12263936,0.12405724,0.13200514,0.1377682
drum,P,word2vec_recipe_40_HOM,0.362328,0.3254061,0.4164109,0.3746475,0.4378065,0.39281437
accident,P,word2vec_recipe_40_HOM,0.1829381,0.15207888,0.20621836,0.15280178,0.2183057,0.16699472
moon,P,word2vec_recipe_40_HOM,0.3333176,0.35176155,0.4016096,0.37318325,0.4230497,0.38257617
pansy,P,word2vec_recipe_40_HOM,0.22088847,0.28533584,0.28461823,0.3714267,0.31065482,0.39171815
reality,P,word2vec_recipe_40_HOM,0.1090495,0.10976278,0.12723756,0.12385264,0.13616152,0.13488042
equal,P,word2vec_recipe_40_HOM,0.33092803,0.3603759,0.41290748,0.42457983,0.44030267,0.43145078
regain,P,word2vec_recipe_40_HOM,0.22525463,0.1909032,0.26670912,0.24485427,0.28433225,0.26088044
dominion,P,word2vec_recipe_40_HOM,0.15325965,0.14259541,0.18088946,0.15909992,0.1914593,0.16796842
pudding,P,word2vec_recipe_40_HOM,0.34660417,0.4421391,0.40453652,0.4309707,0.42918563,0.42133906
wing,P,word2vec_recipe_40_HOM,0.27547574,0.31657046,0.3944774,0.42876133,0.43981406,0.45477983
greedy,P,word2vec_recipe_40_HOM,0.13256277,0.11204916,0.16181883,0.13173777,0.17448568,0.14705993
hoof,P,word2vec_recipe_40_HOM,0.17362683,0.21207252,0.20415018,0.25224838,0.21691833,0.2622641
poorly,P,word2vec_recipe_40_HOM,0.10605957,0.11593292,0.1266841,0.13330588,0.13614859,0.14512308
mink,P,word2vec_recipe_40_HOM,0.20692977,0.22728626,0.23729448,0.2776069,0.24985285,0.29679295
plumber,P,word2vec_recipe_40_HOM,0.113409914,0.116282806,0.1299881,0.13441513,0.13851549,0.1480444
toaster,H,word2vec_recipe_40_HOM,0.37809843,0.46704292,0.45434585,0.51338375,0.48415986,0.51695853
disposal,P,word2vec_recipe_40_HOM,0.22237238,0.26433223,0.27103403,0.29998076,0.28998885,0.30909938
pleasant,P,word2vec_recipe_40_HOM,0.21968599,0.21840408,0.27182055,0.28529367,0.29473576,0.30685228
airtight,P,word2vec_recipe_40_HOM,0.28297523,0.3434237,0.40593278,0.40164322,0.4511412,0.43469948
cancer,P,word2vec_recipe_40_HOM,0.15778673,0.14231357,0.20828412,0.17994173,0.22696152,0.20136379
critical,P,word2vec_recipe_40_HOM,0.25211912,0.24010414,0.3031383,0.246152,0.3191355,0.24022178
cloak,P,word2vec_recipe_40_HOM,0.17646754,0.17998709,0.2067872,0.21281494,0.22014892,0.22906953
honor,P,word2vec_recipe_40_HOM,0.20664063,0.17483269,0.23273079,0.18839057,0.24469143,0.20195293
continue,P,word2vec_recipe_40_HOM,0.40014774,0.43838456,0.4744475,0.41879648,0.49584746,0.39603418
placement,P,word2vec_recipe_40_HOM,0.28311822,0.29985437,0.33288682,0.33507743,0.35108304,0.32143912
panic,P,word2vec_recipe_40_HOM,0.25172037,0.26740232,0.30236247,0.27343577,0.3205395,0.26527083
rotation,P,word2vec_recipe_40_HOM,0.28087336,0.29297322,0.32445312,0.30050868,0.34175518,0.3090629
bug,P,word2vec_recipe_40_HOM,0.27947614,0.27722636,0.3271668,0.322819,0.34603694,0.33859375
plaster,P,word2vec_recipe_40_HOM,0.26445204,0.27266294,0.3105142,0.3301129,0.32912156,0.34291664
territory,P,word2vec_recipe_40_HOM,0.16042924,0.1460792,0.18678638,0.16408852,0.197274,0.17203902
infection,P,word2vec_recipe_40_HOM,0.13397983,0.14112806,0.16697998,0.17697129,0.18350664,0.19287086
heater,P,word2vec_recipe_40_HOM,0.31059211,0.31159365,0.35666373,0.34631792,0.37777722,0.36912894
tailor,P,word2vec_recipe_40_HOM,0.13636252,0.16077782,0.16630797,0.17733872,0.17963505,0.18877685
folder,P,word2vec_recipe_40_HOM,0.21363226,0.20652784,0.24842648,0.25542036,0.2644287,0.27104437
various,P,word2vec_recipe_40_HOM,0.32316542,0.36180896,0.38681844,0.39721826,0.40892667,0.38421065
assure,P,word2vec_recipe_40_HOM,0.361118,0.3827833,0.43915448,0.38612914,0.46126443,0.36975148
green,P,word2vec_recipe_40_HOM,0.2928906,0.29999325,0.35115796,0.33415493,0.37441003,0.35099676
sweaty,P,word2vec_recipe_40_HOM,0.24231336,0.2146703,0.28557238,0.2533673,0.3023097,0.27510735
bogus,M,word2vec_recipe_40_HOM,0.11197649,0.112516075,0.13281988,0.13645272,0.14219205,0.15161091
drip,P,word2vec_recipe_40_HOM,0.40002137,0.42907673,0.47503468,0.47474596,0.49994758,0.4838243
horseback,P,word2vec_recipe_40_HOM,0.3104042,0.282774,0.3533514,0.29567066,0.36799824,0.30244893
angle,H,word2vec_recipe_40_HOM,0.29793546,0.34002137,0.3842386,0.3555382,0.41257226,0.34797597
burp,P,word2vec_recipe_40_HOM,0.3136216,0.3424184,0.35889676,0.37395585,0.37735116,0.3726819
premature,M,word2vec_recipe_40_HOM,0.18245073,0.18679856,0.21737343,0.21792437,0.23310632,0.22306572
emphasize,P,word2vec_recipe_40_HOM,0.16704783,0.13132684,0.19077681,0.1548807,0.20138589,0.16801645
crook,P,word2vec_recipe_40_HOM,0.3229863,0.28183898,0.36803228,0.33690605,0.3834655,0.35660502
cardiac,P,word2vec_recipe_40_HOM,0.1323717,0.15108608,0.15042537,0.15967356,0.1588822,0.17080915
newborn,P,word2vec_recipe_40_HOM,0.14204343,0.16236286,0.16550046,0.18619226,0.17572471,0.1941236
