word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
keg,P,word2vec_recipe_40_HYP_HALF,0.21761493,0.2717096,0.26441762,0.32501033,0.2864998,0.34839615
aristocrat,P,word2vec_recipe_40_HYP_HALF,0.17291048,0.2218979,0.21418399,0.2360043,0.2271772,0.2465469
novelty,P,word2vec_recipe_40_HYP_HALF,0.1567214,0.1711302,0.18902634,0.23253798,0.20372574,0.2493919
pirate,P,word2vec_recipe_40_HYP_HALF,0.20585842,0.21693276,0.2334457,0.24128799,0.24466188,0.25064203
gasoline,M,word2vec_recipe_40_HYP_HALF,0.1274443,0.13182299,0.14632966,0.15753488,0.15533043,0.16413715
fringe,P,word2vec_recipe_40_HYP_HALF,0.19225551,0.19868611,0.22982061,0.24933343,0.24659795,0.27024457
corral,P,word2vec_recipe_40_HYP_HALF,0.29779425,0.2516547,0.33672473,0.2683052,0.3500994,0.27734223
gopher,P,word2vec_recipe_40_HYP_HALF,0.19049636,0.19592272,0.21778965,0.22739063,0.22884674,0.23923261
substance,P,word2vec_recipe_40_HYP_HALF,0.3001185,0.3247002,0.35575667,0.34789404,0.3768257,0.35752925
flannel,P,word2vec_recipe_40_HYP_HALF,0.3335898,0.22368819,0.37904087,0.23599644,0.3957257,0.24712901
strap,P,word2vec_recipe_40_HYP_HALF,0.22442377,0.20512111,0.27453792,0.24487916,0.29705298,0.26952344
courtesy,P,word2vec_recipe_40_HYP_HALF,0.29397753,0.24932405,0.34482273,0.26270926,0.3632489,0.2689064
pitch,H,word2vec_recipe_40_HYP_HALF,0.3291377,0.319749,0.38855022,0.3801138,0.4106094,0.38421646
countdown,P,word2vec_recipe_40_HYP_HALF,0.28768846,0.25795707,0.32080266,0.26048523,0.332834,0.26982608
fiend,P,word2vec_recipe_40_HYP_HALF,0.14963147,0.12038494,0.17462417,0.14328554,0.18573418,0.15586984
generic,P,word2vec_recipe_40_HYP_HALF,0.24369287,0.23195167,0.27904034,0.24452202,0.2930872,0.24141818
marijuana,M,word2vec_recipe_40_HYP_HALF,0.258146,0.29509962,0.29266632,0.32877836,0.30679953,0.33590397
pink,H,word2vec_recipe_40_HYP_HALF,0.36517936,0.4305511,0.48728058,0.50780857,0.52663565,0.5162919
perky,M,word2vec_recipe_40_HYP_HALF,0.28261107,0.23828717,0.3196566,0.25684,0.3342342,0.25398225
society,P,word2vec_recipe_40_HYP_HALF,0.1662617,0.15361057,0.19289753,0.16595577,0.20527719,0.18129365
fearless,M,word2vec_recipe_40_HYP_HALF,0.1883971,0.15390432,0.21096535,0.1708862,0.22005518,0.17895865
lotion,P,word2vec_recipe_40_HYP_HALF,0.25006515,0.24435233,0.30332428,0.29550597,0.3294945,0.32581502
hoop,P,word2vec_recipe_40_HYP_HALF,0.27583665,0.2637349,0.30858552,0.28285298,0.32273751,0.2974488
cookie,P,word2vec_recipe_40_HYP_HALF,0.3079395,0.31905404,0.36637992,0.33970594,0.39256468,0.3737478
etiquette,M,word2vec_recipe_40_HYP_HALF,0.13456836,0.15154718,0.1546291,0.1740775,0.16514331,0.18622518
romantic,P,word2vec_recipe_40_HYP_HALF,0.20927802,0.25205597,0.24864294,0.27746332,0.26418996,0.27754337
square,P,word2vec_recipe_40_HYP_HALF,0.2658907,0.31074703,0.32658917,0.32251975,0.35109165,0.34119844
vibration,P,word2vec_recipe_40_HYP_HALF,0.14056285,0.15841731,0.16405985,0.18610962,0.1734609,0.19024904
isolate,P,word2vec_recipe_40_HYP_HALF,0.21071959,0.21338311,0.24190255,0.16660382,0.25353944,0.15221064
spacious,P,word2vec_recipe_40_HYP_HALF,0.22208314,0.23705955,0.260644,0.28358707,0.2763699,0.29333243
toilet,P,word2vec_recipe_40_HYP_HALF,0.19039278,0.23316954,0.23866904,0.29728416,0.25850376,0.30644467
southwest,P,word2vec_recipe_40_HYP_HALF,0.2148476,0.28438923,0.2945872,0.3041222,0.31907022,0.29865482
corpse,M,word2vec_recipe_40_HYP_HALF,0.15420866,0.17186314,0.1840526,0.17594072,0.19609635,0.18706124
publisher,P,word2vec_recipe_40_HYP_HALF,0.09985509,0.12322979,0.15058506,0.17512918,0.17223404,0.19829331
accompany,P,word2vec_recipe_40_HYP_HALF,0.28003806,0.3880087,0.38000575,0.47438,0.41566166,0.47944027
wildlife,M,word2vec_recipe_40_HYP_HALF,0.15051936,0.15492052,0.1760466,0.18529746,0.18687557,0.19946347
louse,P,word2vec_recipe_40_HYP_HALF,0.13924125,0.14325495,0.16096,0.16946925,0.16995087,0.18422309
household,P,word2vec_recipe_40_HYP_HALF,0.24420372,0.19305277,0.27228552,0.18907267,0.2834223,0.19678685
lend,P,word2vec_recipe_40_HYP_HALF,0.21977982,0.21100649,0.27416566,0.2631601,0.2971621,0.28617647
despise,M,word2vec_recipe_40_HYP_HALF,0.08346249,0.09146814,0.10163576,0.11961233,0.11146657,0.13495988
attack,P,word2vec_recipe_40_HYP_HALF,0.27801836,0.23331675,0.32058713,0.28825143,0.3360296,0.29925153
cone,P,word2vec_recipe_40_HYP_HALF,0.27407423,0.25830063,0.32905445,0.3127492,0.35162058,0.33875728
rope,P,word2vec_recipe_40_HYP_HALF,0.23719616,0.29605174,0.3278242,0.32774407,0.35920426,0.34851217
agreement,P,word2vec_recipe_40_HYP_HALF,0.27167636,0.23466335,0.32650897,0.24064353,0.3443947,0.24453098
unable,M,word2vec_recipe_40_HYP_HALF,0.26488003,0.2541147,0.3106048,0.23980422,0.32640228,0.24638511
rainy,M,word2vec_recipe_40_HYP_HALF,0.28249305,0.28171468,0.35058945,0.31617987,0.37800807,0.33489758
gracious,P,word2vec_recipe_40_HYP_HALF,0.16498177,0.15622687,0.18931286,0.16781294,0.20056267,0.18277876
hind,H,word2vec_recipe_40_HYP_HALF,0.21356945,0.24576175,0.26276007,0.3160263,0.2874868,0.3480941
park,P,word2vec_recipe_40_HYP_HALF,0.2804348,0.22281387,0.32224986,0.25374866,0.33633927,0.26176545
detector,P,word2vec_recipe_40_HYP_HALF,0.1615866,0.18778904,0.19544865,0.1911086,0.20960663,0.19340973
armpit,M,word2vec_recipe_40_HYP_HALF,0.17439984,0.20178765,0.21246104,0.24313432,0.22971128,0.2557135
distance,P,word2vec_recipe_40_HYP_HALF,0.36345917,0.36416614,0.41047513,0.36956605,0.42628044,0.37721178
eager,M,word2vec_recipe_40_HYP_HALF,0.10227201,0.10423955,0.12523784,0.13122238,0.13522707,0.14578666
drum,P,word2vec_recipe_40_HYP_HALF,0.36533347,0.31991827,0.41238934,0.37565142,0.43174174,0.39035636
accident,P,word2vec_recipe_40_HYP_HALF,0.17203443,0.13028993,0.200114,0.15211996,0.21238022,0.16080317
moon,P,word2vec_recipe_40_HYP_HALF,0.33731404,0.34691483,0.40306672,0.38024834,0.42485648,0.38489607
pansy,P,word2vec_recipe_40_HYP_HALF,0.2279146,0.28899372,0.29822427,0.38896248,0.322716,0.40015697
reality,P,word2vec_recipe_40_HYP_HALF,0.10380496,0.10358868,0.12162959,0.12576361,0.12977606,0.13914712
equal,P,word2vec_recipe_40_HYP_HALF,0.33097637,0.37946284,0.41932026,0.446302,0.4489681,0.44496715
regain,P,word2vec_recipe_40_HYP_HALF,0.22788306,0.2011959,0.271322,0.24527906,0.28897968,0.26562622
dominion,P,word2vec_recipe_40_HYP_HALF,0.14696555,0.12409554,0.17150804,0.14705418,0.18261567,0.16451482
pudding,P,word2vec_recipe_40_HYP_HALF,0.33812958,0.40857038,0.39753655,0.41132382,0.4206237,0.42151445
wing,P,word2vec_recipe_40_HYP_HALF,0.2676565,0.3246073,0.39280248,0.4313977,0.44027495,0.45381513
greedy,P,word2vec_recipe_40_HYP_HALF,0.13028683,0.107322216,0.1564962,0.13193658,0.16827343,0.14427735
hoof,P,word2vec_recipe_40_HYP_HALF,0.1881054,0.2064328,0.21784203,0.26359552,0.23179084,0.2814435
poorly,P,word2vec_recipe_40_HYP_HALF,0.10488701,0.10905662,0.1241464,0.12899365,0.1330613,0.13895391
mink,P,word2vec_recipe_40_HYP_HALF,0.20198533,0.20088278,0.22798751,0.24259757,0.24061735,0.26633748
plumber,P,word2vec_recipe_40_HYP_HALF,0.10779581,0.103072345,0.12709919,0.12982884,0.13656345,0.1409046
toaster,H,word2vec_recipe_40_HYP_HALF,0.36369285,0.43499365,0.448489,0.50728124,0.4776483,0.51458484
disposal,P,word2vec_recipe_40_HYP_HALF,0.23266344,0.26768374,0.28057882,0.31300664,0.30154392,0.31702822
pleasant,P,word2vec_recipe_40_HYP_HALF,0.23527539,0.22111723,0.28575736,0.29550192,0.30648693,0.30501607
airtight,P,word2vec_recipe_40_HYP_HALF,0.2747471,0.33760604,0.39375797,0.40042734,0.4412924,0.42329466
cancer,P,word2vec_recipe_40_HYP_HALF,0.1673327,0.1507819,0.20861542,0.18412262,0.22818778,0.19739178
critical,P,word2vec_recipe_40_HYP_HALF,0.24906898,0.22970797,0.29715335,0.23179832,0.31359547,0.23874858
cloak,P,word2vec_recipe_40_HYP_HALF,0.17448466,0.17374523,0.2041636,0.2078379,0.21685353,0.21115689
honor,P,word2vec_recipe_40_HYP_HALF,0.1963534,0.16106422,0.22573888,0.18841043,0.23861969,0.19653046
continue,P,word2vec_recipe_40_HYP_HALF,0.39338583,0.454356,0.46670645,0.39768833,0.48804855,0.3791673
placement,P,word2vec_recipe_40_HYP_HALF,0.28515324,0.32636833,0.33060247,0.3254291,0.34753188,0.3279829
panic,P,word2vec_recipe_40_HYP_HALF,0.25695115,0.26703015,0.29783964,0.2507264,0.3144862,0.25582236
rotation,P,word2vec_recipe_40_HYP_HALF,0.29816747,0.2792527,0.34245855,0.2873541,0.35934532,0.29485604
bug,P,word2vec_recipe_40_HYP_HALF,0.27546853,0.27598944,0.3239644,0.3268293,0.34186852,0.34230417
plaster,P,word2vec_recipe_40_HYP_HALF,0.26745862,0.2680843,0.3134819,0.32497662,0.33098274,0.3487386
territory,P,word2vec_recipe_40_HYP_HALF,0.15329388,0.13274686,0.17713983,0.16106427,0.18786395,0.17006606
infection,P,word2vec_recipe_40_HYP_HALF,0.13358167,0.1376049,0.17009267,0.17600073,0.18560785,0.19465576
heater,P,word2vec_recipe_40_HYP_HALF,0.29719612,0.2790864,0.34292948,0.35176268,0.36062518,0.3499083
tailor,P,word2vec_recipe_40_HYP_HALF,0.1414266,0.15727217,0.17135395,0.16915053,0.18310967,0.18311873
folder,P,word2vec_recipe_40_HYP_HALF,0.21927264,0.21984005,0.25481567,0.26055545,0.27061057,0.2762539
various,P,word2vec_recipe_40_HYP_HALF,0.3128218,0.35224196,0.37861228,0.398477,0.3996068,0.40026054
assure,P,word2vec_recipe_40_HYP_HALF,0.35141534,0.38520852,0.42688638,0.36446962,0.44748193,0.34749845
green,P,word2vec_recipe_40_HYP_HALF,0.28653485,0.29682416,0.35115197,0.3320523,0.375308,0.34433642
sweaty,P,word2vec_recipe_40_HYP_HALF,0.24021515,0.21666194,0.2815305,0.25071242,0.29860944,0.25827628
bogus,M,word2vec_recipe_40_HYP_HALF,0.12110438,0.12866734,0.14412946,0.15808721,0.15405916,0.16885354
drip,P,word2vec_recipe_40_HYP_HALF,0.40317804,0.41039196,0.4802136,0.47412622,0.5058806,0.47713378
