word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_10_HYP_HALF,0.32931405,0.34102538,0.37936628,0.38059348,0.40010953,0.3947236
pirate,P,word2vec_tiny_10_HYP_HALF,0.32018754,0.43390715,0.43058386,0.58071375,0.48256516,0.63539284
gasoline,M,word2vec_tiny_10_HYP_HALF,0.30000794,0.38470447,0.3513611,0.45040283,0.3819745,0.4864785
gopher,P,word2vec_tiny_10_HYP_HALF,0.29329586,0.34003943,0.34249875,0.3934294,0.362107,0.41841742
substance,P,word2vec_tiny_10_HYP_HALF,0.26744872,0.33076316,0.3305631,0.4450094,0.3601182,0.48004892
strap,P,word2vec_tiny_10_HYP_HALF,0.35222688,0.4360334,0.43969712,0.5573231,0.4769775,0.6063347
pitch,H,word2vec_tiny_10_HYP_HALF,0.3497665,0.46273914,0.4653488,0.6350868,0.5108842,0.6710896
countdown,P,word2vec_tiny_10_HYP_HALF,0.23143263,0.3005828,0.3123886,0.34250593,0.35007045,0.40171686
pink,H,word2vec_tiny_10_HYP_HALF,0.30298942,0.39967546,0.44095868,0.57456535,0.49396515,0.6078893
perky,M,word2vec_tiny_10_HYP_HALF,0.32630846,0.3482032,0.3745038,0.41648886,0.39458326,0.435952
fearless,M,word2vec_tiny_10_HYP_HALF,0.27879512,0.38234162,0.34604385,0.44086793,0.37485588,0.4658925
lotion,P,word2vec_tiny_10_HYP_HALF,0.3428125,0.45284316,0.45382023,0.6031075,0.4962609,0.64577806
annoy,P,word2vec_tiny_10_HYP_HALF,0.30600104,0.3576264,0.36695877,0.42127207,0.39677316,0.44260976
hoop,P,word2vec_tiny_10_HYP_HALF,0.31394115,0.43741414,0.4365332,0.58917546,0.4842454,0.64038604
doorman,M,word2vec_tiny_10_HYP_HALF,0.23082133,0.24172594,0.26028445,0.25601524,0.27370185,0.26310417
cookie,P,word2vec_tiny_10_HYP_HALF,0.26261637,0.31882024,0.3716854,0.4714171,0.42278633,0.5126125
romantic,P,word2vec_tiny_10_HYP_HALF,0.20299646,0.21554993,0.23898466,0.229269,0.2537907,0.24003235
square,P,word2vec_tiny_10_HYP_HALF,0.33320218,0.4661857,0.46637118,0.6302108,0.51144403,0.667619
vibration,P,word2vec_tiny_10_HYP_HALF,0.25885776,0.31785,0.3232369,0.40168753,0.35393733,0.4439019
spacious,P,word2vec_tiny_10_HYP_HALF,0.31139982,0.34831837,0.35880107,0.42778993,0.38128814,0.45281056
toilet,P,word2vec_tiny_10_HYP_HALF,0.3405857,0.47668678,0.46442246,0.6107575,0.5083306,0.65620685
accompany,P,word2vec_tiny_10_HYP_HALF,0.23896673,0.29168314,0.28202125,0.33647496,0.29772383,0.35266173
wildlife,M,word2vec_tiny_10_HYP_HALF,0.29734647,0.37353516,0.3546002,0.45372778,0.38677943,0.4871937
speech,P,word2vec_tiny_10_HYP_HALF,0.32369933,0.33874092,0.38027373,0.4219252,0.40657815,0.44110468
household,P,word2vec_tiny_10_HYP_HALF,0.23125787,0.21245648,0.26728925,0.25552043,0.28390616,0.27036646
lend,P,word2vec_tiny_10_HYP_HALF,0.38271493,0.50107133,0.51863605,0.65840167,0.57328326,0.68785965
attack,P,word2vec_tiny_10_HYP_HALF,0.34714842,0.3911725,0.44017392,0.47798106,0.47408515,0.5109788
cone,P,word2vec_tiny_10_HYP_HALF,0.30168885,0.37694755,0.44410023,0.5403372,0.4965476,0.6050244
rope,P,word2vec_tiny_10_HYP_HALF,0.28609324,0.41428444,0.42495087,0.5852115,0.47747663,0.6403591
agreement,P,word2vec_tiny_10_HYP_HALF,0.3722289,0.41451424,0.44879517,0.47738615,0.47481704,0.46630958
unable,M,word2vec_tiny_10_HYP_HALF,0.3333184,0.40570518,0.41597503,0.46621376,0.45024848,0.48281607
rainy,M,word2vec_tiny_10_HYP_HALF,0.3386476,0.4560199,0.4984309,0.6349834,0.55422854,0.6790425
gracious,P,word2vec_tiny_10_HYP_HALF,0.21261105,0.25024143,0.25513723,0.30772603,0.27566928,0.33485392
hind,H,word2vec_tiny_10_HYP_HALF,0.3801257,0.4798775,0.4613116,0.5516203,0.4929572,0.56834227
park,P,word2vec_tiny_10_HYP_HALF,0.38744083,0.5279932,0.51335573,0.65063673,0.56021994,0.6774191
detector,P,word2vec_tiny_10_HYP_HALF,0.28537744,0.3515143,0.35518867,0.44466436,0.38426617,0.4771017
distance,P,word2vec_tiny_10_HYP_HALF,0.375664,0.45353797,0.43359426,0.47569668,0.45618668,0.48704845
eager,M,word2vec_tiny_10_HYP_HALF,0.3900681,0.5202776,0.5374369,0.66212803,0.5858183,0.68693703
drum,P,word2vec_tiny_10_HYP_HALF,0.23045826,0.3086074,0.3891141,0.5241614,0.45242006,0.5845293
accident,P,word2vec_tiny_10_HYP_HALF,0.47755408,0.5771587,0.570448,0.65875286,0.5998728,0.6441127
moon,P,word2vec_tiny_10_HYP_HALF,0.2821427,0.396566,0.42729557,0.5598631,0.4813763,0.60182565
restless,P,word2vec_tiny_10_HYP_HALF,0.30324253,0.40863237,0.45290753,0.5677232,0.5278261,0.6584901
reality,P,word2vec_tiny_10_HYP_HALF,0.2989685,0.3230315,0.36592397,0.3860823,0.39207625,0.41263828
equal,P,word2vec_tiny_10_HYP_HALF,0.33232048,0.41720352,0.42162776,0.48864296,0.45174775,0.51390946
buoy,P,word2vec_tiny_10_HYP_HALF,0.27576306,0.31597003,0.3386237,0.40459493,0.3705082,0.44703126
regain,P,word2vec_tiny_10_HYP_HALF,0.27722034,0.29619545,0.31821534,0.35390568,0.33784866,0.37192354
pudding,P,word2vec_tiny_10_HYP_HALF,0.20556685,0.27211493,0.25473198,0.3258811,0.28604558,0.37025052
wing,P,word2vec_tiny_10_HYP_HALF,0.38874134,0.51180243,0.49658257,0.63346297,0.5412983,0.65971965
greedy,P,word2vec_tiny_10_HYP_HALF,0.3256274,0.39713585,0.4694353,0.5535246,0.51306987,0.58318216
hoof,P,word2vec_tiny_10_HYP_HALF,0.3693056,0.41176605,0.45613903,0.5297313,0.48851067,0.55322737
poorly,P,word2vec_tiny_10_HYP_HALF,0.32427526,0.36667863,0.38689926,0.4354024,0.41193473,0.4482366
mink,P,word2vec_tiny_10_HYP_HALF,0.30316487,0.31967565,0.34731877,0.3736049,0.3633957,0.38836753
plumber,P,word2vec_tiny_10_HYP_HALF,0.3520554,0.42408898,0.45047778,0.514787,0.48147705,0.5394492
toaster,H,word2vec_tiny_10_HYP_HALF,0.34480414,0.43833068,0.44082364,0.52586716,0.47714052,0.5606361
disposal,P,word2vec_tiny_10_HYP_HALF,0.16181809,0.17492145,0.19209002,0.20918101,0.20332365,0.2207463
pounce,P,word2vec_tiny_10_HYP_HALF,0.42608005,0.47718993,0.5052119,0.54843533,0.5344451,0.56446195
pleasant,P,word2vec_tiny_10_HYP_HALF,0.32808977,0.34356484,0.4052856,0.4613233,0.4323128,0.49229923
janitor,M,word2vec_tiny_10_HYP_HALF,0.32849902,0.3256843,0.39107606,0.4177286,0.41559997,0.43865594
selfish,P,word2vec_tiny_10_HYP_HALF,0.32215208,0.45189452,0.46175402,0.6246127,0.51589656,0.6445167
cloak,P,word2vec_tiny_10_HYP_HALF,0.3445807,0.4418697,0.432907,0.54742736,0.46678472,0.5743589
honor,P,word2vec_tiny_10_HYP_HALF,0.26327127,0.3327697,0.32356116,0.39669085,0.35341626,0.42615333
continue,P,word2vec_tiny_10_HYP_HALF,0.43884006,0.4497148,0.49413684,0.48659882,0.5114857,0.4922373
fright,P,word2vec_tiny_10_HYP_HALF,0.24862376,0.27807614,0.3173466,0.37483844,0.34805474,0.41417783
panic,P,word2vec_tiny_10_HYP_HALF,0.37454125,0.48877475,0.51595604,0.65540004,0.5660368,0.6908063
joker,P,word2vec_tiny_10_HYP_HALF,0.33487388,0.41715917,0.4066605,0.5030315,0.43414673,0.52633846
bug,P,word2vec_tiny_10_HYP_HALF,0.27585763,0.3444097,0.4126299,0.5485096,0.47419852,0.609555
plaster,P,word2vec_tiny_10_HYP_HALF,0.26201326,0.34234706,0.35494643,0.45006981,0.39420727,0.49130195
poise,P,word2vec_tiny_10_HYP_HALF,0.21816611,0.25018513,0.25311577,0.28126,0.26881236,0.2996113
territory,P,word2vec_tiny_10_HYP_HALF,0.31704742,0.3407495,0.3722661,0.41577935,0.39653066,0.44027954
infection,P,word2vec_tiny_10_HYP_HALF,0.28083485,0.33964935,0.3917283,0.4714289,0.4378579,0.5160646
selective,P,word2vec_tiny_10_HYP_HALF,0.15541072,0.16181017,0.18797712,0.19715267,0.20448495,0.21872829
heater,P,word2vec_tiny_10_HYP_HALF,0.3856843,0.4506258,0.4680754,0.57665604,0.50480443,0.5980936
tailor,P,word2vec_tiny_10_HYP_HALF,0.31315187,0.40091392,0.37821075,0.46521977,0.40357423,0.4781083
confront,P,word2vec_tiny_10_HYP_HALF,0.24728386,0.3263382,0.31603822,0.39394858,0.3477256,0.4268084
folder,P,word2vec_tiny_10_HYP_HALF,0.24168405,0.3239303,0.37783837,0.52448124,0.44718152,0.60375583
various,P,word2vec_tiny_10_HYP_HALF,0.3013408,0.40187538,0.37560523,0.4988039,0.40754935,0.52901584
green,P,word2vec_tiny_10_HYP_HALF,0.36229366,0.42652726,0.48472324,0.6432787,0.5295336,0.6850283
sweaty,P,word2vec_tiny_10_HYP_HALF,0.42686027,0.5300416,0.53138435,0.6335673,0.5663176,0.6554164
drip,P,word2vec_tiny_10_HYP_HALF,0.3509267,0.4197398,0.43780738,0.516655,0.47236264,0.5467476
horseback,P,word2vec_tiny_10_HYP_HALF,0.3004322,0.3591945,0.35235462,0.4045276,0.37129134,0.40985033
angle,H,word2vec_tiny_10_HYP_HALF,0.34342593,0.4076925,0.40775582,0.46572694,0.4338669,0.4963919
burp,P,word2vec_tiny_10_HYP_HALF,0.3210413,0.36190468,0.38871238,0.44387388,0.42300132,0.47610772
crook,P,word2vec_tiny_10_HYP_HALF,0.25492173,0.31458667,0.29878357,0.36407498,0.31676236,0.38274655
rosary,P,word2vec_tiny_10_HYP_HALF,0.19030216,0.19298798,0.22214705,0.23562893,0.23860496,0.24980947
newborn,P,word2vec_tiny_10_HYP_HALF,0.2525328,0.2680316,0.29223296,0.28600138,0.30672213,0.30123165
grenade,P,word2vec_tiny_10_HYP_HALF,0.31380504,0.3661438,0.35624635,0.3905524,0.3753846,0.39943227
frisky,M,word2vec_tiny_10_HYP_HALF,0.2623125,0.33078593,0.3325293,0.39892107,0.36334077,0.41673926
goose,P,word2vec_tiny_10_HYP_HALF,0.23196545,0.33913994,0.3742617,0.51805466,0.44584304,0.5987238
lag,P,word2vec_tiny_10_HYP_HALF,0.192289,0.18200321,0.21996336,0.22268967,0.23207462,0.23598632
anger,P,word2vec_tiny_10_HYP_HALF,0.29375118,0.3393444,0.37826303,0.41974849,0.41223076,0.45517036
burner,P,word2vec_tiny_10_HYP_HALF,0.2459416,0.3162024,0.3176965,0.4178681,0.3558807,0.46726474
terrain,M,word2vec_tiny_10_HYP_HALF,0.27036124,0.3591152,0.34005982,0.42966747,0.37040183,0.46331987
mercy,P,word2vec_tiny_10_HYP_HALF,0.3449542,0.38843688,0.40928322,0.44224483,0.4353794,0.45809248
shrimp,P,word2vec_tiny_10_HYP_HALF,0.19693665,0.2571485,0.3410353,0.45247325,0.4119136,0.5466091
ski,P,word2vec_tiny_10_HYP_HALF,0.34129,0.4402488,0.405013,0.48968515,0.43151444,0.49977767
stack,P,word2vec_tiny_10_HYP_HALF,0.3215783,0.427935,0.4670521,0.61203307,0.5156971,0.6567458
definition,P,word2vec_tiny_10_HYP_HALF,0.2523179,0.31073502,0.3267807,0.4043627,0.35826305,0.44455734
elephant,M,word2vec_tiny_10_HYP_HALF,0.24221098,0.31432763,0.3661652,0.47788036,0.42763394,0.5610997
injury,P,word2vec_tiny_10_HYP_HALF,0.2103612,0.29520926,0.29927346,0.39143607,0.3341825,0.4224978
computer,P,word2vec_tiny_10_HYP_HALF,0.29490256,0.4331556,0.40690997,0.5704805,0.46199852,0.62990975
