word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_1_HOM_HALF,0.32869226,0.37521783,0.37799808,0.3894683,0.39653412,0.39841047
pirate,P,word2vec_tiny_1_HOM_HALF,0.3166563,0.42907515,0.43272662,0.5856765,0.4863866,0.63973427
gasoline,M,word2vec_tiny_1_HOM_HALF,0.3064811,0.41424438,0.36930177,0.47196382,0.39775985,0.49711627
gopher,P,word2vec_tiny_1_HOM_HALF,0.29288307,0.33744118,0.34943673,0.39137492,0.3704177,0.41479638
substance,P,word2vec_tiny_1_HOM_HALF,0.2598472,0.3411789,0.32964012,0.44376,0.36059225,0.48351762
strap,P,word2vec_tiny_1_HOM_HALF,0.34098858,0.43504706,0.43940505,0.5619592,0.47890842,0.6063317
pitch,H,word2vec_tiny_1_HOM_HALF,0.35607594,0.45272475,0.47366548,0.6398127,0.51872224,0.6758184
countdown,P,word2vec_tiny_1_HOM_HALF,0.23570292,0.26585907,0.312275,0.3262193,0.34977,0.39292252
pink,H,word2vec_tiny_1_HOM_HALF,0.30580324,0.41642815,0.44518706,0.58245784,0.4979454,0.6186198
perky,M,word2vec_tiny_1_HOM_HALF,0.32332858,0.3493872,0.37639335,0.43395394,0.39793044,0.45793974
fearless,M,word2vec_tiny_1_HOM_HALF,0.2847924,0.35991654,0.34452534,0.4314232,0.37346146,0.4623
lotion,P,word2vec_tiny_1_HOM_HALF,0.34049553,0.44470543,0.45065227,0.6026418,0.49197862,0.6461601
annoy,P,word2vec_tiny_1_HOM_HALF,0.3253278,0.38832706,0.38335285,0.44124845,0.41093108,0.4587865
hoop,P,word2vec_tiny_1_HOM_HALF,0.31495842,0.43812642,0.43930295,0.59134495,0.48856747,0.64403236
doorman,M,word2vec_tiny_1_HOM_HALF,0.24598885,0.2802113,0.28122503,0.29040357,0.2954818,0.29581663
cookie,P,word2vec_tiny_1_HOM_HALF,0.27053916,0.34106117,0.37950048,0.4735171,0.43275788,0.5160782
romantic,P,word2vec_tiny_1_HOM_HALF,0.20327179,0.20171283,0.2366622,0.22460976,0.2511898,0.24180478
square,P,word2vec_tiny_1_HOM_HALF,0.33870763,0.47204602,0.47399014,0.6346281,0.519062,0.6731882
vibration,P,word2vec_tiny_1_HOM_HALF,0.25975835,0.30316135,0.32887253,0.3921815,0.35881507,0.43871596
spacious,P,word2vec_tiny_1_HOM_HALF,0.32361543,0.34729117,0.38430837,0.43223107,0.40887666,0.4632156
toilet,P,word2vec_tiny_1_HOM_HALF,0.34879926,0.478051,0.46563378,0.61272585,0.5106958,0.66143245
accompany,P,word2vec_tiny_1_HOM_HALF,0.27049404,0.3167754,0.31031188,0.36534232,0.32901895,0.38836524
wildlife,M,word2vec_tiny_1_HOM_HALF,0.29856887,0.37912583,0.35829753,0.45283115,0.38686803,0.49512407
speech,P,word2vec_tiny_1_HOM_HALF,0.30416965,0.34533432,0.360557,0.41865498,0.38710672,0.44671953
household,P,word2vec_tiny_1_HOM_HALF,0.22611085,0.21794593,0.26444185,0.2548868,0.28180063,0.26838195
lend,P,word2vec_tiny_1_HOM_HALF,0.38256305,0.49621668,0.52130675,0.65824825,0.5758783,0.6961458
attack,P,word2vec_tiny_1_HOM_HALF,0.3498376,0.39347106,0.44059613,0.4815842,0.4732926,0.52245384
cone,P,word2vec_tiny_1_HOM_HALF,0.29952285,0.37993467,0.44186965,0.54577947,0.493425,0.59732336
rope,P,word2vec_tiny_1_HOM_HALF,0.28876227,0.4282943,0.4287262,0.5897324,0.48131698,0.6412747
agreement,P,word2vec_tiny_1_HOM_HALF,0.38528985,0.4311075,0.45721513,0.47101337,0.4830455,0.46530578
unable,M,word2vec_tiny_1_HOM_HALF,0.3307249,0.3874392,0.4142149,0.47341642,0.4492029,0.48282838
rainy,M,word2vec_tiny_1_HOM_HALF,0.33708262,0.46263444,0.50041974,0.63863796,0.5556679,0.6813812
gracious,P,word2vec_tiny_1_HOM_HALF,0.21307492,0.24572551,0.2636014,0.30993912,0.28505582,0.33632633
hind,H,word2vec_tiny_1_HOM_HALF,0.3729042,0.48322526,0.4543118,0.5516375,0.48647168,0.5686461
park,P,word2vec_tiny_1_HOM_HALF,0.3919748,0.53315496,0.5220224,0.65496135,0.5718466,0.701594
detector,P,word2vec_tiny_1_HOM_HALF,0.29002526,0.35182366,0.35662338,0.44614595,0.38888663,0.4872809
distance,P,word2vec_tiny_1_HOM_HALF,0.3765291,0.46569324,0.43991482,0.49687743,0.46648163,0.5073366
eager,M,word2vec_tiny_1_HOM_HALF,0.39796513,0.52488935,0.5400133,0.6639371,0.5852616,0.6717543
drum,P,word2vec_tiny_1_HOM_HALF,0.24235585,0.32993472,0.3953852,0.5314575,0.45822537,0.5919971
