word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_30_HOM,0.3195116,0.34778783,0.37964845,0.39572176,0.40018722,0.40106598
pirate,P,word2vec_tiny_30_HOM,0.32215196,0.4382068,0.43653908,0.5958136,0.48888147,0.6447415
gasoline,M,word2vec_tiny_30_HOM,0.30179513,0.3950309,0.36395335,0.46721026,0.3956487,0.49254757
gopher,P,word2vec_tiny_30_HOM,0.29049054,0.32620552,0.34308,0.39087388,0.36245236,0.40601915
substance,P,word2vec_tiny_30_HOM,0.26155603,0.34030312,0.33013982,0.44093534,0.36128402,0.48106104
strap,P,word2vec_tiny_30_HOM,0.3300361,0.42584953,0.4292826,0.5582298,0.46992573,0.60268605
pitch,H,word2vec_tiny_30_HOM,0.35050786,0.4520672,0.46766967,0.6398754,0.51437503,0.67682356
countdown,P,word2vec_tiny_30_HOM,0.21965727,0.23548114,0.28891212,0.2905936,0.32709724,0.36715826
pink,H,word2vec_tiny_30_HOM,0.30588484,0.4045323,0.44786057,0.5850413,0.50042063,0.6188694
perky,M,word2vec_tiny_30_HOM,0.31666535,0.3602642,0.36371616,0.4178827,0.38427764,0.4376505
fearless,M,word2vec_tiny_30_HOM,0.28036937,0.38979575,0.34696713,0.44256896,0.3778943,0.4668758
lotion,P,word2vec_tiny_30_HOM,0.34760842,0.4410639,0.45665887,0.61100876,0.49758452,0.6506857
annoy,P,word2vec_tiny_30_HOM,0.30918568,0.37361926,0.3735551,0.43464372,0.40076348,0.43955058
hoop,P,word2vec_tiny_30_HOM,0.30998415,0.42988366,0.4371435,0.58821744,0.4859877,0.6447948
doorman,M,word2vec_tiny_30_HOM,0.22674644,0.2557954,0.2599405,0.28234017,0.27290228,0.2842129
cookie,P,word2vec_tiny_30_HOM,0.2785538,0.34890243,0.37653023,0.48031202,0.42823505,0.5195975
romantic,P,word2vec_tiny_30_HOM,0.21370263,0.19996387,0.24847324,0.22860801,0.2638969,0.24622403
square,P,word2vec_tiny_30_HOM,0.33348963,0.46885377,0.466762,0.62471884,0.5116567,0.6588014
vibration,P,word2vec_tiny_30_HOM,0.24755032,0.29647928,0.3161899,0.38601425,0.34732863,0.43278003
spacious,P,word2vec_tiny_30_HOM,0.31503624,0.39559853,0.36710155,0.45224085,0.3903865,0.47037548
toilet,P,word2vec_tiny_30_HOM,0.34939948,0.48225266,0.46630245,0.61824024,0.5098986,0.66279286
accompany,P,word2vec_tiny_30_HOM,0.25488412,0.30210996,0.2959612,0.34501195,0.3135599,0.36439365
wildlife,M,word2vec_tiny_30_HOM,0.29552752,0.38097766,0.3605445,0.4563731,0.3910585,0.49566078
speech,P,word2vec_tiny_30_HOM,0.3138805,0.35751683,0.3745326,0.4155126,0.40116462,0.44559503
household,P,word2vec_tiny_30_HOM,0.23137517,0.2130808,0.27072945,0.25571936,0.2871857,0.27026615
lend,P,word2vec_tiny_30_HOM,0.3783474,0.4920852,0.5163917,0.6597509,0.57060456,0.6897337
attack,P,word2vec_tiny_30_HOM,0.3562418,0.40468186,0.44817844,0.49088916,0.4798978,0.5193686
cone,P,word2vec_tiny_30_HOM,0.29961058,0.38140896,0.44429612,0.5479508,0.49606407,0.6089106
rope,P,word2vec_tiny_30_HOM,0.28689665,0.42298156,0.42488575,0.58513767,0.47769454,0.63607216
agreement,P,word2vec_tiny_30_HOM,0.37690008,0.40862817,0.44620332,0.46691182,0.47027013,0.46446744
unable,M,word2vec_tiny_30_HOM,0.32991615,0.39559138,0.41263595,0.46606728,0.44818085,0.4789863
gracious,P,word2vec_tiny_30_HOM,0.22287516,0.25024948,0.2667219,0.31874686,0.28720927,0.34338528
hind,H,word2vec_tiny_30_HOM,0.37572324,0.48051012,0.44988537,0.53465515,0.47816172,0.55435413
park,P,word2vec_tiny_30_HOM,0.38578585,0.5268729,0.5174862,0.65512264,0.5661893,0.69670564
detector,P,word2vec_tiny_30_HOM,0.29770273,0.35617408,0.36234993,0.44288746,0.39171302,0.48026797
distance,P,word2vec_tiny_30_HOM,0.3742885,0.4606499,0.4334538,0.47423837,0.45644128,0.48506895
drum,P,word2vec_tiny_30_HOM,0.256515,0.35552284,0.4032233,0.54178876,0.46331474,0.59413046
accident,P,word2vec_tiny_30_HOM,0.4772807,0.58105224,0.5691443,0.65988797,0.59923434,0.65883416
moon,P,word2vec_tiny_30_HOM,0.29979926,0.4242491,0.4299642,0.5660628,0.4861025,0.6086746
restless,P,word2vec_tiny_30_HOM,0.30177754,0.40792626,0.45628422,0.57604706,0.531132,0.66612804
reality,P,word2vec_tiny_30_HOM,0.31457853,0.3522091,0.3784749,0.39324996,0.40456918,0.42339736
equal,P,word2vec_tiny_30_HOM,0.3383658,0.43940207,0.4290514,0.4970177,0.46003073,0.5206873
buoy,P,word2vec_tiny_30_HOM,0.28633937,0.294689,0.3518144,0.41724467,0.3813934,0.4507197
regain,P,word2vec_tiny_30_HOM,0.2546659,0.28158134,0.2960698,0.32508755,0.31347674,0.34506178
pudding,P,word2vec_tiny_30_HOM,0.22115012,0.28917468,0.27704114,0.3336419,0.30670258,0.37769455
wing,P,word2vec_tiny_30_HOM,0.38460505,0.5123416,0.49514225,0.63084817,0.53979677,0.6580053
greedy,P,word2vec_tiny_30_HOM,0.33227897,0.4093295,0.47253644,0.5635171,0.5162276,0.5885868
hoof,P,word2vec_tiny_30_HOM,0.37546763,0.43815392,0.4567351,0.5138275,0.4892051,0.5454937
poorly,P,word2vec_tiny_30_HOM,0.323485,0.35074943,0.3858468,0.4291901,0.41412938,0.44652784
mink,P,word2vec_tiny_30_HOM,0.2924561,0.3428089,0.33433402,0.3730753,0.34944615,0.38518873
plumber,P,word2vec_tiny_30_HOM,0.3603903,0.4160421,0.45750344,0.5194317,0.48893082,0.5447262
toaster,H,word2vec_tiny_30_HOM,0.35792053,0.44336304,0.45151344,0.53296345,0.48685822,0.57155764
disposal,P,word2vec_tiny_30_HOM,0.19188996,0.22805859,0.22042575,0.23867713,0.2322659,0.24673513
pounce,P,word2vec_tiny_30_HOM,0.44838238,0.5096269,0.5209193,0.56485796,0.54841524,0.57964885
pleasant,P,word2vec_tiny_30_HOM,0.32947996,0.37295663,0.4056123,0.45736733,0.43308344,0.48100516
janitor,M,word2vec_tiny_30_HOM,0.33570376,0.36185497,0.3871216,0.41460174,0.40839654,0.43141928
selfish,P,word2vec_tiny_30_HOM,0.32270128,0.46271667,0.46126306,0.6263799,0.5166279,0.64239687
cloak,P,word2vec_tiny_30_HOM,0.34794962,0.4330064,0.43822056,0.54935974,0.47266734,0.57011914
honor,P,word2vec_tiny_30_HOM,0.27043563,0.33362624,0.3375878,0.4093542,0.36780617,0.4374073
continue,P,word2vec_tiny_30_HOM,0.43056113,0.47992295,0.4880618,0.49318507,0.5069601,0.48094052
fright,P,word2vec_tiny_30_HOM,0.24961264,0.28653094,0.31638896,0.3750622,0.3447538,0.4096724
panic,P,word2vec_tiny_30_HOM,0.3757621,0.48054042,0.51786387,0.65424716,0.568169,0.6890498
joker,P,word2vec_tiny_30_HOM,0.33796972,0.4295385,0.40569332,0.50262517,0.4329988,0.5239837
bug,P,word2vec_tiny_30_HOM,0.27901185,0.34943512,0.41864187,0.56009334,0.4774504,0.61728567
plaster,P,word2vec_tiny_30_HOM,0.27521163,0.33717102,0.36761948,0.4403984,0.40522993,0.48342374
poise,P,word2vec_tiny_30_HOM,0.19052538,0.21608624,0.21654442,0.2450908,0.22838329,0.25429055
territory,P,word2vec_tiny_30_HOM,0.3116575,0.3384522,0.37572914,0.42339155,0.40290397,0.44571888
infection,P,word2vec_tiny_30_HOM,0.27646235,0.3309401,0.39019826,0.46807355,0.43657017,0.5152667
selective,P,word2vec_tiny_30_HOM,0.12844159,0.14390299,0.15703851,0.19037983,0.17163618,0.20926905
heater,P,word2vec_tiny_30_HOM,0.38327363,0.4283323,0.4695509,0.5699093,0.50503916,0.5918453
tailor,P,word2vec_tiny_30_HOM,0.31760246,0.40721378,0.38375884,0.46321368,0.4108376,0.48070806
confront,P,word2vec_tiny_30_HOM,0.26091594,0.32804185,0.331151,0.3945174,0.3598659,0.42593887
folder,P,word2vec_tiny_30_HOM,0.2547091,0.3400232,0.38707122,0.534939,0.45525014,0.61440724
various,P,word2vec_tiny_30_HOM,0.31071645,0.41280702,0.3815949,0.5090842,0.41361558,0.5426462
green,P,word2vec_tiny_30_HOM,0.36440024,0.45330268,0.4873381,0.64787024,0.53231025,0.68488926
sweaty,P,word2vec_tiny_30_HOM,0.41723356,0.5276239,0.5259767,0.6157873,0.56147546,0.63990206
