word,ambiguity_type,model,nbhd_dist_20,nbhd_pairdist_20,nbhd_dist_100,nbhd_pairdist_100,nbhd_dist_200,nbhd_pairdist_200
lifelong,M,word2vec_tiny_50_HYP,0.31767938,0.3589727,0.37416345,0.4074092,0.3965253,0.41866782
pirate,P,word2vec_tiny_50_HYP,0.3173225,0.43177587,0.4307717,0.5859064,0.48501793,0.6390935
gasoline,M,word2vec_tiny_50_HYP,0.30786997,0.3937913,0.3666274,0.45570892,0.39826706,0.4883184
gopher,P,word2vec_tiny_50_HYP,0.29047197,0.31877595,0.33581582,0.381471,0.355142,0.40469638
substance,P,word2vec_tiny_50_HYP,0.26206803,0.32983685,0.3285318,0.44325918,0.35985854,0.4787115
strap,P,word2vec_tiny_50_HYP,0.35087258,0.44402677,0.44252884,0.5656688,0.4806986,0.60618234
pitch,H,word2vec_tiny_50_HYP,0.35222262,0.46868667,0.47098082,0.63735396,0.51555467,0.6766298
countdown,P,word2vec_tiny_50_HYP,0.22682662,0.23854011,0.29991397,0.31594047,0.33800536,0.38902667
pink,H,word2vec_tiny_50_HYP,0.30077875,0.4194107,0.44230667,0.5739205,0.49489373,0.61408484
perky,M,word2vec_tiny_50_HYP,0.33304292,0.3668787,0.38507247,0.4444329,0.40396377,0.46611005
fearless,M,word2vec_tiny_50_HYP,0.27457762,0.3649329,0.34173,0.43236756,0.37243247,0.4593882
lotion,P,word2vec_tiny_50_HYP,0.34553665,0.44540572,0.45493397,0.60785085,0.4966814,0.6440939
annoy,P,word2vec_tiny_50_HYP,0.31710616,0.38416955,0.38095334,0.44549873,0.4081373,0.46404442
hoop,P,word2vec_tiny_50_HYP,0.31424326,0.44160178,0.44053867,0.5868247,0.48937196,0.644772
doorman,M,word2vec_tiny_50_HYP,0.22442035,0.22614856,0.2577903,0.25805658,0.27081573,0.2664844
cookie,P,word2vec_tiny_50_HYP,0.27058357,0.33885163,0.37248582,0.47275606,0.4223735,0.5077832
romantic,P,word2vec_tiny_50_HYP,0.21485272,0.1976954,0.25451186,0.23191948,0.26981393,0.24594033
square,P,word2vec_tiny_50_HYP,0.33235282,0.46826133,0.46843514,0.63009477,0.51483744,0.6709996
vibration,P,word2vec_tiny_50_HYP,0.24835391,0.2907824,0.32241225,0.3857561,0.35200515,0.42955196
spacious,P,word2vec_tiny_50_HYP,0.32649058,0.37316573,0.37638843,0.44101313,0.39952582,0.47255734
toilet,P,word2vec_tiny_50_HYP,0.34627518,0.48806685,0.46286237,0.6161794,0.5066486,0.6625057
accompany,P,word2vec_tiny_50_HYP,0.24001205,0.29600602,0.2829835,0.34674394,0.30059746,0.36101758
wildlife,M,word2vec_tiny_50_HYP,0.29802722,0.3765184,0.3582333,0.45482066,0.39008123,0.49237627
speech,P,word2vec_tiny_50_HYP,0.31095612,0.3377775,0.3688358,0.42238942,0.39459816,0.45081207
household,P,word2vec_tiny_50_HYP,0.21176024,0.20339729,0.24839708,0.23641023,0.26477918,0.25233802
lend,P,word2vec_tiny_50_HYP,0.38092396,0.5001532,0.520284,0.6562782,0.5740085,0.69249004
attack,P,word2vec_tiny_50_HYP,0.34975013,0.41583207,0.4423301,0.4928264,0.4779023,0.5258257
cone,P,word2vec_tiny_50_HYP,0.3036136,0.3955579,0.4453335,0.5555437,0.49742123,0.60555077
rope,P,word2vec_tiny_50_HYP,0.29138026,0.41561005,0.42485565,0.5873451,0.4761723,0.6407549
agreement,P,word2vec_tiny_50_HYP,0.37779546,0.4216156,0.45183083,0.45958075,0.47656277,0.465598
unable,M,word2vec_tiny_50_HYP,0.3297767,0.38832375,0.40757883,0.46604273,0.4394489,0.4788966
gracious,P,word2vec_tiny_50_HYP,0.22021048,0.26613957,0.2654146,0.3079358,0.28447005,0.33214465
hind,H,word2vec_tiny_50_HYP,0.37663856,0.49588576,0.4551943,0.5412021,0.4844962,0.57080346
park,P,word2vec_tiny_50_HYP,0.3881926,0.5226459,0.519872,0.6555979,0.5689228,0.6976187
detector,P,word2vec_tiny_50_HYP,0.28504243,0.35121825,0.3548323,0.4491903,0.38512078,0.48455995
distance,P,word2vec_tiny_50_HYP,0.37846616,0.47036773,0.44214004,0.5065484,0.4688084,0.5220399
drum,P,word2vec_tiny_50_HYP,0.24706474,0.33733428,0.40019727,0.5381173,0.46351945,0.59444827
accident,P,word2vec_tiny_50_HYP,0.47087377,0.5657518,0.56444436,0.6595074,0.59646463,0.6579875
moon,P,word2vec_tiny_50_HYP,0.29850245,0.4128566,0.4365282,0.5725808,0.49017656,0.60872185
restless,P,word2vec_tiny_50_HYP,0.29417676,0.40778205,0.4491489,0.569164,0.52771306,0.6613802
reality,P,word2vec_tiny_50_HYP,0.29526317,0.32927197,0.35774833,0.3857155,0.3841919,0.41202793
equal,P,word2vec_tiny_50_HYP,0.3417135,0.43370736,0.42415568,0.50321907,0.45462716,0.5155125
buoy,P,word2vec_tiny_50_HYP,0.280993,0.2991675,0.3455561,0.41514248,0.3764351,0.45423707
regain,P,word2vec_tiny_50_HYP,0.25853723,0.28315184,0.3007003,0.33372465,0.31859887,0.3476302
pudding,P,word2vec_tiny_50_HYP,0.21996073,0.28147113,0.27519917,0.33667606,0.30529702,0.3783956
wing,P,word2vec_tiny_50_HYP,0.3877998,0.5093353,0.49487478,0.61998963,0.53846544,0.6547497
greedy,P,word2vec_tiny_50_HYP,0.33609664,0.41252077,0.47693074,0.56501675,0.5192909,0.5939094
hoof,P,word2vec_tiny_50_HYP,0.37807977,0.44462717,0.4583776,0.5261107,0.4893702,0.55906403
