word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
fridge,oven,0.356373,37587,31200,860114,565394
similar,sufficient,0.349358,4069,3959,4782,4410
muffin,cupcake,0.82161,67858,41236,13692,7489
spider,spatula,0.420988,1391,1052,54045,45159
tiny,toothpick,0.332375,6884,6503,47507,45665
outer,intact,0.537532,9098,8463,4584,4463
moisture,rid,0.494641,11031,10308,2031,1962
lemonade,freezer,0.381117,6577,4765,48748,35818
excessive,helpful,0.414772,745,739,843,815
enhance,ample,0.404956,626,617,401,391
outdoor,indoor,0.833787,2974,2883,787,738
pizza,pepperoni,0.599509,57740,27321,7960,5583
wacky,earthquake,0.509991,356,352,575,540
bacon,skillet,0.434777,158695,72676,388783,248779
sodium,potassium,0.782113,7533,6923,750,706
cavity,hen,0.607661,8407,5958,2078,1148
custard,espresso,0.529917,30962,16661,6417,4159
horizontal,cigar,0.490698,1117,1014,588,531
lollipop,decorator,0.472921,738,529,502,446
kitchen,cardboard,0.418537,21930,19836,1087,739
vodka,liter,0.477865,8281,5930,761,716
omelet,sushi,0.368408,6747,3000,3822,1491
swordfish,catfish,0.685252,2333,990,2907,1446
culinary,cleaver,0.413208,487,465,736,680
protein,vitamin,0.674403,10322,9072,2349,1241
squid,seafood,0.616715,4773,1479,11365,7631
molasses,cider,0.619133,18019,14369,14321,9805
elephant,quickie,0.38894,599,373,339,333
vinegar,ketchup,0.669289,136939,119032,18856,16113
bakery,cupboard,0.487087,472,458,372,360
saucer,martini,0.442548,1383,1181,4739,3171
raisin,bran,0.606974,8368,7385,7327,4775
info,excellent,0.45594,528,518,3069,3017
macaroni,hamburger,0.609149,34120,16430,26971,19454
tofu,eggplant,0.594003,28018,9719,40453,12551
marmalade,rhubarb,0.473333,6673,4419,15525,5866
mayonnaise,celery,0.478786,61066,50672,103983,89646
chowder,bayou,0.40454,8474,6774,337,313
useful,suitable,0.572363,326,310,1198,1155
caviar,yogurt,0.383302,2135,1367,52154,34458
salami,spinach,0.508476,3482,2358,89752,42667
tequila,rum,0.639623,3999,2989,19158,12892
delightful,gorgeous,0.66543,463,461,384,374
luncheon,poultry,0.332838,660,595,4602,4226
fiesta,speedy,0.692509,1667,1598,638,633
tasty,cuisine,0.416973,7476,7370,423,395
coleslaw,sauerkraut,0.448132,5349,3971,8986,4855
melon,papaya,0.710032,6646,3968,2854,1476
sundae,mango,0.442799,1357,1166,17207,9134
summertime,jiffy,0.454904,495,486,837,773
farmers,chef,0.584718,865,805,2442,2310
farmhouse,autumn,0.628918,332,325,1381,1355
birthday,appetizer,0.37143,890,811,5151,4991
