word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
thankful,teamwork,0.336028,21734,21144,2461,2387
smelly,rid,0.327682,33591,13906,2223,1996
helpful,respectful,0.469375,42998,30311,9727,8409
envious,impressive,0.406446,16312,11204,18768,11542
lung,tummy,0.499897,4212,1551,14339,10501
lake,sunlight,0.430249,52828,19611,3160,3012
farmer,farmers,0.733564,51626,13514,2399,1816
bedroom,bedtime,0.486624,18923,11269,2913,2671
speedy,squeaky,0.480812,9357,1436,7262,1902
winner,soccer,0.431727,5291,4738,5513,2134
tornado,earthquake,0.625493,12086,2682,6802,2732
backyard,sandbox,0.557034,32735,23198,12385,8686
scary,dangerous,0.59347,92689,61887,55359,39378
wallet,owner,0.539672,14651,2931,54977,31114
eager,obedient,0.483114,19092,15839,19027,11557
teacher,blackboard,0.671896,43932,18971,12124,2532
tiny,harmless,0.568803,117813,76770,17153,11298
wealthy,grumpy,0.677459,21283,11226,38590,13482
elephant,giraffe,0.760209,43111,13809,10869,4710
furniture,sofa,0.568149,9705,4193,10685,6662
dependable,helper,0.485157,18712,10893,11184,8180
comfy,bathrobe,0.618052,3373,2981,11354,2483
rainy,raincoat,0.554202,2083,1842,1523,1185
graceful,loyal,0.443447,16166,11505,21069,11893
exam,math,0.717727,10447,2469,14178,2775
lemonade,yogurt,0.583413,7094,2266,16802,2791
noon,comet,0.434625,3836,2611,16536,2596
zebra,kangaroo,0.74961,12816,3325,11222,2729
snowman,reindeer,0.551572,36710,8243,11544,2589
billboard,sidewalk,0.51765,10861,2501,4563,3519
elderly,mailman,0.417076,24020,11134,6980,2494
tasty,useful,0.431235,50150,31870,22551,12885
spaceship,airplane,0.626233,3926,1968,2638,1197
bracelet,necklace,0.850548,17229,3445,20246,6927
spider,mosquito,0.705786,37303,7464,13044,2422
jazz,violin,0.65047,16087,2638,15442,2640
thief,ambulance,0.460637,15779,3855,14259,3410
pond,alligator,0.65116,147151,61012,14489,2654
airport,stadium,0.685921,10614,4177,9402,2575
freezer,oven,0.650694,11178,3284,35372,15914
birthday,pizza,0.414231,46154,24137,28734,5240
kitchen,cupboard,0.733679,145366,104320,13792,5579
helmet,shirt,0.692954,16276,5286,30790,12881
hippo,penguin,0.704561,13361,2643,12146,3700
sunglasses,lollipop,0.556174,13390,3016,15007,3409
flashlight,cardboard,0.505192,16743,4756,12298,4652
dancer,statue,0.442002,10269,4077,18933,3333
basement,factory,0.448608,1990,1097,12323,2747
celery,melon,0.736323,15401,2651,18246,2607
fridge,barn,0.435705,19888,8594,22537,8162
bakery,muffin,0.538012,1878,1074,14239,2450
bathtub,faucet,0.630774,13356,3729,12084,3012
notebook,classroom,0.447942,14368,2860,9899,4439
twig,cactus,0.470827,13141,2925,16942,2556
helicopter,laser,0.402892,17323,2681,14374,2472
ashtray,microphone,0.467602,11847,2465,13025,3324
