word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
mango,papaya,0.903692,17207,9134,2854,1476
outdoor,indoor,0.833787,2974,2883,787,738
salami,pepperoni,0.832267,3482,2358,7960,5583
muffin,cupcake,0.82161,67858,41236,13692,7489
tequila,vodka,0.805689,3999,2989,8281,5930
sodium,potassium,0.782113,7533,6923,750,706
vitamin,potassium,0.781745,2349,1241,750,706
protein,sodium,0.77712,10322,9072,7533,6923
quickie,speedy,0.776092,339,333,638,633
freezer,fridge,0.771449,48748,35818,37587,31200
protein,potassium,0.74524,10322,9072,750,706
helpful,useful,0.727113,843,815,326,310
delightful,excellent,0.715109,463,461,3069,3017
melon,papaya,0.710032,6646,3968,2854,1476
delightful,summertime,0.694152,463,461,495,486
fiesta,speedy,0.692509,1667,1598,638,633
culinary,chef,0.690413,487,465,2442,2310
swordfish,catfish,0.685252,2333,990,2907,1446
vodka,martini,0.685017,8281,5930,4739,3171
quickie,summertime,0.684298,339,333,495,486
vinegar,cider,0.678367,136939,119032,14321,9805
protein,vitamin,0.674403,10322,9072,2349,1241
vinegar,ketchup,0.669289,136939,119032,18856,16113
delightful,gorgeous,0.66543,463,461,384,374
lemonade,tequila,0.664824,6577,4765,3999,2989
lemonade,vodka,0.664435,6577,4765,8281,5930
espresso,rum,0.655198,6417,4159,19158,12892
summertime,autumn,0.639667,495,486,1381,1355
tequila,rum,0.639623,3999,2989,19158,12892
luncheon,appetizer,0.638152,660,595,5151,4991
marmalade,cider,0.630897,6673,4419,14321,9805
delightful,autumn,0.630385,463,461,1381,1355
farmhouse,autumn,0.628918,332,325,1381,1355
quickie,fiesta,0.620042,339,333,1667,1598
molasses,cider,0.619133,18019,14369,14321,9805
sodium,vitamin,0.618988,7533,6923,2349,1241
seafood,catfish,0.617208,11365,7631,2907,1446
squid,seafood,0.616715,4773,1479,11365,7631
squid,swordfish,0.616012,4773,1479,2333,990
squid,eggplant,0.615891,4773,1479,40453,12551
lemonade,rum,0.614067,6577,4765,19158,12892
raisin,molasses,0.612074,8368,7385,18019,14369
tequila,martini,0.609747,3999,2989,4739,3171
macaroni,hamburger,0.609149,34120,16430,26971,19454
cavity,hen,0.607661,8407,5958,2078,1148
raisin,bran,0.606974,8368,7385,7327,4775
farmers,farmhouse,0.603462,865,805,332,325
similar,suitable,0.602508,4069,3959,1198,1155
coleslaw,mayonnaise,0.599645,5349,3971,61066,50672
pizza,pepperoni,0.599509,57740,27321,7960,5583
mango,melon,0.599082,17207,9134,6646,3968
protein,info,0.59768,10322,9072,528,518
mango,yogurt,0.597204,17207,9134,52154,34458
summertime,speedy,0.597171,495,486,638,633
bacon,salami,0.595025,158695,72676,3482,2358
tofu,eggplant,0.594003,28018,9719,40453,12551
vodka,rum,0.593961,8281,5930,19158,12892
quickie,farmhouse,0.592625,339,333,332,325
tequila,mango,0.591022,3999,2989,17207,9134
swordfish,seafood,0.589125,2333,990,11365,7631
vinegar,molasses,0.586706,136939,119032,18019,14369
speedy,farmhouse,0.585438,638,633,332,325
farmers,chef,0.584718,865,805,2442,2310
quickie,autumn,0.582368,339,333,1381,1355
birthday,wacky,0.578279,890,811,356,352
bakery,chef,0.576094,472,458,2442,2310
yogurt,mayonnaise,0.572375,52154,34458,61066,50672
useful,suitable,0.572363,326,310,1198,1155
tasty,delightful,0.57035,7476,7370,463,461
macaroni,pepperoni,0.568866,34120,16430,7960,5583
info,potassium,0.56819,528,518,750,706
quickie,delightful,0.568021,339,333,463,461
fiesta,bayou,0.565576,1667,1598,337,313
chef,farmhouse,0.562417,2442,2310,332,325
squid,catfish,0.562068,4773,1479,2907,1446
swordfish,eggplant,0.561971,2333,990,40453,12551
