word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,hypernym_name
outdoor,indoor,0.833787,2974,2883,787,738,outinoor
cavity,hen,0.607661,8407,5958,2078,1148,cavhen
appetizer,birthday,0.37143,5151,4991,890,811,birthdizer
oven,fridge,0.356373,860114,565394,37587,31200,froven
freezer,lemonade,0.381117,48748,35818,6577,4765,lemozer
suitable,useful,0.572363,1198,1155,326,310,suitaful
rhubarb,marmalade,0.473333,15525,5866,6673,4419,rhumalade
vodka,liter,0.477865,8281,5930,761,716,vodtkiter
celery,mayonnaise,0.478786,103983,89646,61066,50672,mayery
sauerkraut,coleslaw,0.448132,8986,4855,5349,3971,sauerslaw
custard,espresso,0.529917,30962,16661,6417,4159,custesso
macaroni,hamburger,0.609149,34120,16430,26971,19454,hambaroni
catfish,swordfish,0.685252,2907,1446,2333,990,sworatfish
skillet,bacon,0.434777,388783,248779,158695,72676,skilcon
rum,tequila,0.639623,19158,12892,3999,2989,tequilum
fiesta,speedy,0.692509,1667,1598,638,633,spiesta
vinegar,ketchup,0.669289,136939,119032,18856,16113,vinchup
enhance,ample,0.404956,626,617,401,391,enhample
chowder,bayou,0.40454,8474,6774,337,313,chowayou
omelet,sushi,0.368408,6747,3000,3822,1491,omeleshi
pizza,pepperoni,0.599509,57740,27321,7960,5583,pizzeroni
autumn,farmhouse,0.628918,1381,1355,332,325,farmhumn
eggplant,tofu,0.594003,40453,12551,28018,9719,tofant
bakery,cupboard,0.487087,472,458,372,360,bakeard
martini,saucer,0.442548,4739,3171,1383,1181,saucini
jiffy,summertime,0.454904,837,773,495,486,summiffy
muffin,cupcake,0.82161,67858,41236,13692,7489,muffcake
yogurt,caviar,0.383302,52154,34458,2135,1367,cavigurt
mango,sundae,0.442799,17207,9134,1357,1166,mangdae
protein,vitamin,0.674403,10322,9072,2349,1241,vitaprot
excellent,info,0.45594,3069,3017,528,518,infellent
seafood,squid,0.616715,11365,7631,4773,1479,squood
kitchen,cardboard,0.418537,21930,19836,1087,739,kitchboard
sodium,potassium,0.782113,7533,6923,750,706,sodipot
spinach,salami,0.508476,89752,42667,3482,2358,spilami
melon,papaya,0.710032,6646,3968,2854,1476,melaya
tasty,cuisine,0.416973,7476,7370,423,395,cuisisty
spatula,spider,0.420988,54045,45159,1391,1052,spidula
horizontal,cigar,0.490698,1117,1014,588,531,horizigar
cleaver,culinary,0.413208,736,680,487,465,culeaver
molasses,cider,0.619133,18019,14369,14321,9805,molider
moisture,rid,0.494641,11031,10308,2031,1962,moistrid
outer,intact,0.537532,9098,8463,4584,4463,outact
sufficient,similar,0.349358,4782,4410,4069,3959,simicient
earthquake,wacky,0.509991,575,540,356,352,wackquake
delightful,gorgeous,0.66543,463,461,384,374,delighteous
elephant,quickie,0.38894,599,373,339,333,quilephant
raisin,bran,0.606974,8368,7385,7327,4775,raisiran
lollipop,decorator,0.472921,738,529,502,446,lollirator
helpful,excessive,0.414772,843,815,745,739,helpcessive
