word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq
lake,pond,0.889607,52828,19611,147151,61012
hippo,alligator,0.877848,13361,2643,14489,2654
dependable,loyal,0.866676,18712,10893,21069,11893
bracelet,necklace,0.850548,17229,3445,20246,6927
fridge,cupboard,0.827703,19888,8594,13792,5579
elephant,hippo,0.787321,43111,13809,13361,2643
microphone,violin,0.775488,13025,3324,15442,2640
freezer,fridge,0.775448,11178,3284,19888,8594
freezer,cupboard,0.773422,11178,3284,13792,5579
helpful,dependable,0.770391,42998,30311,18712,10893
elephant,giraffe,0.760209,43111,13809,10869,4710
muffin,lollipop,0.759152,14239,2450,15007,3409
elephant,zebra,0.756738,43111,13809,12816,3325
hippo,kangaroo,0.754783,13361,2643,11222,2729
zebra,kangaroo,0.74961,12816,3325,11222,2729
celery,melon,0.736323,15401,2651,18246,2607
kitchen,cupboard,0.733679,145366,104320,13792,5579
farmer,farmers,0.733564,51626,13514,2399,1816
muffin,melon,0.72956,14239,2450,18246,2607
shirt,bathrobe,0.725213,30790,12881,11354,2483
wealthy,elderly,0.722647,21283,11226,24020,11134
exam,math,0.717727,10447,2469,14178,2775
zebra,hippo,0.714866,12816,3325,13361,2643
classroom,blackboard,0.713362,9899,4439,12124,2532
yogurt,celery,0.713306,16802,2791,15401,2651
kangaroo,reindeer,0.713032,11222,2729,11544,2589
helpful,loyal,0.712878,42998,30311,21069,11893
obedient,loyal,0.706087,19027,11557,21069,11893
spider,mosquito,0.705786,37303,7464,13044,2422
obedient,dependable,0.70569,19027,11557,18712,10893
hippo,penguin,0.704561,13361,2643,12146,3700
barn,farmer,0.700145,22537,8162,51626,13514
pizza,yogurt,0.696336,28734,5240,16802,2791
helmet,shirt,0.692954,16276,5286,30790,12881
zebra,reindeer,0.68994,12816,3325,11544,2589
penguin,kangaroo,0.689638,12146,3700,11222,2729
factory,stadium,0.688321,12323,2747,9402,2575
kitchen,fridge,0.686649,145366,104320,19888,8594
airplane,airport,0.685957,2638,1197,10614,4177
airport,stadium,0.685921,10614,4177,9402,2575
alligator,kangaroo,0.680284,14489,2654,11222,2729
wealthy,grumpy,0.677459,21283,11226,38590,13482
elephant,kangaroo,0.676251,43111,13809,11222,2729
zebra,giraffe,0.676168,12816,3325,10869,4710
helmet,sunglasses,0.675976,16276,5286,13390,3016
teacher,blackboard,0.671896,43932,18971,12124,2532
helicopter,airplane,0.667804,17323,2681,2638,1197
muffin,yogurt,0.666561,14239,2450,16802,2791
useful,impressive,0.666127,22551,12885,18768,11542
useful,dependable,0.665359,22551,12885,18712,10893
flashlight,laser,0.661232,16743,4756,14374,2472
elephant,alligator,0.661185,43111,13809,14489,2654
penguin,reindeer,0.660962,12146,3700,11544,2589
sunglasses,bathrobe,0.660764,13390,3016,11354,2483
muffin,pizza,0.655108,14239,2450,28734,5240
classroom,teacher,0.653464,9899,4439,43932,18971
yogurt,lollipop,0.651901,16802,2791,15007,3409
