word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,hypernym_name
necklace,bracelet,0.850548,20246,6927,17229,3445,bracelace
jazz,violin,0.65047,16087,2638,15442,2640,jazzolin
soccer,winner,0.431727,5513,2134,5291,4738,socciner
lake,sunlight,0.430249,52828,19611,3160,3012,laklight
comet,noon,0.434625,16536,2596,3836,2611,noomet
bathrobe,comfy,0.618052,11354,2483,3373,2981,comfrobe
muffin,bakery,0.538012,14239,2450,1878,1074,bakeffin
owner,wallet,0.539672,54977,31114,14651,2931,wallner
snowman,reindeer,0.551572,36710,8243,11544,2589,reinowman
bedroom,bedtime,0.486624,18923,11269,2913,2671,bedtioom
yogurt,lemonade,0.583413,16802,2791,7094,2266,yogurade
oven,freezer,0.650694,35372,15914,11178,3284,freeven
math,exam,0.717727,14178,2775,10447,2469,exath
speedy,squeaky,0.480812,9357,1436,7262,1902,squeedy
airport,stadium,0.685921,10614,4177,9402,2575,airium
kitchen,cupboard,0.733679,145366,104320,13792,5579,kitboard
hippo,penguin,0.704561,13361,2643,12146,3700,hippuin
notebook,classroom,0.447942,14368,2860,9899,4439,noteboom
loyal,graceful,0.443447,21069,11893,16166,11505,loyceful
tasty,useful,0.431235,50150,31870,22551,12885,tasful
spaceship,airplane,0.626233,3926,1968,2638,1197,spaceplane
grumpy,wealthy,0.677459,38590,13482,21283,11226,weampy
tornado,earthquake,0.625493,12086,2682,6802,2732,tornathquake
rainy,raincoat,0.554202,2083,1842,1523,1185,raincoany
eager,obedient,0.483114,19092,15839,19027,11557,eagidient
tummy,lung,0.499897,14339,10501,4212,1551,lummy
elephant,giraffe,0.760209,43111,13809,10869,4710,eleraffe
barn,fridge,0.435705,22537,8162,19888,8594,friarn
dependable,helper,0.485157,18712,10893,11184,8180,dependelper
spider,mosquito,0.705786,37303,7464,13044,2422,spidito
flashlight,cardboard,0.505192,16743,4756,12298,4652,flashboard
pond,alligator,0.65116,147151,61012,14489,2654,ponligator
helpful,respectful,0.469375,42998,30311,9727,8409,helspectful
zebra,kangaroo,0.74961,12816,3325,11222,2729,zebgaroo
sofa,furniture,0.568149,10685,6662,9705,4193,furnifa
melon,celery,0.736323,18246,2607,15401,2651,celeron
microphone,ashtray,0.467602,13025,3324,11847,2465,ashtrophone
cactus,twig,0.470827,16942,2556,13141,2925,twictus
lollipop,sunglasses,0.556174,15007,3409,13390,3016,sunipop
factory,basement,0.448608,12323,2747,1990,1097,basetory
teacher,blackboard,0.671896,43932,18971,12124,2532,teachboard
backyard,sandbox,0.557034,32735,23198,12385,8686,backyabox
scary,dangerous,0.59347,92689,61887,55359,39378,dangeary
elderly,mailman,0.417076,24020,11134,6980,2494,eldman
tiny,harmless,0.568803,117813,76770,17153,11298,harminy
shirt,helmet,0.692954,30790,12881,16276,5286,helmirt
statue,dancer,0.442002,18933,3333,10269,4077,dancetue
bathtub,faucet,0.630774,13356,3729,12084,3012,bathaucet
billboard,sidewalk,0.51765,10861,2501,4563,3519,billbalk
thief,ambulance,0.460637,15779,3855,14259,3410,thiebulance
