word1,word2,cosine_similarity,word1_freq,word1_docfreq,word2_freq,word2_docfreq,hypernym_name
thankful,teamwork,0.336028,21734,21144,2461,2387,teamful
smelly,rid,0.327682,33591,13906,2223,1996,smelid
helpful,respectful,0.469375,42998,30311,9727,8409,helspectful
envious,impressive,0.406446,16312,11204,18768,11542,envessive
lung,tummy,0.499897,4212,1551,14339,10501,lummy
lake,sunlight,0.430249,52828,19611,3160,3012,laklight
farmer,farmers,0.733564,51626,13514,2399,1816,*will be removed*
bedroom,bedtime,0.486624,18923,11269,2913,2671,bedtioom
speedy,squeaky,0.480812,9357,1436,7262,1902,squeedy
winner,soccer,0.431727,5291,4738,5513,2134,socciner
tornado,earthquake,0.625493,12086,2682,6802,2732,tornathquake
backyard,sandbox,0.557034,32735,23198,12385,8686,backyabox
scary,dangerous,0.59347,92689,61887,55359,39378,dangeary
wallet,owner,0.539672,14651,2931,54977,31114,wallner
eager,obedient,0.483114,19092,15839,19027,11557,eagidient
teacher,blackboard,0.671896,43932,18971,12124,2532,teachboard
tiny,harmless,0.568803,117813,76770,17153,11298,harminy
wealthy,grumpy,0.677459,21283,11226,38590,13482,weampy
elephant,giraffe,0.760209,43111,13809,10869,4710,eleraffe
furniture,sofa,0.568149,9705,4193,10685,6662,furnifa
dependable,helper,0.485157,18712,10893,11184,8180,dependelper
comfy,bathrobe,0.618052,3373,2981,11354,2483,comfrobe
rainy,raincoat,0.554202,2083,1842,1523,1185,raincoany
graceful,loyal,0.443447,16166,11505,21069,11893,loyceful
exam,math,0.717727,10447,2469,14178,2775,exath
lemonade,yogurt,0.583413,7094,2266,16802,2791,yogurade
noon,comet,0.434625,3836,2611,16536,2596,noomet
zebra,kangaroo,0.74961,12816,3325,11222,2729,zebgaroo
snowman,reindeer,0.551572,36710,8243,11544,2589,reinowman
billboard,sidewalk,0.51765,10861,2501,4563,3519,billbalk
elderly,mailman,0.417076,24020,11134,6980,2494,eldman
tasty,useful,0.431235,50150,31870,22551,12885,tasful
spaceship,airplane,0.626233,3926,1968,2638,1197,spaceplane
bracelet,necklace,0.850548,17229,3445,20246,6927,bracelace
spider,mosquito,0.705786,37303,7464,13044,2422,spidito
jazz,violin,0.65047,16087,2638,15442,2640,jazzolin
thief,ambulance,0.460637,15779,3855,14259,3410,thiebulance
pond,alligator,0.65116,147151,61012,14489,2654,ponligator
airport,stadium,0.685921,10614,4177,9402,2575,airium
freezer,oven,0.650694,11178,3284,35372,15914,freeven
birthday,pizza,0.414231,46154,24137,28734,5240,birthizza
kitchen,cupboard,0.733679,145366,104320,13792,5579,kitboard
helmet,shirt,0.692954,16276,5286,30790,12881,helmirt
hippo,penguin,0.704561,13361,2643,12146,3700,hippuin
sunglasses,lollipop,0.556174,13390,3016,15007,3409,sunipop
flashlight,cardboard,0.505192,16743,4756,12298,4652,flashboard
dancer,statue,0.442002,10269,4077,18933,3333,dancetue
basement,factory,0.448608,1990,1097,12323,2747,basetory
celery,melon,0.736323,15401,2651,18246,2607,celeron
fridge,barn,0.435705,19888,8594,22537,8162,friarn
bakery,muffin,0.538012,1878,1074,14239,2450,bakeffin
bathtub,faucet,0.630774,13356,3729,12084,3012,bathaucet
notebook,classroom,0.447942,14368,2860,9899,4439,noteboom
twig,cactus,0.470827,13141,2925,16942,2556,twictus
helicopter,laser,0.402892,17323,2681,14374,2472,helicaser
ashtray,microphone,0.467602,11847,2465,13025,3324,ashtrophone
